candidate_id,canonical_smiles,parent_id,scaffold,vina_affinity,open_mmgbsa_deltaG,open_mmgbsa_sd,admet_evidence,atp_prior_score,antibacterial_prior_score,uncertainty,protocol_disagreement,evidence_completeness,evidence_missing,final_score,priority_rank,rank_p05,rank_p95,recommended_next_experiment,experimental_cost_class,reason_for_prioritization,decision_status,scope
ATP-RDL-C7B0FC4CAE17E985,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccc(C4CCC4)cc3nc2SCc2cccc(O)c2)cc1,ATP-REF-IN2,c1ccc(C[NH2+]Cc2cc3ccc(C4CCC4)cc3nc2SCc2ccccc2)cc1,-8.578,-22.96,2.44,unknown,0.0,100.0,0.6976,1.0,0.6666666666666666,ADMET,60.25,1,1,1,ATP synthase biochemical inhibition assay; then MIC and cytotoxicity as separate endpoints,high_unpriced; actual laboratory cost unknown,Vina=-8.578 kcal/mol; Open MM/GBSA=-22.96 kcal/mol; exact evidence gate passed; ADMET remains unknown,computational_pre_experimental_prioritization,computational pre-experimental prioritization; not biological activity or validation
ATP-RDL-FC76E2D041DBC392,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccc(C3CCC3)c(O)c2)cc1,ATP-REF-IN2,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccc(C3CCC3)cc2)cc1,-8.574,-33.9,2.76,unknown,100.0,0.0,0.7103999999999999,1.0,0.6666666666666666,ADMET,49.75,2,2,2,ATP synthase biochemical inhibition assay; then MIC and cytotoxicity as separate endpoints,high_unpriced; actual laboratory cost unknown,Vina=-8.574 kcal/mol; Open MM/GBSA=-33.9 kcal/mol; exact evidence gate passed; ADMET remains unknown,computational_pre_experimental_prioritization,computational pre-experimental prioritization; not biological activity or validation
