model_id,model,dataset_version,evaluation_samples,scaffold_groups,benchmark_protocol,feature_set,feature_count,spearman,rmse,ndcg_at_5,top_k,recovered_hits,true_hits,top_k_enrichment,hit_recovery,status,notes
Model 0,docking_only,dataset_v0.2,17,11,same_population_direct_ranking,Glide docking score,1,-0.5318627450980392,40.23169444584778,0.27474999583926785,5,1,5,0.6799999999999999,0.2,preserved_comparator,No model fitting; direct Glide ranking on the same verified 17 candidates.
Legacy P1 LightGBM,lightgbm_baseline,dataset_v0.2,17,11,scaffold_grouped_leave_one_out,Morgan1024 + RDKit10 + ADMET_SUM,1035,0.5984059984350675,6.700078697576927,0.7876931670049191,5,2,5,1.3599999999999999,0.4,preserved_comparator,Existing Phase 1.5 OOF predictions retained and re-evaluated on the same candidate order.
Model 2,lightgbm_enhanced_v1,dataset_v0.2,17,11,scaffold_grouped_leave_one_out,Morgan1024 + RDKit11 + verified VSW docking + complete nonconstant QuickProp,1089,0.752450980392157,4.846197658132629,0.7774290836650433,5,2,5,1.3599999999999999,0.4,preserved_comparator,All feature extraction precedes no learned preprocessing; molecular identities are unique and scaffold groups are held out.
Model v2-A,lightgbm_structure_only_v2,dataset_v1.0 + internal dataset_v0.2,17,11,scaffold_grouped_leave_one_group_out,Morgan1024 + RDKit11,1035,0.6299019607843138,6.827989271968826,0.8284645381420178,5,3,5,2.04,0.6,new_v2_result,"Structure-only ablation; target is internal static MM/GBSA, not biological activity."
Model v2-B,lightgbm_enhanced_plus_external_priors_v2,dataset_v1.0 + internal dataset_v0.2,17,11,scaffold_grouped_leave_one_group_out,Preserved Model 2 features + 4 external task priors,1093,0.7573529411764707,4.922646614454728,0.7743921405350457,5,2,5,1.3599999999999999,0.4,new_v2_result,"External models are label-independent of Task C; priors are auxiliary features, not merged labels."
