candidate_id,candidate_origin,panel_order,selection_class,scaffold,cluster,acquisition_score,protocol_disagreement,glide_score,phase14_glide_rank,glide_evidence_status,glide_missing_reason,glide_evidence_source,vina_score,open_mmgbsa_deltaG,open_mmgbsa_sd,frame_count,qc_status,protocol_id,protocol_hash,glide_utility,glide_finite,glide_cohort_n,vina_utility,vina_finite,vina_cohort_n,mmgbsa_utility,open_mmgbsa_finite,open_mmgbsa_cohort_n,protocol_count,three_protocol_complete,three_protocol_status,three_protocol_missing_reason,normalization,interpretation,glide_vs_vina_disagreement,glide_vs_vina_disagreement_status,glide_vs_vina_disagreement_reason,glide_vs_open_mmgbsa_disagreement,glide_vs_open_mmgbsa_disagreement_status,glide_vs_open_mmgbsa_disagreement_reason,vina_vs_open_mmgbsa_disagreement,vina_vs_open_mmgbsa_disagreement_status,vina_vs_open_mmgbsa_disagreement_reason,three_protocol_consensus,normalized_rank_variance,three_protocol_disagreement,three_protocol_disagreement_status,three_protocol_disagreement_reason
ATP-HTVS-DF8AF7E8BFB3,phase15_historical_htvs,23,extreme_disagreement,O=C1c2ccccc2C(C[NH2+]CCc2ccccc2)N1Cc1ccccc1,448,0.0608959208683473,0.9087009803921569,-5.97841732994679,44.0,available_exact_candidate_id,,results/phase14/glide_vina_protocol_disagreement.csv; exact candidate_id,-6.319,-12.14,1.26,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,0.6521739130434783,True,24,0.03448275862068961,True,30,0.06896551724137934,True,30,3,True,available,,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity,0.6176911544227887,available,,0.5832083958020989,available,,0.034482758620689724,available,,0.2518740629685157,0.08031816175870087,0.6176911544227887,available,
ATP-HTVS-B847417F307C,phase15_historical_htvs,27,multi_protocol_strong,O=C(Cc1ccccc1)Nc1cnc2ccccc2c1C#CC(=O)c1ccccc1,538,0.0570080532212885,0.0649509803921568,-5.45752917124397,132.0,available_exact_candidate_id,,results/phase14/glide_vina_protocol_disagreement.csv; exact candidate_id,-9.706,-18.87,2.37,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,0.5217391304347826,True,24,0.9655172413793104,True,30,0.4137931034482759,True,30,3,True,available,,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity,0.4437781109445278,available,,0.10794602698650668,available,,0.5517241379310345,available,,0.6336831584207897,0.05699898676348982,0.5517241379310345,available,
ATP-HTVS-3DA95123E47A,phase15_historical_htvs,21,rank_boundary_uncertain,c1ccc(-c2c(CNCc3ccc(N4CC[NH2+]CC4)cc3)oc3ccccc23)cc1,810,0.0604118522408963,0.8302696078431373,-2.79904934128025,1404.0,available_exact_candidate_id,,results/phase14/glide_vina_protocol_disagreement.csv; exact candidate_id,-9.373,-24.25,2.91,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,0.21739130434782605,True,24,0.7586206896551724,True,30,0.7586206896551724,True,30,3,True,available,,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity,0.5412293853073463,available,,0.5412293853073463,available,,0.0,available,,0.5782108945527237,0.0650953883378151,0.5412293853073463,available,
ATP-HTVS-F0EA8E73CD83,phase15_historical_htvs,25,historical_bridge_interpretable,O=C(Nc1ccccc1)c1cc(NCc2ccccc2)cs1,224,0.0480384525874308,0.6519607843137255,-5.33587701286716,163.0,available_exact_candidate_id,,results/phase14/glide_vina_protocol_disagreement.csv; exact candidate_id,-7.383,-23.16,2.72,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,0.4782608695652174,True,24,0.13793103448275867,True,30,0.6551724137931034,True,30,3,True,available,,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity,0.34032983508245873,available,,0.17691154422788602,available,,0.5172413793103448,available,,0.4237881059470265,0.04607341506657964,0.5172413793103448,available,
ATP-HTVS-1E5A6A308B25,phase15_historical_htvs,6,medium_controls,O=C(Nc1ccncc1NCc1ccccc1)c1ccccc1,861,0.04501677397449,0.329656862745098,-3.79637454853526,1086.0,available_exact_candidate_id,,results/phase14/glide_vina_protocol_disagreement.csv; exact candidate_id,-8.358,-23.72,2.22,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,0.34782608695652173,True,24,0.27586206896551724,True,30,0.7241379310344828,True,30,3,True,available,,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity,0.07196401799100449,available,,0.37631184407796103,available,,0.4482758620689655,available,,0.4492753623188406,0.03863785248804883,0.4482758620689655,available,
ATP-HTVS-9E45A7CB1B23,phase15_historical_htvs,28,rank_boundary_uncertain,O=C(Cn1c(COc2ccccc2)[nH+]c2ccccc21)NCc1ccccc1,603,0.059578518907563,0.8363970588235294,-2.34711079073836,1461.0,available_exact_candidate_id,,results/phase14/glide_vina_protocol_disagreement.csv; exact candidate_id,-9.107,-18.58,2.52,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,0.17391304347826086,True,24,0.6206896551724138,True,30,0.3448275862068966,True,30,3,True,available,,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity,0.44677661169415295,available,,0.1709145427286357,available,,0.27586206896551724,available,,0.37981009495252377,0.03388011141855359,0.44677661169415295,available,
ATP-HTVS-B31ECD8B9A27,phase15_historical_htvs,13,multi_protocol_strong,O=C(NCc1ccccc1)c1cc(-c2ccccn2)nc2ccccc12,157,0.0597418261857926,0.0055147058823529,-5.92766230536446,48.0,available_exact_candidate_id,,results/phase14/glide_vina_protocol_disagreement.csv; exact candidate_id,-9.507,-31.79,2.75,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,0.6086956521739131,True,24,0.8620689655172413,True,30,1.0,True,30,3,True,available,,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity,0.25337331334332824,available,,0.3913043478260869,available,,0.13793103448275867,available,,0.8235882058970514,0.026260233201739952,0.3913043478260869,available,
ATP-HTVS-1356F7D69808,phase15_historical_htvs,22,scaffold_diverse,O=C(NCC1c2ccccc2C(=O)N1Cc1ccccc1)Nc1ccccc1,889,0.057204131652661,0.221813725490196,-4.76216215558839,420.0,available_exact_candidate_id,,results/phase14/glide_vina_protocol_disagreement.csv; exact candidate_id,-9.306,-24.38,3.33,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,0.4347826086956522,True,24,0.7241379310344828,True,30,0.7931034482758621,True,30,3,True,available,,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity,0.28935532233883055,available,,0.3583208395802099,available,,0.06896551724137934,available,,0.6506746626686657,0.02409739657907178,0.3583208395802099,available,
ATP-HTVS-48ECC7021683,phase15_historical_htvs,26,medium_controls,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,189,0.0326821520225232,0.1568627450980392,-4.40656122353877,688.0,available_exact_candidate_id,,results/phase14/glide_vina_protocol_disagreement.csv; exact candidate_id,-7.885,-9.58,2.07,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,0.3913043478260869,True,24,0.2068965517241379,True,30,0.03448275862068961,True,30,3,True,available,,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity,0.18440779610194902,available,,0.3568215892053973,available,,0.1724137931034483,available,,0.21089455272363813,0.021228266426506884,0.3568215892053973,available,
ATP-HTVS-DDBB6FEB6103,phase15_historical_htvs,15,scaffold_diverse,c1ccc(C[NH2+]Cc2oc3ccccc3c2-c2ccccc2)cc1,452,0.057531950280112,0.1219362745098039,-6.29318849134732,13.0,available_exact_candidate_id,,results/phase14/glide_vina_protocol_disagreement.csv; exact candidate_id,-8.824,-20.29,1.74,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,0.8260869565217391,True,24,0.5172413793103448,True,30,0.5172413793103448,True,30,3,True,available,,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity,0.3088455772113944,available,,0.3088455772113944,available,,0.0,available,,0.6201899050474763,0.021196797902897635,0.3088455772113944,available,
