candidate_id,candidate_origin,panel_order,selection_class,scaffold,cluster,acquisition_score,protocol_disagreement,glide_score,phase14_glide_rank,glide_evidence_status,glide_missing_reason,glide_evidence_source,vina_score,open_mmgbsa_deltaG,open_mmgbsa_sd,frame_count,qc_status,protocol_id,protocol_hash,glide_utility,glide_finite,glide_cohort_n,vina_utility,vina_finite,vina_cohort_n,mmgbsa_utility,open_mmgbsa_finite,open_mmgbsa_cohort_n,protocol_count,three_protocol_complete,three_protocol_status,three_protocol_missing_reason,normalization,interpretation
ATP-REF-IN2,internal_reference,1,reference_IN2,,reference,,,,,scientifically_unavailable,no_comparable_historical_glide_result_for_candidate_identity,,-8.212,-24.64,2.88,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,,False,24,0.24137931034482762,True,30,0.8620689655172413,True,30,2,False,scientifically_unavailable,glide_missing,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity
ATP-HTVS-AD7FBCC01633,phase15_historical_htvs,2,multi_protocol_strong,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,27,0.0548872631059242,0.0049019607843137,-6.49299466235293,7.0,available_exact_candidate_id,,results/phase14/glide_vina_protocol_disagreement.csv; exact candidate_id,-9.947,-15.57,2.97,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,0.9130434782608696,True,24,1.0,True,30,0.24137931034482762,True,30,3,True,available,,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity
ATP-HTVS-8F383301D999,phase15_historical_htvs,3,multi_protocol_strong,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,27,0.0548259885961203,0.0110294117647058,-6.30624062048678,12.0,available_exact_candidate_id,,results/phase14/glide_vina_protocol_disagreement.csv; exact candidate_id,-9.621,-15.8,3.03,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,0.8695652173913043,True,24,0.896551724137931,True,30,0.27586206896551724,True,30,3,True,available,,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity
ATP-HTVS-CF9A421CD50D,phase15_historical_htvs,4,extreme_disagreement,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,52,0.042144774828498,0.962622549019608,-1.05740362215688,1612.0,available_exact_candidate_id,,results/phase14/glide_vina_protocol_disagreement.csv; exact candidate_id,-9.475,-23.17,3.43,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,0.04347826086956519,True,24,0.7931034482758621,True,30,0.6896551724137931,True,30,3,True,available,,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity
ATP-HTVS-898AE5CA69D9,phase15_historical_htvs,5,extreme_disagreement,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,305,0.0453046218487394,0.9448529411764706,-0.632866293840059,1628.0,available_exact_candidate_id,,results/phase14/glide_vina_protocol_disagreement.csv; exact candidate_id,-9.134,-20.3,2.54,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,0.0,True,24,0.6551724137931034,True,30,0.5517241379310345,True,30,3,True,available,,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity
ATP-HTVS-1E5A6A308B25,phase15_historical_htvs,6,medium_controls,O=C(Nc1ccncc1NCc1ccccc1)c1ccccc1,861,0.04501677397449,0.329656862745098,-3.79637454853526,1086.0,available_exact_candidate_id,,results/phase14/glide_vina_protocol_disagreement.csv; exact candidate_id,-8.358,-23.72,2.22,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,0.34782608695652173,True,24,0.27586206896551724,True,30,0.7241379310344828,True,30,3,True,available,,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity
ATP-GEN-7A898D5E996B,phase16_generated,7,generated_high_ranking,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,generated,0.7358589216277227,,,,scientifically_unavailable,no_comparable_historical_glide_result_for_candidate_identity,,-8.954,-20.52,2.03,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,,False,24,0.5862068965517242,True,30,0.6206896551724138,True,30,2,False,scientifically_unavailable,glide_missing,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity
ATP-GEN-B94A3A6839BC,phase16_generated,8,generated_diverse_novel,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,generated,0.690575398705704,,,,scientifically_unavailable,no_comparable_historical_glide_result_for_candidate_identity,,-8.366,-30.11,3.7,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,,False,24,0.3793103448275862,True,30,0.9655172413793104,True,30,2,False,scientifically_unavailable,glide_missing,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity
ATP-HTVS-1449F4F4BA71,phase15_historical_htvs,9,extreme_disagreement,O=C(c1ccccc1)c1cnc2ccccc2c1NCc1ccccc1,886,0.0614596463585434,0.9332107843137256,-6.21958526920677,20.0,available_exact_candidate_id,,results/phase14/glide_vina_protocol_disagreement.csv; exact candidate_id,-6.164,-12.82,1.81,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,0.782608695652174,True,24,0.0,True,30,0.13793103448275867,True,30,3,True,available,,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity
ATP-GEN-83963B27D9CD,phase16_generated,10,generated_acquisition,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,generated,0.7281848333536313,,,,scientifically_unavailable,no_comparable_historical_glide_result_for_candidate_identity,,-8.562,-18.9,2.88,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,,False,24,0.4482758620689655,True,30,0.4482758620689655,True,30,2,False,scientifically_unavailable,glide_missing,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity
