candidate_id,candidate_origin,parent_id,canonical_smiles,scaffold,cluster,selection_class,glide_score,glide_rank,vina_score,vina_rank,acquisition_score,protocol_disagreement,novelty,tractability,pose_path,stage_added,panel_order,resolved_pose_path,pose_sha256,pose_evidence_source,pose_source_result,source_pose_protocol
ATP-HTVS-66618B00A972,phase15_historical_htvs,,CC[N@@H+](C)Cc1cc(F)ccc1C[NH2+]Cc1csc(COc2ccc(OC)cc2)n1,c1ccc(C[NH2+]Cc2csc(COc3ccccc3)n2)cc1,125,historical_bridge_interpretable,,3.0,-7.245,1288.0,0.0524173832945028,0.7873774509803921,0.6785142789057869,,,pilot30,11,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/87/874bc1424c4b8ea0abeb3dcb33572c88e7987e79627e5bf8cdc16641af38cc40/pose.pdbqt,28ced0e32118d7b0cb6e9dc0406683b3e7abe76dbe4f4082330a10d00aec2fb6,phase14_vina_success_cache,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/87/874bc1424c4b8ea0abeb3dcb33572c88e7987e79627e5bf8cdc16641af38cc40/result.json,vina_7p3w_v1
ATP-HTVS-9F81613398D9,phase15_historical_htvs,,C[NH+](C)Cc1cccc(CNc2cnc(NC(=O)c3cccc(F)c3F)c(-n3cccc3)c2)c1,O=C(Nc1ncc(NCc2ccccc2)cc1-n1cccc1)c1ccccc1,54,medium_controls,,1094.0,-8.362,540.0,0.0395069647244861,0.3394607843137255,0.6069634889387587,,,pilot30,12,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/a1/a114d2cdfd415661bdc6c58d7e2d34a2b674b1acae6530d1b79e1b36e46a83b6/pose.pdbqt,7a777404afa1b9a4d52c263f0c8dbf01e2e09441e0ff6525ff4621762db543c5,phase14_vina_success_cache,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/a1/a114d2cdfd415661bdc6c58d7e2d34a2b674b1acae6530d1b79e1b36e46a83b6/result.json,vina_7p3w_v1
ATP-HTVS-B31ECD8B9A27,phase15_historical_htvs,,C[NH2+]Cc1ccccc1CNC(=O)c1cc(-c2ccccn2)nc2ccccc12,O=C(NCc1ccccc1)c1cc(-c2ccccn2)nc2ccccc12,157,multi_protocol_strong,,48.0,-9.507,39.0,0.0597418261857926,0.0055147058823529,0.8384962462644228,,,pilot30,13,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/a6/a684269188ced4815a5bd1c2b3f1c977e7b6355a916a7865d91db246ab4268f4/pose.pdbqt,3067912fe94ef9cc080842d779b40ac60cc2d6633b4c5782631e2897d43ac9b7,phase14_vina_success_cache,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/a6/a684269188ced4815a5bd1c2b3f1c977e7b6355a916a7865d91db246ab4268f4/result.json,vina_7p3w_v1
ATP-HTVS-E3E3C457ADC4,phase15_historical_htvs,,[NH3+][C@H](Cc1ccc(O)cc1)c1nc2ccccc2n1/C=C/c1ccccn1,C(=Cn1c(CCc2ccccc2)nc2ccccc21)c1ccccn1,436,rank_boundary_uncertain,,41.0,-6.981,1372.0,0.060485381652661,0.8155637254901961,1.0,,,pilot30,14,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/c2/c20baf18ba59208fa9b8edac23124d9ea690e60f9041b20095f416e5aaa1ca54/pose.pdbqt,e7c5b6d72bd3c93ba2df2d461af0fe03495b2ec8622f67c7bdcfaeb13775ff93,phase14_vina_success_cache,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/c2/c20baf18ba59208fa9b8edac23124d9ea690e60f9041b20095f416e5aaa1ca54/result.json,vina_7p3w_v1
ATP-HTVS-DDBB6FEB6103,phase15_historical_htvs,,C[C@H](O)Cc1ccc(C[NH2+]Cc2oc3ccc(F)cc3c2-c2ccccc2)cc1,c1ccc(C[NH2+]Cc2oc3ccccc3c2-c2ccccc2)cc1,452,scaffold_diverse,,13.0,-8.824,212.0,0.057531950280112,0.1219362745098039,1.0,,,pilot30,15,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/fe/feed2dfba35aa30023f595c6860754c857507e5099b316b362a81fe7f18d43f9/pose.pdbqt,3d74b5a9545b3f9d4c9ad1aa497cdc1b9e52ccde1e7bc23a593816f394762849,phase14_vina_success_cache,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/fe/feed2dfba35aa30023f595c6860754c857507e5099b316b362a81fe7f18d43f9/result.json,vina_7p3w_v1
ATP-HTVS-8E5D0C8C0586,phase15_historical_htvs,,O=C1c2ccccc2[C@@H](CNCc2cc(C3CC3)ccc2F)N1Cc1ccccc1,O=C1c2ccccc2C(CNCc2cccc(C3CC3)c2)N1Cc1ccccc1,642,extreme_disagreement,,1516.0,-9.493,40.0,0.0609480042016806,0.9044117647058824,1.0,,,pilot30,16,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/ff/ff2a47c23bdbbddbc189552944749f7458c4f75da537873ea9ee4489b2811497/pose.pdbqt,9a461ce263f231d9a1a221c06a6a0709af425ffe48261421fe2e088f185610d4,phase14_vina_success_cache,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/ff/ff2a47c23bdbbddbc189552944749f7458c4f75da537873ea9ee4489b2811497/result.json,vina_7p3w_v1
ATP-GEN-B9896EAB127D,phase16_generated,ATP-REF-IN2,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3cccc(Cl)c3nc2SCc2ccccc2)cc1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,generated,generated_acquisition,,,-8.516,14.0,0.7251811391223155,,0.6285714285714286,0.7338888888888888,results\phase16\poses\ATP-GEN-B9896EAB127D_vina_7p3w_v1.pdbqt,pilot30,17,/mnt/d/tiaozhansai/ATP-Navigator/results/phase16/poses/ATP-GEN-B9896EAB127D_vina_7p3w_v1.pdbqt,3e1aff8e754de4b3ccf6388aca8d172cd06667a96023375149ec6ca93a410ba6,phase16_declared_vina_pose,,vina_7p3w_v1
ATP-HTVS-AC71774ACC4B,phase15_historical_htvs,,C[NH+](C)Cc1ccc(CNc2csc(C(=O)N[C@H](C[NH3+])c3ccccc3)c2)cc1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,567,historical_bridge_interpretable,,1.0,-7.449,1182.0,0.0513748496462544,0.7236519607843137,0.6871244233158569,,,pilot30,18,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/5d/5dcca36aee068a96110d2a156c0850a7e34b2bf94f62338a575a0b766ed50d17/pose.pdbqt,82bfb87d4ecfa04ff68c4ce6f0091096fa1d7f536bd0507a9b23cdd2f4118aac,phase14_vina_success_cache,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/5d/5dcca36aee068a96110d2a156c0850a7e34b2bf94f62338a575a0b766ed50d17/result.json,vina_7p3w_v1
ATP-HTVS-7BEC4E93BD87,phase15_historical_htvs,,CN(C)c1ccc(CCNc2c(NC(=O)c3cccc([S-])c3)c[nH+]c3ccccc23)cc1,O=C(Nc1c[nH+]c2ccccc2c1NCCc1ccccc1)c1ccccc1,164,medium_controls,,1098.0,-8.363,538.0,0.0391694988867748,0.3431372549019608,0.6189080487154627,,,pilot30,19,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/16/16666c6a5ba257e36e2c70efb41dc97e7cd536b40defc0e884ea2095798939b7/pose.pdbqt,eee174d4a64935140fe6e3f7d9b4e2ab6bb008056749a834fd92a46d9fe113a1,phase14_vina_success_cache,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/16/16666c6a5ba257e36e2c70efb41dc97e7cd536b40defc0e884ea2095798939b7/result.json,vina_7p3w_v1
ATP-HTVS-E71202E475AE,phase15_historical_htvs,,Cc1cc(OCc2ccccc2)ncc1NC(=O)Nc1ccccc1C[NH+](C)C,O=C(Nc1ccccc1)Nc1ccc(OCc2ccccc2)nc1,427,multi_protocol_strong,,23.0,-9.176,78.0,0.057406950280112,0.0337009803921568,1.0,,,pilot30,20,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/59/590e7231e26dff04e1daa369c3ec73c282d2104938f5b6dff870d2fbef5e05ca/pose.pdbqt,978bc8e6a628535266b6e1cf1c93bf8f4677a4f9aaee42942e1ace6de4c8e420,phase14_vina_success_cache,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/59/590e7231e26dff04e1daa369c3ec73c282d2104938f5b6dff870d2fbef5e05ca/result.json,vina_7p3w_v1
