canonical_id,compound_code,title,variant,pose_index,glide_docking_score,glide_gscore,glide_emodel,glide_energy,glide_evdw,glide_ecoul,glide_einternal,glide_eff_state_penalty,glide_ligand_efficiency,glide_ligand_efficiency_sa,glide_ligand_efficiency_ln,quickprop_accpthb,quickprop_acid,quickprop_acxdn_5_sa,quickprop_amide,quickprop_amidine,quickprop_amine,quickprop_ciqplogs,quickprop_cns,quickprop_dip_2_v,quickprop_dipole,quickprop_donorhb,quickprop_ea_ev,quickprop_fisa,quickprop_fosa,quickprop_glob,quickprop_humanoralabsorption,quickprop_in34,quickprop_in56,quickprop_ip_ev,quickprop_jm,quickprop_metab,quickprop_mol_mw,quickprop_nando,quickprop_noncon,quickprop_nonhatm,quickprop_percenthumanoralabsorption,quickprop_pisa,quickprop_psa,quickprop_qplogbb,quickprop_qplogherg,quickprop_qplogkhsa,quickprop_qplogkp,quickprop_qplogpc16,quickprop_qplogpo_w,quickprop_qplogpoct,quickprop_qplogpw,quickprop_qplogs,quickprop_qppcaco,quickprop_qppmdck,quickprop_qppolrz,quickprop_ringatoms,quickprop_rotor,quickprop_rtvfg,quickprop_ruleoffive,quickprop_ruleofthree,quickprop_saamideo,quickprop_safluorine,quickprop_sasa,quickprop_stars,quickprop_volume,quickprop_wpsa,source_file
ATP-HTVS-F937C5B79A0E,20675,Shen____49239300____6251622____40180766,20675-2,420,-3.97775302150207,-4.01375302150207,-48.7998559184088,-37.8749003410339,-31.9621524810791,-5.91274785995483,4.92006254196167,0.036,-0.116992735926531,-0.379011047525821,-0.878797214642858,6,0,0.013383,0,0,2,-5.288,1,0.0121596,4.179,3,0.904,76.952,147.313,0.792878,3,0,23,9.41,0.000485484761342505,5,460.525,5,0,34,91.031,495.772,67.152,0.201,-8.7,0.869,-4.548,15.984,4.648,25.031,14.043,-4.429,114.806,118.992,50.932,23,8,0,0,0,0,56.495,776.531,1,1436.482,56.495,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-F937C5B79A0E,20675,Shen____49239300____6251622____40180766,20675-3,839,-2.82145936127634,-4.62485936127634,-45.0496415011687,-42.1817421913147,-37.6987991333008,-4.48294305801392,19.9674797058105,1.8034,-0.0829840988610688,-0.268836265672691,-0.623339512160402,6,0,0.012972,0,0,2,-5.288,1,0.0074576,3.287,3,0.897,68.773,156.53,0.7728368,3,0,23,9.401,0.000347236559556417,5,460.525,5,0,34,93.177,525.154,66.035,0.235,-9.165,0.887,-4.294,16.394,4.778,25.116,14.244,-4.828,137.254,134.118,51.697,23,8,0,0,0,0,50.678,801.134,1,1448.579,50.678,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-F937C5B79A0E,20675,Shen____49239300____6251622____40180766,20675-4,1054,-2.25562420147222,-4.05902420147222,-51.2820484100767,-41.7919853925705,-40.307014465332,-1.48497092723846,3.19393372535706,1.8034,-0.0663418882785947,-0.214921963933737,-0.49833065422103,6,0,0.0129781,0,0,2,-5.288,1,0.0116973,4.117,3,0.9,67.302,156.939,0.7734837,3,0,23,9.386,0.000376234207152672,5,460.525,5,0,34,93.526,525.674,65.95,0.253,-9.157,0.889,-4.265,16.389,4.794,25.185,14.237,-4.823,141.735,139.141,51.733,23,8,0,0,0,0,50.839,800.754,1,1449.366,50.839,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-F93F310E89BE,68578,m_282030aaa____21898562____23157418____21968946,68578-1,249,-4.51798694248071,-4.56958694248071,-59.4478305293315,-43.4570035934448,-35.3483543395996,-8.10864925384521,3.22718644142151,0.0516,-0.132881968896492,-0.430485994108045,-0.998150040835256,6.5,0,0.0138717,0,0,1,-7.478,1,0.0650608,9.328,2,1.002,91.913,167.694,0.8859056,3,0,22,8.4,0.00605978169227422,4,474.967,6,0,34,100,322.882,71.666,-0.164,-5.644,0.612,-3.275,14.076,4.392,22.611,11.51,-4.62,332.038,457.011,44.676,22,9,0,0,0,0,34.965,662.671,0,1337.46,80.182,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-F93F310E89BE,68578,m_282030aaa____21898562____23157418____21968946,68578-2,1262,-1.64254294867586,-3.11444294867586,-42.6718266517821,-36.096447467804,-34.091739654541,-2.00470781326294,1.65965819358826,1.4719,-0.0483100867257607,-0.156505926893548,-0.362883809131654,6.5,0,0.0138465,0,0,1,-7.478,1,0.0638572,9.3,2,1.018,94.529,174.069,0.8917515,3,0,22,8.416,0.00479223176116117,4,474.967,6,0,34,100,314.35,72.46,-0.174,-5.509,0.66,-3.353,14.18,4.476,22.837,11.473,-4.643,313.601,433.726,45.273,22,9,0,0,0,0,35.589,663.88,0,1354.418,80.932,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-F97015D0DCF4,74337,rxn502b____EMOL5759763____EMOL30488121____EMOL2873214,74337-1,563,-3.66122677714146,-3.78092677714146,-50.8637415052059,-38.71750831604,-27.8883647918701,-10.8291435241699,3.37921166419983,0.1197,-0.107683140504161,-0.348851572365841,-0.808867689003172,8,0,0.0150789,0,0,1,-6.464,-2,0.0514181,8.454,2,1.337,149.855,191.337,0.8028449,3,0,22,8.695,0.0000837681692641872,6,453.518,6,0,34,82.783,387.531,88.14,-1.017,-7.296,0.458,-4.211,15.267,3.509,24.226,14.232,-5.523,93.696,55.588,48.043,22,8,0,0,0,0,21.577,750.299,0,1390.118,21.577,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-F97015D0DCF4,74337,rxn502b____EMOL5759763____EMOL30488121____EMOL2873214,74337-2,798,-3.00709502984287,-4.26419502984287,-57.8163575104624,-44.7802166938782,-36.7993659973145,-7.98085069656372,4.48874855041504,1.2571,-0.0884439714659668,-0.286524133376199,-0.664351638250883,8,0,0.0156988,0,0,1,-6.464,0,0.0479409,8.125,2,1.368,146.594,177.324,0.8306427,3,0,22,8.8,0.000241990009747278,6,453.518,6,0,34,83.158,368.16,86.369,-0.866,-6.754,0.448,-4.219,14.868,3.479,24.038,14.009,-5.054,100.611,65.593,47.339,22,8,0,0,0,0,28.595,720.673,0,1377.151,28.595,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-F97015D0DCF4,74337,rxn502b____EMOL5759763____EMOL30488121____EMOL2873214,74337-3,979,-2.51115683049661,-4.14795683049661,-50.7616393906866,-37.7840642929077,-32.584342956543,-5.19972133636475,2.20610570907593,1.6368,-0.0738575538381356,-0.239269802746261,-0.554784979419985,8,0,0.014482,0,0,1,-6.464,-2,0.0556454,8.935,2,1.361,148.062,179.544,0.7874112,3,0,22,8.712,0.0000406463799061565,6,453.518,6,0,34,84.964,434.895,87.481,-1.066,-7.772,0.561,-4.011,16.083,3.83,25.061,14.616,-6.037,97.437,55.942,50.274,22,8,0,0,1,0,18.725,781.226,0,1434.563,18.725,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-F99370747DC9,42113,m_282030aaa____21928408____22360182____21968946,42113-2,984,-2.48476670519994,-3.98056670519994,-46.7098766033081,-35.2963209152222,-31.4309921264648,-3.86532878875732,4.14559698104858,1.4958,-0.0776489595374982,-0.246520079823331,-0.556406997476532,5,0,0.0103428,0,0,1,-6.138,1,0.0069994,3.046,2,0.719,50.83,286.874,0.85344,3,0,22,8.172,0.0451930871963268,5,429.539,5,0,32,100,322.827,47.457,0.071,-6.169,0.867,-2.614,13.426,4.952,20.474,10.004,-4.364,814.289,586.862,44.827,22,8,0,0,0,0,23.137,683.668,0,1325.196,23.137,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-F9B5ED51D5DA,81571,rxn502b____EMOL44690203____EMOL13728749____EMOL2868412,81571-1,186,-4.73144566594342,-4.76474566594342,-64.4171149976154,-46.7296538352966,-41.449649810791,-5.28000402450562,3.12549352645874,0.0333,-0.127876909890363,-0.42611423294474,-1.02613964411916,8,0,0.0153574,0,0,1,-7.306,1,0.0557336,9.136,2,1.102,94.979,227.83,0.8592856,3,0,22,8.7,0.0068824380541131,7,495.598,6,0,37,100,372.194,83.326,-0.456,-6.31,0.655,-2.965,15.429,4.661,25.067,13.067,-4.892,310.539,261.602,50.27,22,11,0,0,1,0,41.689,736.692,0,1497.572,41.689,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
