evidence_id,project_id,compound_id,evidence_type,raw_value,normalized_value,unit,protocol_id,tool_version,source_job_id,artifact_hash,timestamp,provenance
ev_d50cc7239668ac3191b57ff0,in2_reconstructed_open_workflow,ATP-RDL-7E4D99F27F6F4500,pose_qc,"{""pose_centroid"": [194.20185714285714, 188.3510857142857, 161.55725714285714], ""pose_count"": 9, ""status"": ""pass""}",,qc_record,vina_7p3w_v1,1.2.7,job_8cc8ff76458f546978ec,e4a733d97c50ebfaa545ef2610d548bb60bd149178e1eeb00513de4c60a39a65,2026-09-03T00:09:06.032188+00:00,"{""ligand_hash"": ""0f798ec2b40627c6cd9cdf1432fd97a40ccac64e5fc96bd1ee0b836d039a2631"", ""origin"": ""tool_execution"", ""pose_hash"": ""e4a733d97c50ebfaa545ef2610d548bb60bd149178e1eeb00513de4c60a39a65"", ""protocol_id"": ""vina_7p3w_v1"", ""receptor_hash"": ""e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed"", ""run_id"": ""in2-7p3w-smoke-reference-v1"", ""scope"": ""open docking evidence; not Glide and not biological activity"", ""tool_id"": ""autodock_vina""}"
ev_952e129c4bd2777dcb9d33d1,in2_reconstructed_open_workflow,ATP-RDL-B943D28D2C2254E2,vina_affinity,-7.59,,kcal/mol,vina_7p3w_v1,1.2.7,job_1dbd808eb8e0a30ec8d7,5fe1492e0398549e99a1d9073240f5159981b280d54e12653f4d8cddeb8b31f4,2026-09-03T00:09:06.058729+00:00,"{""ligand_hash"": ""2e754ebaea351005bf4b6deb2a2a1a49bbb433dcb297d80c5ce32f5add292870"", ""origin"": ""tool_execution"", ""pose_hash"": ""5fe1492e0398549e99a1d9073240f5159981b280d54e12653f4d8cddeb8b31f4"", ""protocol_id"": ""vina_7p3w_v1"", ""receptor_hash"": ""e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed"", ""run_id"": ""in2-7p3w-smoke-reference-v1"", ""scope"": ""open docking evidence; not Glide and not biological activity"", ""tool_id"": ""autodock_vina""}"
ev_cc8c383754695e15a3f6c564,in2_reconstructed_open_workflow,ATP-RDL-B943D28D2C2254E2,pose_qc,"{""pose_centroid"": [193.8964411764706, 187.9990294117647, 161.38750000000002], ""pose_count"": 9, ""status"": ""pass""}",,qc_record,vina_7p3w_v1,1.2.7,job_1dbd808eb8e0a30ec8d7,5fe1492e0398549e99a1d9073240f5159981b280d54e12653f4d8cddeb8b31f4,2026-09-03T00:09:06.060731+00:00,"{""ligand_hash"": ""2e754ebaea351005bf4b6deb2a2a1a49bbb433dcb297d80c5ce32f5add292870"", ""origin"": ""tool_execution"", ""pose_hash"": ""5fe1492e0398549e99a1d9073240f5159981b280d54e12653f4d8cddeb8b31f4"", ""protocol_id"": ""vina_7p3w_v1"", ""receptor_hash"": ""e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed"", ""run_id"": ""in2-7p3w-smoke-reference-v1"", ""scope"": ""open docking evidence; not Glide and not biological activity"", ""tool_id"": ""autodock_vina""}"
ev_77d66bf960145375b78e4ebf,in2_reconstructed_open_workflow,ATP-RDL-C81613A871495152,vina_affinity,-8.365,,kcal/mol,vina_7p3w_v1,1.2.7,job_6ddf84928e34340a52f5,aab75fcd47bd8ceef080d5ae88418de9022c9c528bbc17c835dc9e80b52ac260,2026-09-03T00:09:06.089150+00:00,"{""ligand_hash"": ""d69f1ee4fe80266ac017f0767942d57c6ed163bf3c8d4464af51039313ec27d8"", ""origin"": ""tool_execution"", ""pose_hash"": ""aab75fcd47bd8ceef080d5ae88418de9022c9c528bbc17c835dc9e80b52ac260"", ""protocol_id"": ""vina_7p3w_v1"", ""receptor_hash"": ""e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed"", ""run_id"": ""in2-7p3w-smoke-reference-v1"", ""scope"": ""open docking evidence; not Glide and not biological activity"", ""tool_id"": ""autodock_vina""}"
ev_14963a24726e06cf2729d42e,in2_reconstructed_open_workflow,ATP-RDL-C81613A871495152,pose_qc,"{""pose_centroid"": [194.134, 188.7420285714286, 162.38105714285712], ""pose_count"": 9, ""status"": ""pass""}",,qc_record,vina_7p3w_v1,1.2.7,job_6ddf84928e34340a52f5,aab75fcd47bd8ceef080d5ae88418de9022c9c528bbc17c835dc9e80b52ac260,2026-09-03T00:09:06.090147+00:00,"{""ligand_hash"": ""d69f1ee4fe80266ac017f0767942d57c6ed163bf3c8d4464af51039313ec27d8"", ""origin"": ""tool_execution"", ""pose_hash"": ""aab75fcd47bd8ceef080d5ae88418de9022c9c528bbc17c835dc9e80b52ac260"", ""protocol_id"": ""vina_7p3w_v1"", ""receptor_hash"": ""e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed"", ""run_id"": ""in2-7p3w-smoke-reference-v1"", ""scope"": ""open docking evidence; not Glide and not biological activity"", ""tool_id"": ""autodock_vina""}"
ev_af2b16de0342149af8fe54fa,in2_reconstructed_open_workflow,ATP-RDL-FC76E2D041DBC392,vina_affinity,-8.574,,kcal/mol,vina_7p3w_v1,1.2.7,job_408d5c220c14eb19e2aa,0d3cf81c7ad2094944b637f2983b099292fd809f095d58c9b064a7364cc34526,2026-09-03T00:09:06.117083+00:00,"{""ligand_hash"": ""7015737e4d2abee1f9fb23a86f3220c507153ede2883d1ade7beb1d98740128a"", ""origin"": ""tool_execution"", ""pose_hash"": ""0d3cf81c7ad2094944b637f2983b099292fd809f095d58c9b064a7364cc34526"", ""protocol_id"": ""vina_7p3w_v1"", ""receptor_hash"": ""e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed"", ""run_id"": ""in2-7p3w-smoke-reference-v1"", ""scope"": ""open docking evidence; not Glide and not biological activity"", ""tool_id"": ""autodock_vina""}"
ev_c5eb7b5288c4924af953dbd3,in2_reconstructed_open_workflow,ATP-RDL-FC76E2D041DBC392,pose_qc,"{""pose_centroid"": [195.4077777777778, 188.99869444444442, 160.56847222222223], ""pose_count"": 9, ""status"": ""pass""}",,qc_record,vina_7p3w_v1,1.2.7,job_408d5c220c14eb19e2aa,0d3cf81c7ad2094944b637f2983b099292fd809f095d58c9b064a7364cc34526,2026-09-03T00:09:06.119086+00:00,"{""ligand_hash"": ""7015737e4d2abee1f9fb23a86f3220c507153ede2883d1ade7beb1d98740128a"", ""origin"": ""tool_execution"", ""pose_hash"": ""0d3cf81c7ad2094944b637f2983b099292fd809f095d58c9b064a7364cc34526"", ""protocol_id"": ""vina_7p3w_v1"", ""receptor_hash"": ""e5e92ede1b1d000b00a7e5dbe3f3b02f0df0cd63b47dd8a421eeb8bddb1083ed"", ""run_id"": ""in2-7p3w-smoke-reference-v1"", ""scope"": ""open docking evidence; not Glide and not biological activity"", ""tool_id"": ""autodock_vina""}"
ev_928a9b8409e9d2b7c30e1ea2,in2_reconstructed_open_workflow,ATP-RDL-FC76E2D041DBC392,open_mmgbsa_deltaG,-33.9,,kcal/mol,open_mmgbsa_7p3w_v2,OpenMM 8.6.0 + gmx_MMPBSA 1.6.5,job_7e25fc6c7084d053e56b,5aac2886aabd5879d72ba4090459c44eea6678bddfc2eba42cf3cb21a2afbe2d,2026-09-03T07:09:30.263910+00:00,"{""origin"": ""tool_execution"", ""protocol_hash"": ""cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab"", ""run_id"": ""in2-7p3w-smoke-reference-v1"", ""scope"": ""comparative screening-level high-cost computational evidence; not activity"", ""source_pose_hash"": ""0d3cf81c7ad2094944b637f2983b099292fd809f095d58c9b064a7364cc34526"", ""source_pose_protocol"": ""vina_7p3w_v1"", ""training"": false, ""workflow"": ""in2_7p3w_reference""}"
ev_3570b8ee276697f01ca3236c,in2_reconstructed_open_workflow,ATP-RDL-FC76E2D041DBC392,open_mmgbsa_uncertainty,2.76,,kcal/mol,open_mmgbsa_7p3w_v2,OpenMM 8.6.0 + gmx_MMPBSA 1.6.5,job_7e25fc6c7084d053e56b,5aac2886aabd5879d72ba4090459c44eea6678bddfc2eba42cf3cb21a2afbe2d,2026-09-03T07:09:30.264912+00:00,"{""origin"": ""tool_execution"", ""protocol_hash"": ""cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab"", ""run_id"": ""in2-7p3w-smoke-reference-v1"", ""scope"": ""comparative screening-level high-cost computational evidence; not activity"", ""source_pose_hash"": ""0d3cf81c7ad2094944b637f2983b099292fd809f095d58c9b064a7364cc34526"", ""source_pose_protocol"": ""vina_7p3w_v1"", ""training"": false, ""workflow"": ""in2_7p3w_reference""}"
ev_0f1a4f28c0d9ddcc1dfc9761,in2_reconstructed_open_workflow,ATP-RDL-FC76E2D041DBC392,reference_workflow_priority_score,55.0,,computational_priority_not_probability,reference_decision_a89f1660b634,frozen_existing_priors_plus_transparent_decision_v1,job_71137c3a90b850682b06,9fa10a7368a4c118e2ddfdbb92089119fc491657f20c5f9c4d6d2e959e6c3ffa,2026-09-03T07:10:44.339193+00:00,"{""decision_run_id"": ""decision_41661af007fbb4067a28fe31"", ""origin"": ""frozen_model_output"", ""profile"": ""computational_pre_experimental_v1""}"
