assay_id,organism,doi,n,scaffolds,endpoint,label,cross_DOI_validation,status,scaffold_OOF_covered
asy_4f7a87e5bfe2,Acinetobacter baumannii,10.1002/cmdc.202400952,6,4,IC50_ATP_synthesis,recomputed_p_activity_within_assay,not_available_single_DOI_per_assay,conditional_pilot_fit,6.0
asy_55188c1cb354,Pseudomonas aeruginosa,10.1021/acsmedchemlett.3c00480,19,14,IC50_ATP_synthesis,recomputed_p_activity_within_assay,not_available_single_DOI_per_assay,conditional_pilot_fit,19.0
asy_6c2d0a1024e4,Pseudomonas aeruginosa,10.1021/acsomega.2c03127,6,5,IC50_ATP_synthesis,recomputed_p_activity_within_assay,not_available_single_DOI_per_assay,conditional_pilot_fit,6.0
asy_72ab0153c0c5,Pseudomonas aeruginosa,10.1002/cmdc.202400952,6,4,IC50_ATP_synthesis,recomputed_p_activity_within_assay,not_available_single_DOI_per_assay,conditional_pilot_fit,6.0
asy_aa7b51602589,Pseudomonas aeruginosa,10.1021/acsinfecdis.3c00317,2,2,IC50_ATP_synthesis,recomputed_p_activity_within_assay,not_available_single_DOI_per_assay,reference_only_small_data_no_fit,
asy_e0b3632b492e,Acinetobacter baumannii,10.1021/acsomega.5c06380,10,3,IC50_ATP_synthesis,recomputed_p_activity_within_assay,not_available_single_DOI_per_assay,conditional_pilot_fit,10.0
