compound_id,release_prior_asy_4f7a87e5bfe2,release_similarity_asy_4f7a87e5bfe2,release_prior_asy_55188c1cb354,release_similarity_asy_55188c1cb354,release_prior_asy_6c2d0a1024e4,release_similarity_asy_6c2d0a1024e4,release_prior_asy_72ab0153c0c5,release_similarity_asy_72ab0153c0c5,release_prior_asy_e0b3632b492e,release_similarity_asy_e0b3632b492e
ATP-SMI-15737353FB69,6.166932973841535,0.19753086419753085,5.048914283927659,0.18604651162790697,4.833369368845912,0.1411764705882353,5.958661811564011,0.19753086419753085,5.880872578476223,0.24358974358974358
ATP-SMI-4417138BF81D,5.975768977200476,0.225,5.150872623698165,0.23684210526315788,4.7367434522730525,0.3013698630136986,5.86334059226112,0.225,5.8742258877312015,0.13978494623655913
ATP-SMI-5B36D3E11A3B,6.043770283210792,0.18181818181818182,5.020458776354982,0.18181818181818182,4.685611666961779,0.2222222222222222,5.918225264457587,0.18181818181818182,5.876348781902816,0.16470588235294117
ATP-SMI-5D3E7B6B6796,6.01364373009061,0.16853932584269662,4.907405793032586,0.175,4.738037686704936,0.25316455696202533,5.884141215619715,0.16853932584269662,5.875769159520896,0.16666666666666666
ATP-SMI-775D33706F04,6.036179526405768,0.20238095238095238,5.0271724496716,0.2,4.698723761238548,0.21686746987951808,5.9138096816129035,0.20238095238095238,5.8746848647101775,0.2
ATP-SMI-874C2DE25FE4,6.159736642332852,0.19101123595505617,5.0329997196509515,0.19101123595505617,4.833369368845912,0.14772727272727273,5.970294480724668,0.19101123595505617,6.044942966811125,0.23809523809523808
ATP-SMI-91E7552C2382,6.039631908246896,0.17857142857142858,5.039881908724672,0.17857142857142858,4.79381156000984,0.23684210526315788,5.922783081476994,0.17857142857142858,5.883505952551549,0.20224719101123595
ATP-SMI-94F73967C042,6.086621672445812,0.20481927710843373,5.037657269204155,0.21052631578947367,4.7990896369192475,0.20481927710843373,5.92830694250268,0.20481927710843373,5.880747413190335,0.17647058823529413
ATP-SMI-96FD6257D8BA,6.153661252023872,0.16483516483516483,5.013791318728492,0.15625,4.764116642715743,0.14444444444444443,5.948194006679541,0.16483516483516483,5.884978815896472,0.2111111111111111
ATP-SMI-9DA3213A09E8,6.040416531234186,0.17391304347826086,5.049860002774907,0.17391304347826086,4.678297577924169,0.21176470588235294,5.931830779805298,0.17391304347826086,5.880985811710779,0.16129032258064516
ATP-SMI-BF69AB71C1A4,6.086621672445812,0.17391304347826086,5.043898867062319,0.17391304347826086,4.701445857361661,0.2261904761904762,5.92830694250268,0.17391304347826086,5.879442539921085,0.15730337078651685
ATP-SMI-C3308BEE03AC,6.086621672445812,0.1744186046511628,5.043898867062319,0.17073170731707318,4.685611666961779,0.21686746987951808,5.92830694250268,0.1744186046511628,5.876348781902816,0.1744186046511628
ATP-SMI-C93E6EC67CDB,6.10426475511089,0.18478260869565216,5.016581992825111,0.18478260869565216,4.833369368845912,0.2235294117647059,5.946127589952428,0.18478260869565216,5.876348781902816,0.16304347826086957
ATP-SMI-CDED936B42F4,6.01364373009061,0.17647058823529413,5.016285457455255,0.18421052631578946,4.837517229778034,0.26666666666666666,5.884141215619715,0.17647058823529413,5.875769159520896,0.1590909090909091
ATP-SMI-CFA68A98711F,6.01364373009061,0.189873417721519,4.930804271446131,0.2,4.802608795349081,0.2535211267605634,5.884141215619715,0.189873417721519,5.875769159520896,0.18292682926829268
ATP-SMI-E9798004BA11,6.139438228950265,0.17777777777777778,4.983275604767977,0.18518518518518517,4.680333590052373,0.24691358024691357,5.988105682632442,0.17777777777777778,5.880412194533281,0.2
ATP-SMI-FCA9CDF3313B,6.183790027502184,0.2,5.03954461942128,0.2235294117647059,4.7095566387313825,0.2,6.012453352685043,0.2,5.887302135371927,0.18085106382978725
