acquisition_id,acquisition_order,priority,wave,selection_arm,arm_rank,selection_objective,canonical_id,compound_code,title,variant,pose_index,source_file,source_file_exists,pose_count,variant_count,smiles,structure_status,feature_completeness,glide_docking_score,glide_emodel,glide_energy,glide_ligand_efficiency,docking_priority,emodel_priority,ligand_efficiency_priority,exploitation_score,quickprop_mol_mw,quickprop_psa,quickprop_qplogpo_w,quickprop_qplogs,quickprop_qplogherg,quickprop_percenthumanoralabsorption,quickprop_stars,known_internal_overlap,next_required_action,mmgbsa_label_status,experimental_activity_status
ATP-ACQ-0012,12,P0,1,score_calibration,4,add medium and weak docking controls to reduce Top-candidate selection bias,ATP-HTVS-AD7D334F30DB,88673,rxn503b____EMOL491633____EMOL44466703____EMOL313110234,88673-4,94,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,2,2,,pending_export_from_source_pose,1.0,-5.06400722066418,-62.9042576581173,-41.8696527481079,-0.153454764262551,0.8413962033067973,0.8144519289650949,0.7379056950398041,0.812614819350888,445.443,70.69,4.781,-5.221,-7.41,96.613,1,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0013,13,P0,1,exploitation,5,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,ATP-HTVS-CEDCE5F1BEB7,20034,WXDL_15E____QS5063____LN00244457____BT0555,20034-1,3,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,True,4,4,,pending_export_from_source_pose,1.0,-6.66143670294278,-75.0111691161288,-45.1896057128906,-0.256209103959338,0.9969381506429884,0.977342314758114,1.0,0.9916717697489283,347.459,52.309,3.588,-3.658,-8.496,84.255,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0014,14,P0,1,descriptor_diversity,5,expand physicochemical and docking-feature coverage before SMILES/scaffold extraction,ATP-HTVS-83530B88E656,71585,rxn512c____EMOL884318____EMOL523944____EMOL2873214,71585-2,1390,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,1,1,,pending_export_from_source_pose,1.0,-1.07559731526357,-41.6711770656472,-38.3380127549171,-0.0307313518646734,0.014696876913655848,0.10104102878138396,0.011635027556644213,0.03998775260257195,487.615,77.197,4.958,-5.245,-8.712,90.1,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0015,15,P0,1,score_calibration,5,add medium and weak docking controls to reduce Top-candidate selection bias,ATP-HTVS-1356F7D69808,27907,m_2430bbb____22525962____12219700,27907-1,176,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,True,4,4,,pending_export_from_source_pose,1.0,-4.76216215558839,-61.029566429269,-45.0814352035522,-0.144307944108739,0.743417023882425,0.7513778322106552,0.6656460502143294,0.730251071647275,446.523,79.379,4.07,-5.046,-6.283,96.687,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0016,16,P0,1,exploitation,6,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,ATP-HTVS-65F4836C7042,84577,rxn503c____EMOL478035____EMOL49259969____EMOL313110234,84577-4,2,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,1,1,,pending_export_from_source_pose,1.0,-6.71312251253104,-81.2037236211537,-52.3964242935181,-0.203427954925183,0.9975505205143906,0.9932639314145744,0.9736680955296999,0.9914880587875076,458.549,73.174,4.969,-3.752,-5.218,100.0,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0017,17,P0,1,descriptor_diversity,6,expand physicochemical and docking-feature coverage before SMILES/scaffold extraction,ATP-HTVS-542A37ED863C,14243,a1____51052____400834,14243-2,569,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,True,1,1,,pending_export_from_source_pose,1.0,-3.62532293838666,-47.6790657138249,-36.8398561477661,-0.129475819228095,0.2694427434170239,0.22780159216166565,0.483159828536436,0.2996938150642989,368.434,46.762,4.591,-4.483,-5.335,100.0,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0018,18,P0,1,score_calibration,6,add medium and weak docking controls to reduce Top-candidate selection bias,ATP-HTVS-3E3A2065ACC9,14370,a4____241131____9264,14370-1,178,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,True,1,1,,pending_export_from_source_pose,1.0,-4.76204452470596,-58.9140697128815,-41.9241495132446,-0.164208431886412,0.7428046540110227,0.6754439681567667,0.8260869565217391,0.7392529087568892,387.456,49.71,4.851,-4.627,-6.594,100.0,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0019,19,P0,1,exploitation,7,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,ATP-HTVS-60D4F7FF4B6B,48865,m_270004beb____23853920____7548658,48865-1,5,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,6,6,,pending_export_from_source_pose,1.0,-6.28370093518969,-77.708544089105,-48.6822500228882,-0.224417890542489,0.9908144519289651,0.9883649724433557,0.994488671157379,0.9908144519289651,395.518,62.805,3.55,-2.546,-6.065,78.842,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0020,20,P0,1,descriptor_diversity,7,expand physicochemical and docking-feature coverage before SMILES/scaffold extraction,ATP-HTVS-BE963CFE3042,38017,m_282030aaa____21899824____22360182____21952560,38017-5,1247,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,1,1,,pending_export_from_source_pose,1.0,-1.74970143665166,-47.1054849182385,-38.6020951271057,-0.0546781698953643,0.06062461726883037,0.21494182486221677,0.05327617881200245,0.1054500918554807,426.563,77.289,4.801,-4.785,-5.222,100.0,1,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0021,21,P0,1,score_calibration,7,add medium and weak docking controls to reduce Top-candidate selection bias,ATP-HTVS-8F8686BB907F,97314,rxn503b____EMOL483931____EMOL13728749____EMOL313110234,97314-3,239,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,True,4,4,,pending_export_from_source_pose,1.0,-4.53135217453925,-61.1460713694533,-44.4396772384644,-0.137313702258765,0.6442131047152481,0.7556644213104715,0.5756276791181874,0.663931414574403,434.472,97.746,4.124,-6.391,-8.187,84.098,1,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
