acquisition_id,acquisition_order,priority,wave,selection_arm,arm_rank,selection_objective,canonical_id,compound_code,title,variant,pose_index,source_file,source_file_exists,pose_count,variant_count,feature_completeness,glide_docking_score,glide_emodel,glide_energy,glide_ligand_efficiency,docking_priority,emodel_priority,ligand_efficiency_priority,exploitation_score,quickprop_mol_mw,quickprop_psa,quickprop_qplogpo_w,quickprop_qplogs,quickprop_qplogherg,quickprop_percenthumanoralabsorption,quickprop_stars,known_internal_overlap,next_required_action,mmgbsa_label_status,experimental_activity_status,canonical_smiles,canonical_smiles_nonisomeric,scaffold,molecular_formula,formal_charge,heavy_atom_count,atom_count_with_h,conformer_count,smiles_sha256,structure_join_status,structure_status
ATP-ACQ-0012,12,P0,1,score_calibration,4,add medium and weak docking controls to reduce Top-candidate selection bias,ATP-HTVS-AD7D334F30DB,88673,rxn503b____EMOL491633____EMOL44466703____EMOL313110234,88673-4,94,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,2,2,1.0,-5.06400722066418,-62.9042576581173,-41.8696527481079,-0.153454764262551,0.8413962033067973,0.8144519289650949,0.7379056950398041,0.812614819350888,445.443,70.69,4.781,-5.221,-7.41,96.613,1,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,[NH3+][C@H](C#Cc1cc2ccccc2nc1NC(=O)c1cc(F)ccc1F)Cc1cccc(F)c1,[NH3+]C(C#Cc1cc2ccccc2nc1NC(=O)c1cc(F)ccc1F)Cc1cccc(F)c1,O=C(Nc1nc2ccccc2cc1C#CCCc1ccccc1)c1ccccc1,C26H19F3N3O+,1.0,33.0,52.0,1.0,a6171d7334885c9c30bbed565c64e967ba651058e8c92a4cc5aa361cf1a931c2,matched,extracted_and_rdkit_validated
ATP-ACQ-0013,13,P0,1,exploitation,5,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,ATP-HTVS-CEDCE5F1BEB7,20034,WXDL_15E____QS5063____LN00244457____BT0555,20034-1,3,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,True,4,4,1.0,-6.66143670294278,-75.0111691161288,-45.1896057128906,-0.256209103959338,0.9969381506429884,0.977342314758114,1.0,0.9916717697489283,347.459,52.309,3.588,-3.658,-8.496,84.255,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,C[NH+](C)Cc1ccc(C[NH2+]Cc2ccc(-c3ccc(O)cc3)nc2)cc1,C[NH+](C)Cc1ccc(C[NH2+]Cc2ccc(-c3ccc(O)cc3)nc2)cc1,c1ccc(C[NH2+]Cc2ccc(-c3ccccc3)nc2)cc1,C22H27N3O+2,2.0,26.0,53.0,1.0,767480049c9203543d78e208928f99945ebba7fa1f2cb522acb0fd62d20d7031,matched,extracted_and_rdkit_validated
ATP-ACQ-0014,14,P0,1,descriptor_diversity,5,expand physicochemical and docking-feature coverage before SMILES/scaffold extraction,ATP-HTVS-83530B88E656,71585,rxn512c____EMOL884318____EMOL523944____EMOL2873214,71585-2,1390,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,1,1,1.0,-1.07559731526357,-41.6711770656472,-38.3380127549171,-0.0307313518646734,0.0146968769136558,0.1010410287813839,0.0116350275566442,0.0399877526025719,487.615,77.197,4.958,-5.245,-8.712,90.1,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,COC(=O)c1ccc(N(C)C(=O)c2sc3ccccc3c2NCc2cccc(CN(C)C)c2)cc1,COC(=O)c1ccc(N(C)C(=O)c2sc3ccccc3c2NCc2cccc(CN(C)C)c2)cc1,O=C(Nc1ccccc1)c1sc2ccccc2c1NCc1ccccc1,C28H29N3O3S,0.0,35.0,64.0,1.0,9c505708a4a8b522f8126645a64fa87dfb79d62cce447b7d8d461c199deed3d6,matched,extracted_and_rdkit_validated
ATP-ACQ-0015,15,P0,1,score_calibration,5,add medium and weak docking controls to reduce Top-candidate selection bias,ATP-HTVS-1356F7D69808,27907,m_2430bbb____22525962____12219700,27907-1,176,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,True,4,4,1.0,-4.76216215558839,-61.029566429269,-45.0814352035522,-0.144307944108739,0.743417023882425,0.7513778322106552,0.6656460502143294,0.730251071647275,446.523,79.379,4.07,-5.046,-6.283,96.687,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,C[NH+](C)Cc1ccc(NC(=O)NC[C@H]2c3ccccc3C(=O)N2Cc2ccccc2)c(F)c1,C[NH+](C)Cc1ccc(NC(=O)NCC2c3ccccc3C(=O)N2Cc2ccccc2)c(F)c1,O=C(NCC1c2ccccc2C(=O)N1Cc1ccccc1)Nc1ccccc1,C26H28FN4O2+,1.0,33.0,61.0,1.0,d08e0296790af4639adc8e2a5f9e464d52314c6548fa457fbadfe0c3d2c383a0,matched,extracted_and_rdkit_validated
ATP-ACQ-0016,16,P0,1,exploitation,6,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,ATP-HTVS-65F4836C7042,84577,rxn503c____EMOL478035____EMOL49259969____EMOL313110234,84577-4,2,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,1,1,1.0,-6.71312251253104,-81.2037236211537,-52.3964242935181,-0.203427954925183,0.9975505205143906,0.9932639314145744,0.9736680955297,0.9914880587875076,458.549,73.174,4.969,-3.752,-5.218,100.0,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,CN(Cc1sc2ccccc2c1C#C[C@@H]([NH3+])Cc1cccc(F)c1)C(=O)c1ccccc1O,CN(Cc1sc2ccccc2c1C#CC([NH3+])Cc1cccc(F)c1)C(=O)c1ccccc1O,O=C(NCc1sc2ccccc2c1C#CCCc1ccccc1)c1ccccc1,C27H24FN2O2S+,1.0,33.0,57.0,1.0,8a95bd9ac77713fed2335a4550456e22c2f582b2821581d553b757da027803c1,matched,extracted_and_rdkit_validated
ATP-ACQ-0017,17,P0,1,descriptor_diversity,6,expand physicochemical and docking-feature coverage before SMILES/scaffold extraction,ATP-HTVS-542A37ED863C,14243,a1____51052____400834,14243-2,569,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,True,1,1,1.0,-3.62532293838666,-47.6790657138249,-36.8398561477661,-0.129475819228095,0.2694427434170239,0.2278015921616656,0.483159828536436,0.2996938150642989,368.434,46.762,4.591,-4.483,-5.335,100.0,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,Cc1ccc(Oc2cc(C(=O)N(C)c3ccccc3)[nH+]c3ccccc23)cc1,Cc1ccc(Oc2cc(C(=O)N(C)c3ccccc3)[nH+]c3ccccc23)cc1,O=C(Nc1ccccc1)c1cc(Oc2ccccc2)c2ccccc2[nH+]1,C24H21N2O2+,1.0,28.0,49.0,1.0,cefcc7c5efe6e2ff2580a0b9b021409bff35a4219b8f1dc9f8c3b0f019d752ea,matched,extracted_and_rdkit_validated
ATP-ACQ-0018,18,P0,1,score_calibration,6,add medium and weak docking controls to reduce Top-candidate selection bias,ATP-HTVS-3E3A2065ACC9,14370,a4____241131____9264,14370-1,178,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,True,1,1,1.0,-4.76204452470596,-58.9140697128815,-41.9241495132446,-0.164208431886412,0.7428046540110227,0.6754439681567667,0.8260869565217391,0.7392529087568892,387.456,49.71,4.851,-4.627,-6.594,100.0,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,Cc1ccc(C[NH2+]Cc2cn(-c3ccccc3)nc2-c2ccc(F)cc2)cc1O,Cc1ccc(C[NH2+]Cc2cn(-c3ccccc3)nc2-c2ccc(F)cc2)cc1O,c1ccc(C[NH2+]Cc2cn(-c3ccccc3)nc2-c2ccccc2)cc1,C24H23FN3O+,1.0,29.0,52.0,1.0,dcbe555da459b08b920c2708b2a1ca70698ae200a951dcbf81b520a84d5a625b,matched,extracted_and_rdkit_validated
ATP-ACQ-0019,19,P0,1,exploitation,7,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,ATP-HTVS-60D4F7FF4B6B,48865,m_270004beb____23853920____7548658,48865-1,5,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,6,6,1.0,-6.28370093518969,-77.708544089105,-48.6822500228882,-0.224417890542489,0.9908144519289652,0.9883649724433556,0.994488671157379,0.9908144519289652,395.518,62.805,3.55,-2.546,-6.065,78.842,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,C[C@@H]([NH2+]Cc1ccc(-c2ccc([N+](=O)[O-])cc2)s1)c1ccc(C[NH+](C)C)cc1,CC([NH2+]Cc1ccc(-c2ccc([N+](=O)[O-])cc2)s1)c1ccc(C[NH+](C)C)cc1,c1ccc(C[NH2+]Cc2ccc(-c3ccccc3)s2)cc1,C22H27N3O2S+2,2.0,28.0,55.0,1.0,42bd4c9133463b64029048a748c0f74b1939b49eb1406560eb4e8c2d1a976fa3,matched,extracted_and_rdkit_validated
ATP-ACQ-0020,20,P0,1,descriptor_diversity,7,expand physicochemical and docking-feature coverage before SMILES/scaffold extraction,ATP-HTVS-BE963CFE3042,38017,m_282030aaa____21899824____22360182____21952560,38017-5,1247,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,1,1,1.0,-1.74970143665166,-47.1054849182385,-38.6020951271057,-0.0546781698953643,0.0606246172688303,0.2149418248622167,0.0532761788120024,0.1054500918554807,426.563,77.289,4.801,-4.785,-5.222,100.0,1,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,CC(C)Nc1ccc(CNc2nc(N[C@H](C)c3ccccc3N)c3ccccc3n2)cc1,CC(C)Nc1ccc(CNc2nc(NC(C)c3ccccc3N)c3ccccc3n2)cc1,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1,C26H30N6,0.0,32.0,62.0,1.0,30ecd2565d7a41cfb4ac4c8de7311c49e4a53b05d9d29e6a192751033360be7e,matched,extracted_and_rdkit_validated
ATP-ACQ-0021,21,P0,1,score_calibration,7,add medium and weak docking controls to reduce Top-candidate selection bias,ATP-HTVS-8F8686BB907F,97314,rxn503b____EMOL483931____EMOL13728749____EMOL313110234,97314-3,239,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,True,4,4,1.0,-4.53135217453925,-61.1460713694533,-44.4396772384644,-0.137313702258765,0.6442131047152481,0.7556644213104715,0.5756276791181874,0.663931414574403,434.472,97.746,4.124,-6.391,-8.187,84.098,1,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,N#Cc1cccc(C(=O)Nc2c(C#C[C@H]([NH3+])Cc3cccc(F)c3)cnc3ccccc23)c1,N#Cc1cccc(C(=O)Nc2c(C#CC([NH3+])Cc3cccc(F)c3)cnc3ccccc23)c1,O=C(Nc1c(C#CCCc2ccccc2)cnc2ccccc12)c1ccccc1,C27H20FN4O+,1.0,33.0,53.0,1.0,cef3660e88a555472ef3c541120ef9a9efbae778da7e0eed8b2185cbe57554eb,matched,extracted_and_rdkit_validated
ATP-ACQ-0022,22,P0,1,exploitation,8,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,ATP-HTVS-AD7FBCC01633,85217,rxn503b____EMOL521529____EMOL44466703____EMOL313110234,85217-4,3,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,4,4,1.0,-6.49299466235293,-79.6232006914258,-51.6643199920654,-0.196757414010695,0.996325780771586,0.992651561543172,0.9638701775872628,0.9887323943661972,439.488,92.002,4.486,-4.692,-7.494,93.068,1,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,[NH3+][C@H](C#Cc1cc2ccccc2nc1NC(=O)Cc1ccc(O)cc1)Cc1cccc(F)c1,[NH3+]C(C#Cc1cc2ccccc2nc1NC(=O)Cc1ccc(O)cc1)Cc1cccc(F)c1,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,C27H23FN3O2+,1.0,33.0,56.0,1.0,86012d81fae6eee11b44a7c398d6388c9980f73b56b92c44ce4f6ef415c6c141,matched,extracted_and_rdkit_validated
ATP-ACQ-0023,23,P0,1,descriptor_diversity,8,expand physicochemical and docking-feature coverage before SMILES/scaffold extraction,ATP-HTVS-F8D25E752EF8,79427,rxn512b____EMOL299981165____EMOL1939773____EMOL6185419,79427-1,671,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,True,2,2,1.0,-3.34273397361502,-39.070020243579,-33.265604019165,-0.10783012818113,0.2057562767911818,0.0661359461114513,0.2406613594611145,0.1708511941212492,415.491,95.799,2.629,-4.022,-7.6,78.73,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,O=C1CN(Cc2ccccc2C(=O)NCCO)[C@H](c2ccccc2)c2ccccc2N1,O=C1CN(Cc2ccccc2C(=O)NCCO)C(c2ccccc2)c2ccccc2N1,O=C1CN(Cc2ccccc2)C(c2ccccc2)c2ccccc2N1,C25H25N3O3,0.0,31.0,56.0,1.0,d50fd0eeff7f214aa48c5d7735cca2461b4095258d5171c47b0eee4b1282a992,matched,extracted_and_rdkit_validated
