acquisition_id,canonical_id,compound_code,title,variant,pose_index,source_file,priority,wave,selection_arm,exported_structure_file,canonical_smiles,structure_qc_status,mmgbsa_protocol_id,protein_structure_id,software_version,mmgbsa_dg_bind_kcal_mol,calculation_status,calculation_date,operator,notes
ATP-ACQ-0023,ATP-HTVS-F8D25E752EF8,79427,rxn512b____EMOL299981165____EMOL1939773____EMOL6185419,79427-1,671,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,P0,1,descriptor_diversity,,,,,,,,,,,
ATP-ACQ-0024,ATP-HTVS-7EF96EA99BCF,95361,rxn502b____EMOL5849923____EMOL30488121____EMOL49839592,95361-1,228,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,P0,1,score_calibration,,,,,,,,,,,
ATP-ACQ-0025,ATP-HTVS-2AD5F3716208,34434,m_269862bba____8257516____13192834,34434-2,4,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,P1,2,exploitation,,,,,,,,,,,
ATP-ACQ-0026,ATP-HTVS-48C487957C1E,66849,m_11bca____235000____2768258,66849-1,486,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,P1,2,descriptor_diversity,,,,,,,,,,,
ATP-ACQ-0027,ATP-HTVS-593FD885E4E3,89665,rxn512c____EMOL530647____EMOL523944____EMOL17023805,89665-2,303,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,P1,2,score_calibration,,,,,,,,,,,
ATP-ACQ-0028,ATP-HTVS-E71202E475AE,88195,rxn203____EMOL44691345____EMOL42077534,88195-1,6,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,P1,2,exploitation,,,,,,,,,,,
ATP-ACQ-0029,ATP-HTVS-7ABEAEA32F74,93505,rxn403____EMOL2873214____EMOL721951____EMOL31600616,93505-3,200,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,P1,2,descriptor_diversity,,,,,,,,,,,
ATP-ACQ-0030,ATP-HTVS-F7366BF3987A,91202,rxn503b____EMOL519605____EMOL30488121____EMOL1468452,91202-3,317,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,P1,2,score_calibration,,,,,,,,,,,
ATP-ACQ-0031,ATP-HTVS-98E751432A52,90242,rxn502a____EMOL530803____EMOL44820718____EMOL2873214,90242-1,8,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,P1,2,exploitation,,,,,,,,,,,
ATP-ACQ-0032,ATP-HTVS-0C253F9D7643,68259,m_275532bba____13829954____13834314,68259-1,575,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,P1,2,descriptor_diversity,,,,,,,,,,,
ATP-ACQ-0033,ATP-HTVS-49CF595ADD5C,20834,N-ArylationHeterocycle____821571____76754741,20834-1,409,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,P1,2,score_calibration,,,,,,,,,,,
ATP-ACQ-0034,ATP-HTVS-D1462A8BE621,82146,rxn503b____EMOL495084____EMOL13728749____EMOL1197208,82146-2,12,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,P1,2,exploitation,,,,,,,,,,,
ATP-ACQ-0035,ATP-HTVS-FF081A1D735D,85411,rxn502b____EMOL480353____EMOL7515103____EMOL48601815,85411-1,179,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,P1,2,descriptor_diversity,,,,,,,,,,,
ATP-ACQ-0036,ATP-HTVS-76EB0BEAC1B9,37825,m_282030aaa____21929760____22360182____21938720,37825-1,391,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,P1,2,score_calibration,,,,,,,,,,,
ATP-ACQ-0037,ATP-HTVS-8E3D409F2843,55746,m_270004bbb____15775648____7548658,55746-1,17,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,P1,2,exploitation,,,,,,,,,,,
ATP-ACQ-0038,ATP-HTVS-9CE7151F0CF5,20835,N-ArylationHeterocycle____37094440____31229383,20835-1,703,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,P1,2,descriptor_diversity,,,,,,,,,,,
ATP-ACQ-0039,ATP-HTVS-3254A7EDB406,72033,rxn502b____EMOL631885____EMOL30488121____EMOL50155899,72033-1,489,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,P1,2,score_calibration,,,,,,,,,,,
