acquisition_id_v2,canonical_id,compound_code,title,variant,canonical_smiles,scaffold,priority_v2,wave_v2,selection_arm_v2,source_file,structure_collection_file,structure_record_name,structure_qc_status,mmgbsa_protocol_id,protein_structure_id,software_version,mmgbsa_dg_bind_kcal_mol,calculation_status,calculation_date,operator,notes
ATP-ACQ2-0011,ATP-HTVS-2ECA33AB7628,73634,rxn512b____EMOL530647____EMOL525138____EMOL2873214,73634-1,C[NH+](C)Cc1cccc(CNc2ccsc2C(=O)N(CC[NH3+])c2ccccc2)c1,O=C(Nc1ccccc1)c1sccc1NCc1ccccc1,P0,1,local_structure_bridge,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0011,,,,,,,,,
ATP-ACQ2-0012,ATP-HTVS-BB2B7EB3D06A,85442,rxn102c____EMOL13081280____EMOL27507560,85442-2,CN(C)[C@H](C[NH3+])c1ccc(Nc2nc(Oc3ccc(F)cc3)cc(Oc3ccc(F)cc3)n2)cc1,c1ccc(Nc2nc(Oc3ccccc3)cc(Oc3ccccc3)n2)cc1,P0,1,scaffold_score_exploration,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0012,,,,,,,,,
ATP-ACQ2-0013,ATP-HTVS-CEDCE5F1BEB7,20034,WXDL_15E____QS5063____LN00244457____BT0555,20034-1,C[NH+](C)Cc1ccc(C[NH2+]Cc2ccc(-c3ccc(O)cc3)nc2)cc1,c1ccc(C[NH2+]Cc2ccc(-c3ccccc3)nc2)cc1,P0,1,exploitation,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0013,,,,,,,,,
ATP-ACQ2-0014,ATP-HTVS-83F819F668B2,38177,m_270004bbb____8288996____7547738,38177-1,c1ccc(-n2cc(C[NH2+]Cc3ccc(C[NH+]4CCCC4)cc3)c(-c3cccnc3)n2)cc1,c1ccc(-n2cc(C[NH2+]Cc3ccc(C[NH+]4CCCC4)cc3)c(-c3cccnc3)n2)cc1,P0,1,local_structure_bridge,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0014,,,,,,,,,
ATP-ACQ2-0015,ATP-HTVS-40E764CABCB1,58370,m_66bab____89518____10970556,58370-1,O=C1c2ccccc2N[C@@H](c2ccc(Cl)cc2)N1Cc1ccccc1,O=C1c2ccccc2NC(c2ccccc2)N1Cc1ccccc1,P0,1,scaffold_score_exploration,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0015,,,,,,,,,
ATP-ACQ2-0016,ATP-HTVS-65F4836C7042,84577,rxn503c____EMOL478035____EMOL49259969____EMOL313110234,84577-4,CN(Cc1sc2ccccc2c1C#C[C@@H]([NH3+])Cc1cccc(F)c1)C(=O)c1ccccc1O,O=C(NCc1sc2ccccc2c1C#CCCc1ccccc1)c1ccccc1,P0,1,exploitation,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0016,,,,,,,,,
ATP-ACQ2-0017,ATP-HTVS-D53BE49171F7,23619,m_207bba____13440778____121441,23619-1,Cc1ccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2ccc(CCO)cc2)cc1,c1ccc(C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)cc1,P0,1,local_structure_bridge,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0017,,,,,,,,,
ATP-ACQ2-0018,ATP-HTVS-E7DA22DA6C24,30626,m_282030aaa____21909402____22360182____21979096,30626-1,CC(C)Nc1ccc(CNc2nc(N(C)Cc3ccccc3S(N)(=O)=O)c3ccccc3[nH+]2)cc1,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,P0,1,scaffold_score_exploration,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0018,,,,,,,,,
ATP-ACQ2-0019,ATP-HTVS-60D4F7FF4B6B,48865,m_270004beb____23853920____7548658,48865-1,C[C@@H]([NH2+]Cc1ccc(-c2ccc([N+](=O)[O-])cc2)s1)c1ccc(C[NH+](C)C)cc1,c1ccc(C[NH2+]Cc2ccc(-c3ccccc3)s2)cc1,P0,1,exploitation,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0019,,,,,,,,,
ATP-ACQ2-0020,ATP-HTVS-3654BFD7575B,81409,rxn512b____EMOL49832880____EMOL10439745____EMOL50155899,81409-1,C[NH+](C)Cc1ccc(CNc2cscc2C(=O)N(CC[NH3+])c2ccc(Cl)cc2)cc1,O=C(Nc1ccccc1)c1cscc1NCc1ccccc1,P0,1,local_structure_bridge,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0020,,,,,,,,,
ATP-ACQ2-0021,ATP-HTVS-DCF81E89AD2E,18466,a1____58183____286425,18466-1,O=C(NCc1ccc(CO)cc1)c1oc2ccccc2c1CSc1ccccc1Cl,O=C(NCc1ccccc1)c1oc2ccccc2c1CSc1ccccc1,P0,1,scaffold_score_exploration,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0021,,,,,,,,,
