acquisition_id_v2,canonical_id,compound_code,title,variant,canonical_smiles,scaffold,priority_v2,wave_v2,selection_arm_v2,source_file,structure_collection_file,structure_record_name,structure_qc_status,mmgbsa_protocol_id,protein_structure_id,software_version,mmgbsa_dg_bind_kcal_mol,calculation_status,calculation_date,operator,notes
ATP-ACQ2-0049,ATP-HTVS-3FEB13A0176D,79265,rxn403____EMOL44390368____EMOL720244____EMOL1197208,79265-6,N#C[C@H](N[C@@H](C#CC[NH2+]Cc1ccccc1)c1cc2ccccc2s1)c1ccccc1,C(#CC(NCc1ccccc1)c1cc2ccccc2s1)C[NH2+]Cc1ccccc1,P1,2,exploitation,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0049,,,,,,,,,
ATP-ACQ2-0050,ATP-HTVS-9B930A3F277B,46658,m_270004bbb____8349702____8127862,46658-5,CN1CCN(Cc2ccccc2C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)CC1,c1ccc(COc2cc(C[NH2+]Cc3ccccc3CN3CCNCC3)cc3ccccc23)cc1,P1,2,local_structure_bridge,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0050,,,,,,,,,
ATP-ACQ2-0051,ATP-HTVS-C894FAAE5B10,4706,YAS_R001____OTV6666767____OTV7020410249,4706-2,CC[NH+](CC)[C@H](CNC(=O)c1cn(Cc2ccc(OC)cc2)c(=O)c2ccccc12)c1ccccc1,O=C(NCCc1ccccc1)c1cn(Cc2ccccc2)c(=O)c2ccccc12,P1,2,scaffold_score_exploration,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0051,,,,,,,,,
ATP-ACQ2-0052,ATP-HTVS-54A1786C1F00,83457,rxn503b____EMOL491815____EMOL44466703____EMOL313110234,83457-7,[NH3+][C@H](C#Cc1cc2ccccc2nc1NC(=O)[C@H](O)c1ccc(Cl)cc1)Cc1cccc(F)c1,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,P1,2,exploitation,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0052,,,,,,,,,
ATP-ACQ2-0053,ATP-HTVS-4E652792F62F,84931,rxn512b____EMOL50241152____EMOL49851977____EMOL2873214,84931-1,C#C[C@@H](NC(=O)c1sc(Cl)cc1NCc1cccc(C[NH+](C)C)c1)c1ccccc1,O=C(NCc1ccccc1)c1sccc1NCc1ccccc1,P1,2,local_structure_bridge,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0053,,,,,,,,,
ATP-ACQ2-0054,ATP-HTVS-542A37ED863C,14243,a1____51052____400834,14243-2,Cc1ccc(Oc2cc(C(=O)N(C)c3ccccc3)[nH+]c3ccccc23)cc1,O=C(Nc1ccccc1)c1cc(Oc2ccccc2)c2ccccc2[nH+]1,P1,2,scaffold_score_exploration,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0054,,,,,,,,,
ATP-ACQ2-0055,ATP-HTVS-F8BD3C119C5E,34435,m_269862dba____8258832____13192834,34435-4,O[C@H](C[NH2+][C@@H](c1ccccn1)c1cc2ccccc2o1)c1ccccc1Cl,c1ccc(CC[NH2+]C(c2ccccn2)c2cc3ccccc3o2)cc1,P1,2,exploitation,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0055,,,,,,,,,
ATP-ACQ2-0056,ATP-HTVS-83768D529230,81825,rxn512b____EMOL477532____EMOL15801711____EMOL50155899,81825-1,C[NH+](C)Cc1ccc(CNc2csc(CC(=O)Nc3ccccc3)c2)cc1,O=C(Cc1cc(NCc2ccccc2)cs1)Nc1ccccc1,P1,2,local_structure_bridge,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0056,,,,,,,,,
ATP-ACQ2-0057,ATP-HTVS-892E5C6BD7E4,94849,rxn512b____EMOL712348____EMOL719673____EMOL17023805,94849-1,CCN(Cc1ccccc1C)c1c(C(=O)N(CC#N)c2ccccc2)[nH]c2ccccc12,O=C(Nc1ccccc1)c1[nH]c2ccccc2c1NCc1ccccc1,P1,2,scaffold_score_exploration,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0057,,,,,,,,,
ATP-ACQ2-0058,ATP-HTVS-3B3954EE8C13,84897,rxn503b____EMOL32279559____EMOL13728749____EMOL313110234,84897-3,[NH3+][C@@H](C#Cc1cnc2ccccc2c1NC(=O)C#Cc1cccc(F)c1)Cc1cccc(F)c1,O=C(C#Cc1ccccc1)Nc1c(C#CCCc2ccccc2)cnc2ccccc12,P1,2,exploitation,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0058,,,,,,,,,
ATP-ACQ2-0059,ATP-HTVS-800B0B068CC6,45569,m_2230bbc____678300____18339498,45569-3,COc1cc(CN(C)Cc2cccc(C[NH+](C)C)c2)ccc1OCc1ccccc1,c1ccc(CNCc2ccc(OCc3ccccc3)cc2)cc1,P1,2,local_structure_bridge,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0059,,,,,,,,,
ATP-ACQ2-0060,ATP-HTVS-9BFBB44B9744,92161,rxn112____EMOL42620905____EMOL45491381,92161-1,CNc1cccc(Cc2c(-c3ccc(C)cc3)c(=O)[nH]c3ccccc23)c1,O=c1[nH]c2ccccc2c(Cc2ccccc2)c1-c1ccccc1,P1,2,scaffold_score_exploration,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0060,,,,,,,,,
