profile,compound_id,historical_alias,rank,central_rank,final_score,mean_rank,p_top3,p_top5
balanced,ATP-HTVS-10900B51E20F,58209,,,,,,
balanced,ATP-HTVS-109B405B023F,43907,,,,,,
balanced,ATP-HTVS-10A4E2B2EADA,92833,,,,,,
balanced,ATP-HTVS-11489B74AE1C,69539,,,,,,
balanced,ATP-HTVS-115B93EFBC96,98209,,,,,,
balanced,ATP-HTVS-11C14F34C5FE,35233,,,,,,
balanced,ATP-HTVS-11CEFB3A39DF,61475,,,,,,
balanced,ATP-HTVS-11E35EA06531,61505,,,,,,
balanced,ATP-HTVS-125A7E13CFB1,85089,,,,,,
balanced,ATP-HTVS-12CEF0BA8B10,31426,,,,,,
balanced,ATP-HTVS-132672672DF9,95778,,,,,,
balanced,ATP-HTVS-132BACAA4698,82561,,,,,,
balanced,ATP-HTVS-134FC0CB3694,71041,,,,,,
balanced,ATP-HTVS-1356F7D69808,27907,,,,,,
balanced,ATP-HTVS-1373BD200FA0,72865,,,,,,
balanced,ATP-HTVS-1377A1139B97,96002,,,,,,
balanced,ATP-HTVS-138C9DBD3419,68321,,,,,,
balanced,ATP-HTVS-13A5AE9C2B6A,88258,,,,,,
balanced,ATP-HTVS-1402A7ED8177,450,,,,,,
balanced,ATP-HTVS-143D46541936,71362,,,,,,
balanced,ATP-HTVS-1449F4F4BA71,89058,,,,,,
balanced,ATP-HTVS-14724C615932,53281,,,,,,
balanced,ATP-HTVS-14AE04B6952B,40129,,,,,,
balanced,ATP-HTVS-14BA2D75CE49,449,,,,,,
balanced,ATP-HTVS-1551732D1515,43266,,,,,,
balanced,ATP-HTVS-159795FE363C,92387,,,,,,
balanced,ATP-HTVS-159959ECB567,70723,,,,,,
balanced,ATP-HTVS-159CD8CCFA6D,50978,,,,,,
balanced,ATP-HTVS-159F0F821AF9,96098,,,,,,
balanced,ATP-HTVS-15A0030054C0,69441,,,,,,
balanced,ATP-HTVS-15F2A5DBBD51,68225,,,,,,
balanced,ATP-HTVS-15FA43506D9E,31298,,,,,,
balanced,ATP-HTVS-16140744D8E5,56385,,,,,,
balanced,ATP-HTVS-16316C23D1E4,71169,,,,,,
balanced,ATP-HTVS-167535894C2D,33218,,,,,,
balanced,ATP-HTVS-169071BECF96,81441,,,,,,
balanced,ATP-HTVS-16A35D40F1B5,38337,,,,,,
balanced,ATP-HTVS-16AC68300479,69859,,,,,,
balanced,ATP-HTVS-16D62B7C6E45,82339,,,,,,
balanced,ATP-HTVS-16D892EEAEA4,74883,,,,,,
balanced,ATP-HTVS-1714ADEB4D31,82945,,,,,,
