stage,compound_id,current_rank,scaffold,evidence_completeness,uncertainty,model_disagreement,relative_cost,acquisition_rank,acquisition_score,reason,interpretation
HTVS,ATP-SMI-BF69AB71C1A4,14.0,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,1.0,0.125,0.0,2,16,0.05643382352941178,rank=14.0; completeness=1.0; uncertainty=0.125; disagreement=0.0; new_scaffold=False; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
HTVS,ATP-SMI-15737353FB69,17.0,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,1.0,0.0625,0.0625,2,17,0.021139705882352946,rank=17.0; completeness=1.0; uncertainty=0.0625; disagreement=0.0625; new_scaffold=False; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-96FD6257D8BA,1.0,c1ccc(-n2cc(C[NH2+]CCc3ccc(N4CC[NH2+]CC4)cc3)c(-c3cccnc3)n2)cc1,1.0,0.25,0.125,5,1,0.11125,rank=1.0; completeness=1.0; uncertainty=0.25; disagreement=0.125; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-5D3E7B6B6796,2.0,c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,1.0,0.125,0.125,5,2,0.10279411764705881,rank=2.0; completeness=1.0; uncertainty=0.125; disagreement=0.125; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-CDED936B42F4,3.0,c1ccc(CC[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,1.0,0.375,0.0,5,3,0.10183823529411765,rank=3.0; completeness=1.0; uncertainty=0.375; disagreement=0.0; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-5B36D3E11A3B,4.0,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,1.0,0.375,0.0625,5,4,0.09900735294117646,rank=4.0; completeness=1.0; uncertainty=0.375; disagreement=0.0625; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-9DA3213A09E8,5.0,O=C(NCc1ccccc1)c1ccnc(C[NH2+]Cc2ccccc2)c1,1.0,0.375,0.0625,5,5,0.0943014705882353,rank=5.0; completeness=1.0; uncertainty=0.375; disagreement=0.0625; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-E9798004BA11,6.0,c1ccc(C[NH2+]Cc2ccc(OCc3ccccc3)cc2)cc1,1.0,0.1875,0.0,5,6,0.08209558823529413,rank=6.0; completeness=1.0; uncertainty=0.1875; disagreement=0.0; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-775D33706F04,9.0,O=C(NCc1ccccc1)c1sccc1NCc1ccccc1,1.0,0.125,0.0625,5,7,0.06797794117647059,rank=9.0; completeness=1.0; uncertainty=0.125; disagreement=0.0625; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-4417138BF81D,10.0,O=C(Nc1ccccc1)c1cc2ccccc2nc1NCc1ccccc1,1.0,0.1875,0.0,5,8,0.06327205882352942,rank=10.0; completeness=1.0; uncertainty=0.1875; disagreement=0.0; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-91E7552C2382,7.0,c1ccc(C[NH2+]Cc2ccc(OCc3ccccc3)cc2)cc1,1.0,0.25,0.0625,5,9,0.061139705882352936,rank=7.0; completeness=1.0; uncertainty=0.25; disagreement=0.0625; new_scaffold=False; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-874C2DE25FE4,13.0,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,1.0,0.4375,0.125,5,10,0.06040441176470588,rank=13.0; completeness=1.0; uncertainty=0.4375; disagreement=0.125; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-C93E6EC67CDB,8.0,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,1.0,0.4375,0.0,5,11,0.060183823529411776,rank=8.0; completeness=1.0; uncertainty=0.4375; disagreement=0.0; new_scaffold=False; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-CFA68A98711F,11.0,c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,1.0,0.1875,0.0625,5,12,0.04044117647058823,rank=11.0; completeness=1.0; uncertainty=0.1875; disagreement=0.0625; new_scaffold=False; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-FCA9CDF3313B,15.0,c1ccc(CCNc2nc(Nc3ccccc3)nc3ccccc23)cc1,1.0,0.125,0.0,5,13,0.037867647058823534,rank=15.0; completeness=1.0; uncertainty=0.125; disagreement=0.0; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-94F73967C042,16.0,O=C(Nc1ccccc1)c1cc(NCc2ccccc2)cs1,1.0,0.125,0.0,5,14,0.033161764705882356,rank=16.0; completeness=1.0; uncertainty=0.125; disagreement=0.0; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-C3308BEE03AC,12.0,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,1.0,0.125,0.0,5,15,0.031985294117647056,rank=12.0; completeness=1.0; uncertainty=0.125; disagreement=0.0; new_scaffold=False; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-BF69AB71C1A4,14.0,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,1.0,0.125,0.0,5,16,0.02257352941176471,rank=14.0; completeness=1.0; uncertainty=0.125; disagreement=0.0; new_scaffold=False; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-15737353FB69,17.0,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,1.0,0.0625,0.0625,5,17,0.008455882352941178,rank=17.0; completeness=1.0; uncertainty=0.0625; disagreement=0.0625; new_scaffold=False; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
