rdkit_canonical_smiles,scaffold,organism_species,unit_normalized,compound_ids,measurement_count,activity_value_median,activity_value_min,activity_value_max,label_log10,source_level,confidence,reference_count,sample_weight
CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc4c(c3)OCCO4)C2SC1,O=C(Cc1ccc2c(c1)OCCO2)NC1C(=O)N2C=CCSC12,Klebsiella pneumoniae,μg/mL,CHEMBL133236,1,200.0,200.0,200.0,2.3010299956639813,B,high,1,1.0
CC1=C(C(=O)O)N2C(=O)C(NC(=O)CSC(F)(F)F)C2OC1,O=C1CC2OCC=CN12,Escherichia coli,μg/mL,CHEMBL277057,3,6.25,3.13,100.0,0.7958800173440752,B,high,1,1.0
CC1=C(C(=O)O)N2C(=O)C(NC(=O)CSC(F)(F)F)C2OC1,O=C1CC2OCC=CN12,Klebsiella pneumoniae,μg/mL,CHEMBL277057,1,6.25,6.25,6.25,0.7958800173440752,B,high,1,1.0
CC1=C(C(=O)O)N2C(=O)C(NC(=O)CSC(F)(F)F)C2SC1,O=C1CC2SCC=CN12,Escherichia coli,μg/mL,CHEMBL366826,3,50.0,25.0,50.0,1.6989700043360187,B,high,1,1.0
CC1=C(C(=O)O)N2C(=O)C(NC(=O)[C@H](N)c3ccc4c(c3)CCO4)C2SC1,O=C(Cc1ccc2c(c1)CCO2)NC1C(=O)N2C=CCSC12,Klebsiella pneumoniae,μg/mL,CHEMBL2111876,1,25.0,25.0,25.0,1.3979400086720377,B,high,1,1.0
CC1=C(C(=O)O)N2C(=O)C(NC(=O)[C@H](N)c3ccc4c(c3)OCCO4)C2SC1,O=C(Cc1ccc2c(c1)OCCO2)NC1C(=O)N2C=CCSC12,Klebsiella pneumoniae,μg/mL,CHEMBL2111875,1,100.0,100.0,100.0,2.0,B,high,1,1.0
CC1=C(C(=O)O)N2C(=O)C(NC(=O)[C@H](N)c3ccc4c(c3)OCO4)C2SC1,O=C(Cc1ccc2c(c1)OCO2)NC1C(=O)N2C=CCSC12,Klebsiella pneumoniae,μg/mL,CHEMBL2112685,1,25.0,25.0,25.0,1.3979400086720377,B,high,1,1.0
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,O=C(Cc1ccccc1)N[C@@H]1C(=O)N2C=CCS[C@H]12,Klebsiella pneumoniae,μg/mL,CHEMBL1727,1,3.1,3.1,3.1,0.4913616938342727,B,high,1,1.0
CC1=C(C(=O)OCOC(=O)C(C)(C)C)N2C(=O)[C@H]([C@@H](C)O)[C@H]2C1O,O=C1C[C@H]2CC=CN12,Escherichia coli,μg/mL,CHEMBL321935,2,6.25,6.25,6.25,0.7958800173440752,B,high,1,1.0
CC1=C(C(=O)OCOC(=O)C(C)(C)C)N2C(=O)[C@H]([C@@H](C)O)[C@H]2C1O,O=C1C[C@H]2CC=CN12,Klebsiella pneumoniae,μg/mL,CHEMBL321935,1,6.25,6.25,6.25,0.7958800173440752,B,high,1,1.0
CC1=C(C(=O)OCOC(=O)C(C)(C)C)N2C(=O)[C@H]([C@@H](C)O)[C@H]2C1O,O=C1C[C@H]2CC=CN12,Pseudomonas aeruginosa,μg/mL,CHEMBL321935,1,100.0,100.0,100.0,2.0,B,high,1,1.0
CC1=CC=C2C=C2C2=C(SCc3ccccc3)N=CC=CC(CN3CCCC3)=CC=C(C=C1)CNC2,C1=CC=C2C=C2C2=C(SCc3ccccc3)N=CC=CC(CN3CCCC3)=CC=C(C=C1)CNC2,Acinetobacter baumannii,μg/mL,WSA295,2,80.0,32.0,128.0,1.9030899869919435,A,high,1,1.0
CC1=CC=C2C=C2C2=C(SCc3ccccc3)N=CCCN(C)CCN(C=C1)CCNC2,C1=CC=C2C=C2C2=C(SCc3ccccc3)N=CCCNCCN(C=C1)CCNC2,Acinetobacter baumannii,μg/mL,WSA280,2,24.0,16.0,32.0,1.380211241711606,A,high,1,1.0
CC1=CC=C2C=C2C2=C(SCc3ccccc3)N=CCCN(C3CCCC3)CCC(C=C1)CCNC2,C1=CC=C2C=C2C2=C(SCc3ccccc3)N=CCCN(C3CCCC3)CCC(C=C1)CCNC2,Acinetobacter baumannii,μg/mL,WSA289,2,24.0,16.0,32.0,1.380211241711606,A,high,1,1.0
CC1CC(C)c2cc(Cc3cnc(N)nc3N)cc(Cl)c2N1,c1ncc(Cc2ccc3c(c2)CCCN3)cn1,Klebsiella pneumoniae,μg/mL,CHEMBL60636,1,100.0,100.0,100.0,2.0,B,high,1,1.0
CC1CC1n1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,Escherichia coli,μg/mL,CHEMBL358209,2,0.095,0.06,0.13,-1.0222763947111522,B,high,1,1.0
CC1CC1n1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,Klebsiella pneumoniae,μg/mL,CHEMBL358209,2,1.5,1.0,2.0,0.17609125905568124,B,high,1,1.0
CC1CC1n1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,Pseudomonas aeruginosa,μg/mL,CHEMBL358209,2,1.5,1.0,2.0,0.17609125905568124,B,high,1,1.0
CC1CCC1n1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,O=c1ccn(C2CCC2)c2cc(N3CCNCC3)ccc12,Escherichia coli,μg/mL,CHEMBL151512,1,2.0,2.0,2.0,0.3010299956639812,B,high,1,1.0
CC1CCC1n1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,O=c1ccn(C2CCC2)c2cc(N3CCNCC3)ccc12,Klebsiella pneumoniae,μg/mL,CHEMBL151512,1,4.0,4.0,4.0,0.6020599913279624,B,high,1,1.0
CC1CCC1n1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,O=c1ccn(C2CCC2)c2cc(N3CCNCC3)ccc12,Pseudomonas aeruginosa,μg/mL,CHEMBL151512,1,32.0,32.0,32.0,1.505149978319906,B,high,1,1.0
CC1CCCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2cc([N+](=O)[O-])cn2C)C1,O=c1ccn(-c2ccc[nH]2)c2cc(N3CCCCC3)ccc12,Escherichia coli,μg/mL,CHEMBL117806,1,100.0,100.0,100.0,2.0,B,high,1,1.0
CC1CCNc2ccc(Cc3cnc(N)nc3N)cc21,c1ncc(Cc2ccc3c(c2)CCCN3)cn1,Klebsiella pneumoniae,μg/mL,CHEMBL60632,1,30.0,30.0,30.0,1.4771212547196624,B,high,1,1.0
CC1CN(C[C@@H]2C[C@H](SC3=C(C(=O)O)C4C(=O)C([C@@H](C)O)C4[C@H]3C)CN2)S(=O)(=O)N1,O=C1CC2CC(S[C@@H]3CN[C@H](CN4CCNS4(=O)=O)C3)=CC12,Acinetobacter baumannii,μg/mL,CHEMBL244307,1,25.0,25.0,25.0,1.3979400086720377,B,high,1,1.0
CC1CN(c2c(F)cc3c(=O)c(C(=O)O)c4scc5n4c3c2N(C)C5)CC(C)O1,O=c1cc2scc3n2c2c(c(N4CCOCC4)ccc12)NC3,Escherichia coli,μg/mL,CHEMBL94959,2,0.39,0.39,0.39,-0.4089353929735008,B,high,1,1.0
CC1CN(c2c(F)cc3c(=O)c(C(=O)O)c4scc5n4c3c2N(C)C5)CC(C)O1,O=c1cc2scc3n2c2c(c(N4CCOCC4)ccc12)NC3,Klebsiella pneumoniae,μg/mL,CHEMBL94959,1,0.78,0.78,0.78,-0.10790539730951958,B,high,1,1.0
CC1CN(c2c(F)cc3c(=O)c(C(=O)O)c4scc5n4c3c2N(C)C5)CC(C)O1,O=c1cc2scc3n2c2c(c(N4CCOCC4)ccc12)NC3,Pseudomonas aeruginosa,μg/mL,CHEMBL94959,2,3.13,3.13,3.13,0.49554433754644844,B,high,1,1.0
CC1CN(c2c(F)cc3c(=O)c(C(=O)O)c4scc5n4c3c2N(C)C5)CCO1,O=c1cc2scc3n2c2c(c(N4CCOCC4)ccc12)NC3,Escherichia coli,μg/mL,CHEMBL329814,2,0.1,0.1,0.1,-1.0,B,high,1,1.0
CC1CN(c2c(F)cc3c(=O)c(C(=O)O)c4scc5n4c3c2N(C)C5)CCO1,O=c1cc2scc3n2c2c(c(N4CCOCC4)ccc12)NC3,Klebsiella pneumoniae,μg/mL,CHEMBL329814,1,0.39,0.39,0.39,-0.4089353929735008,B,high,1,1.0
CC1CN(c2c(F)cc3c(=O)c(C(=O)O)c4scc5n4c3c2N(C)C5)CCO1,O=c1cc2scc3n2c2c(c(N4CCOCC4)ccc12)NC3,Pseudomonas aeruginosa,μg/mL,CHEMBL329814,2,0.78,0.78,0.78,-0.10790539730951958,B,high,1,1.0
CC1CN(c2c(F)cc3c(=O)c(C(=O)O)c4scc5n4c3c2OC5)CCN1,O=c1cc2scc3n2c2c(c(N4CCNCC4)ccc12)OC3,Klebsiella pneumoniae,μg/mL,CHEMBL367876,1,0.1,0.1,0.1,-1.0,B,high,1,1.0
CC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,Klebsiella pneumoniae,μg/mL,CHEMBL15438,1,0.025,0.025,0.025,-1.6020599913279623,B,high,1,1.0
CC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1O,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,Klebsiella pneumoniae,μg/mL,CHEMBL327193,1,0.1,0.1,0.1,-1.0,B,high,1,1.0
CC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,Acinetobacter baumannii,μg/mL,CHEMBL15613,1,0.313,0.313,0.313,-0.5044556624535516,B,high,1,1.0
CC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,Klebsiella pneumoniae,μg/mL,CHEMBL15613,2,0.018750000000000003,0.0125,0.025,-1.7269987279362622,B,high,2,1.0
CC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,Pseudomonas aeruginosa,μg/mL,CHEMBL15613,1,0.4,0.4,0.4,-0.3979400086720376,B,high,1,1.0
CC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1O,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,Klebsiella pneumoniae,μg/mL,CHEMBL327326,1,0.025,0.025,0.025,-1.6020599913279623,B,high,1,1.0
CC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SC(C)C4)CC(C)N1,O=c1ccn2c3c(c(N4CCNCC4)ccc13)SCC2,Escherichia coli,μg/mL,CHEMBL117421,1,0.25,0.25,0.25,-0.6020599913279624,B,high,1,1.0
CC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SC(C)C4)CC(C)N1,O=c1ccn2c3c(c(N4CCNCC4)ccc13)SCC2,Klebsiella pneumoniae,μg/mL,CHEMBL117421,1,0.25,0.25,0.25,-0.6020599913279624,B,high,1,1.0
CC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SC(C)C4)CC(C)N1,O=c1ccn2c3c(c(N4CCNCC4)ccc13)SCC2,Pseudomonas aeruginosa,μg/mL,CHEMBL117421,1,32.0,32.0,32.0,1.505149978319906,B,high,1,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CC(C)N1,O=c1ccn(-c2ccccc2)c2cc(N3CCNCC3)ccc12,Escherichia coli,μg/mL,CHEMBL416160,1,0.4,0.4,0.4,-0.3979400086720376,B,high,1,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CC(C)N1,O=c1ccn(-c2ccccc2)c2cc(N3CCNCC3)ccc12,Pseudomonas aeruginosa,μg/mL,CHEMBL416160,1,0.8,0.8,0.8,-0.09691001300805639,B,high,1,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1,O=c1ccn(-c2ccccc2)c2cc(N3CCNCC3)ccc12,Escherichia coli,μg/mL,CHEMBL277100,1,0.1,0.1,0.1,-1.0,B,high,1,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1,O=c1ccn(-c2ccccc2)c2cc(N3CCNCC3)ccc12,Klebsiella pneumoniae,μg/mL,CHEMBL277100,2,0.07500000000000001,0.05,0.1,-1.1249387366083,B,high,2,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1,O=c1ccn(-c2ccccc2)c2cc(N3CCNCC3)ccc12,Pseudomonas aeruginosa,μg/mL,CHEMBL277100,2,1.2000000000000002,0.8,1.6,0.07918124604762489,B,high,2,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2cn(C)cc2[N+](=O)[O-])CCN1,O=c1ccn(-c2cc[nH]c2)c2cc(N3CCNCC3)ccc12,Escherichia coli,μg/mL,CHEMBL117959,1,100.0,100.0,100.0,2.0,B,high,1,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C(C)(C)C)CC(C)N1,O=c1cc[nH]c2cc(N3CCNCC3)ccc12,Escherichia coli,μg/mL,CHEMBL15417,1,0.2,0.2,0.2,-0.6989700043360187,B,high,1,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C(C)(C)C)CC(C)N1,O=c1cc[nH]c2cc(N3CCNCC3)ccc12,Pseudomonas aeruginosa,μg/mL,CHEMBL15417,1,1.6,1.6,1.6,0.2041199826559248,B,high,1,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C(C)(C)C)CCN1,O=c1cc[nH]c2cc(N3CCNCC3)ccc12,Escherichia coli,μg/mL,CHEMBL15164,1,0.1,0.1,0.1,-1.0,B,high,1,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C(C)(C)C)CCN1,O=c1cc[nH]c2cc(N3CCNCC3)ccc12,Pseudomonas aeruginosa,μg/mL,CHEMBL15164,1,0.8,0.8,0.8,-0.09691001300805639,B,high,1,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C(C)C)CC(C)N1,O=c1cc[nH]c2cc(N3CCNCC3)ccc12,Escherichia coli,μg/mL,CHEMBL15371,1,1.6,1.6,1.6,0.2041199826559248,B,high,1,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C(C)C)CCN1,O=c1cc[nH]c2cc(N3CCNCC3)ccc12,Escherichia coli,μg/mL,CHEMBL261939,1,0.8,0.8,0.8,-0.09691001300805639,B,high,1,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C(C)C)CCN1,O=c1cc[nH]c2cc(N3CCNCC3)ccc12,Pseudomonas aeruginosa,μg/mL,CHEMBL261939,1,3.1,3.1,3.1,0.4913616938342727,B,high,1,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC(C)N1,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,Escherichia coli,μg/mL,CHEMBL15322,1,0.05,0.05,0.05,-1.3010299956639813,B,high,1,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC(C)N1,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,Pseudomonas aeruginosa,μg/mL,CHEMBL15322,1,0.8,0.8,0.8,-0.09691001300805639,B,high,1,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CCN1,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,Escherichia coli,μg/mL,CHEMBL15353,1,0.05,0.05,0.05,-1.3010299956639813,B,high,1,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CCN1,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,Klebsiella pneumoniae,μg/mL,CHEMBL15353,1,0.05,0.05,0.05,-1.3010299956639813,B,high,1,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CCN1,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,Pseudomonas aeruginosa,μg/mL,CHEMBL15353,2,0.30000000000000004,0.2,0.4,-0.5228787452803375,B,high,2,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CCC2)CC(C)N1,O=c1ccn(C2CCC2)c2cc(N3CCNCC3)ccc12,Escherichia coli,μg/mL,CHEMBL14866,1,0.4,0.4,0.4,-0.3979400086720376,B,high,1,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CCC2)CC(C)N1,O=c1ccn(C2CCC2)c2cc(N3CCNCC3)ccc12,Pseudomonas aeruginosa,μg/mL,CHEMBL14866,1,3.1,3.1,3.1,0.4913616938342727,B,high,1,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CCC2)CCN1,O=c1ccn(C2CCC2)c2cc(N3CCNCC3)ccc12,Escherichia coli,μg/mL,CHEMBL274980,1,0.4,0.4,0.4,-0.3979400086720376,B,high,1,1.0
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CCC2)CCN1,O=c1ccn(C2CCC2)c2cc(N3CCNCC3)ccc12,Pseudomonas aeruginosa,μg/mL,CHEMBL274980,1,1.6,1.6,1.6,0.2041199826559248,B,high,1,1.0
CC1CN(c2cc3c(cc2N)c(=O)c(C(=O)O)cn3C2CC2)CC(C)(C)N1,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,Escherichia coli,μg/mL,CHEMBL424288,2,0.03,0.03,0.03,-1.5228787452803376,B,high,1,1.0
CC1CN(c2cc3c(cc2N)c(=O)c(C(=O)O)cn3C2CC2)CC(C)(C)N1,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,Klebsiella pneumoniae,μg/mL,CHEMBL424288,1,0.03,0.03,0.03,-1.5228787452803376,B,high,1,1.0
CC1CN(c2cc3c(cc2N)c(=O)c(C(=O)O)cn3C2CC2)CC(C)(C)N1,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,Pseudomonas aeruginosa,μg/mL,CHEMBL424288,1,2.0,2.0,2.0,0.3010299956639812,B,high,1,1.0
CC1CN(c2cc3c(cc2N)c(=O)c(C(=O)O)cn3C2CC2)CCC1O,O=c1ccn(C2CC2)c2cc(N3CCCCC3)ccc12,Escherichia coli,μg/mL,CHEMBL138183,2,0.03,0.03,0.03,-1.5228787452803376,B,high,1,1.0
CC1CN(c2cc3c(cc2N)c(=O)c(C(=O)O)cn3C2CC2)CCC1O,O=c1ccn(C2CC2)c2cc(N3CCCCC3)ccc12,Klebsiella pneumoniae,μg/mL,CHEMBL138183,1,0.03,0.03,0.03,-1.5228787452803376,B,high,1,1.0
CC1CN(c2cc3c(cc2N)c(=O)c(C(=O)O)cn3C2CC2)CCC1O,O=c1ccn(C2CC2)c2cc(N3CCCCC3)ccc12,Pseudomonas aeruginosa,μg/mL,CHEMBL138183,1,8.0,8.0,8.0,0.9030899869919435,B,high,1,1.0
CC1CN(c2cc3c(cc2N)c(=O)c(C(=O)O)cn3C2CC2)CCN1,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,Escherichia coli,μg/mL,CHEMBL47891,4,0.03,0.03,0.03,-1.5228787452803376,B,high,2,1.0
CC1CN(c2cc3c(cc2N)c(=O)c(C(=O)O)cn3C2CC2)CCN1,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,Klebsiella pneumoniae,μg/mL,CHEMBL47891,2,0.03,0.03,0.03,-1.5228787452803376,B,high,2,1.0
CC1CN(c2cc3c(cc2N)c(=O)c(C(=O)O)cn3C2CC2)CCN1,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,Pseudomonas aeruginosa,μg/mL,CHEMBL47891,2,2.0,2.0,2.0,0.3010299956639812,B,high,2,1.0
CC1CN(c2cc3c(cc2N)c(=O)c(C(=O)O)cn3C2CC2)CCS1,O=c1ccn(C2CC2)c2cc(N3CCSCC3)ccc12,Escherichia coli,μg/mL,CHEMBL343748,2,0.03,0.03,0.03,-1.5228787452803376,B,high,1,1.0
CC1CN(c2cc3c(cc2N)c(=O)c(C(=O)O)cn3C2CC2)CCS1,O=c1ccn(C2CC2)c2cc(N3CCSCC3)ccc12,Klebsiella pneumoniae,μg/mL,CHEMBL343748,1,0.03,0.03,0.03,-1.5228787452803376,B,high,1,1.0
CC1CN(c2cc3c(cc2N)c(=O)c(C(=O)O)cn3C2CC2)CCS1,O=c1ccn(C2CC2)c2cc(N3CCSCC3)ccc12,Pseudomonas aeruginosa,μg/mL,CHEMBL343748,1,2.0,2.0,2.0,0.3010299956639812,B,high,1,1.0
CC1CN=C(c2ccc3cc(-c4ccc(-c5cc6ccc(C7=NCC(C)CN7)cc6[nH]5)cc4)[nH]c3c2)NC1.O=C(O)C(F)(F)F,c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCCN6)cc5[nH]4)cc3)[nH]c2cc1C1=NCCCN1,Acinetobacter baumannii,μg/mL,CHEMBL3094502,1,40.0,40.0,40.0,1.6020599913279623,B,high,1,1.0
CC1COc2c(N3CCC(CN(C)C)C3)c(F)cc3c(=O)c(C(=O)O)cn1c23,O=c1ccn2c3c(c(N4CCCC4)ccc13)OCC2,Klebsiella pneumoniae,μg/mL,CHEMBL305592,1,0.4,0.4,0.4,-0.3979400086720376,B,high,1,1.0
CC1COc2c(N3CCC(CN(C)C)C3)c(F)cc3c(=O)c(C(=O)O)cn1c23,O=c1ccn2c3c(c(N4CCCC4)ccc13)OCC2,Pseudomonas aeruginosa,μg/mL,CHEMBL305592,1,3.1,3.1,3.1,0.4913616938342727,B,high,1,1.0
CC1COc2c(N3CCC(CN(C)C)C3)c(F)cc3c(=O)c(C(=O)O)cn1c23.Cl,O=c1ccn2c3c(c(N4CCCC4)ccc13)OCC2,Klebsiella pneumoniae,μg/mL,CHEMBL534468,1,0.4,0.4,0.4,-0.3979400086720376,B,high,1,1.0
CC1COc2c(N3CCC(CN(C)C)C3)c(F)cc3c(=O)c(C(=O)O)cn1c23.Cl,O=c1ccn2c3c(c(N4CCCC4)ccc13)OCC2,Pseudomonas aeruginosa,μg/mL,CHEMBL534468,1,3.1,3.1,3.1,0.4913616938342727,B,high,1,1.0
CC1COc2c(N3CCC(CN)C3)c(F)cc3c(=O)c(C(=O)O)cn1c23,O=c1ccn2c3c(c(N4CCCC4)ccc13)OCC2,Klebsiella pneumoniae,μg/mL,CHEMBL177163,1,0.4,0.4,0.4,-0.3979400086720376,B,high,1,1.0
CC1COc2c(N3CCC(CN)C3)c(F)cc3c(=O)c(C(=O)O)cn1c23,O=c1ccn2c3c(c(N4CCCC4)ccc13)OCC2,Pseudomonas aeruginosa,μg/mL,CHEMBL177163,1,1.6,1.6,1.6,0.2041199826559248,B,high,1,1.0
CC1COc2c(N3CCC(N)C3)c(F)cc3c(=O)c(C(=O)O)cn1c23.Cl,O=c1ccn2c3c(c(N4CCCC4)ccc13)OCC2,Klebsiella pneumoniae,μg/mL,CHEMBL538822,1,0.4,0.4,0.4,-0.3979400086720376,B,high,1,1.0
CC1COc2c(N3CCC(N)C3)c(F)cc3c(=O)c(C(=O)O)cn1c23.Cl,O=c1ccn2c3c(c(N4CCCC4)ccc13)OCC2,Pseudomonas aeruginosa,μg/mL,CHEMBL538822,1,0.4,0.4,0.4,-0.3979400086720376,B,high,1,1.0
CC1COc2c(N3CCN(C)CC3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,Escherichia coli,μg/mL,CHEMBL146339,2,0.15000000000000002,0.1,0.2,-0.8239087409443187,B,high,1,1.0
CC1COc2c(N3CCN(C)CC3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,Klebsiella pneumoniae,μg/mL,CHEMBL146339,1,0.4,0.4,0.4,-0.3979400086720376,B,high,1,1.0
CC1COc2c(N3CCN(C)CC3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,Pseudomonas aeruginosa,μg/mL,CHEMBL146339,1,0.8,0.8,0.8,-0.09691001300805639,B,high,1,1.0
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,Acinetobacter baumannii,μg/mL,CHEMBL4,4,32.06,0.12,64.0,1.5059635180181261,B,high,2,1.0
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,Escherichia coli,μg/mL,CHEMBL4,4,0.1,0.1,0.1,-1.0,B,high,2,1.0
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,Klebsiella pneumoniae,μg/mL,CHEMBL4,7,0.1,0.025,0.1,-1.0,B,high,7,1.0
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,Pseudomonas aeruginosa,μg/mL,CHEMBL4,6,0.98,0.4,1.56,-0.00877392430750515,B,high,5,1.0
CC1COc2c(N3CCNCC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,Escherichia coli,μg/mL,CHEMBL966,2,0.15000000000000002,0.1,0.2,-0.8239087409443187,B,high,1,1.0
CC1COc2c(N3CCNCC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,Klebsiella pneumoniae,μg/mL,CHEMBL966,3,0.1,0.1,0.2,-1.0,B,high,3,1.0
CC1COc2c(N3CCNCC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,Pseudomonas aeruginosa,μg/mL,CHEMBL966,2,1.0,0.4,1.6,0.0,B,high,2,1.0
CC1COc2cc(CNC34CCC(C[C@]5(O)Cn6c(=O)ccc7ncc(F)c5c76)(CC3)OC4)ncc2O1,O=c1ccc2nccc3c2n1CC3CC12CCC(NCc3cc4c(cn3)OCCO4)(CC1)CO2,Acinetobacter baumannii,μg/mL,CHEMBL3425811,2,16.0,16.0,16.0,1.2041199826559248,B,high,1,1.0
CC1COc2cnc(CNC34CCC(C[C@]5(O)Cn6c(=O)ccc7ncc(F)c5c76)(CC3)OC4)cc2O1,O=c1ccc2nccc3c2n1CC3CC12CCC(NCc3cc4c(cn3)OCCO4)(CC1)CO2,Acinetobacter baumannii,μg/mL,CHEMBL3425812,2,32.0,32.0,32.0,1.505149978319906,B,high,1,1.0
CC1Cn2cc(C(=O)O)c(=O)c3cc(F)c(-n4ccnc4)c(c32)S1,O=c1ccn2c3c(c(-n4ccnc4)ccc13)SCC2,Escherichia coli,μg/mL,CHEMBL325459,1,0.12,0.12,0.12,-0.9208187539523752,B,high,1,1.0
