model_id,model,feature_count,evaluation_samples,scaffold_groups,benchmark_protocol,spearman,rmse,ndcg_at_5,top_k_enrichment,hit_recovery,status,delta_v4alpha_minus_v3_spearman,delta_v4alpha_minus_v3_rmse,delta_v4alpha_minus_v3_ndcg_at_5,delta_v4alpha_minus_v3_top_k_enrichment,delta_v4alpha_minus_v3_hit_recovery
Model v3,lightgbm_feature_external_enhanced_v3,1128,17,11,scaffold_grouped_leave_one_out,0.7696078431372549,4.887703665520265,0.7782318298332684,1.36,0.4,preserved_comparator,,,,,
Model v4-alpha,lightgbm_v3_plus_dataset_v2_external_priors,1134,17,11,scaffold_grouped_leave_one_group_out,0.7549019607843138,4.9268042793017175,0.7774290836650433,1.3599999999999999,0.4,alpha_experiment,-0.014705882352941124,0.03910061378145269,-0.0008027461682251769,-2.220446049250313e-16,0.0
