scaffold,scaffold_size,best_candidate,best_vina_affinity,cluster_count,isolated_scaffold
c1ccc(Cn2c(CNc3ccccc3)[nH+]c3ccccc32)cc1,2,ATP-HTVS-9C588CAB6516,-8.034,2,False
c1ccc(CNc2cccnc2Oc2ccccc2)cc1,2,ATP-HTVS-62D29CE4051A,-8.029,2,False
c1ccc(CCNc2cc(-c3cccnc3)[nH+]c3ccccc23)cc1,2,ATP-HTVS-E027274C2018,-8.018,2,False
O=C(NCc1ccccc1)c1[nH]c2ccccc2c1Nc1ccccc1,2,ATP-HTVS-BFC0901B6A3C,-7.997,2,False
O=C(CNc1nc(NCCc2ccccc2)c2ccccc2[nH+]1)NCc1ccccc1,2,ATP-HTVS-30B3F39EA660,-7.992,2,False
O=C(NCC1c2ccccc2C(=O)N1Cc1ccccc1)c1ccccc1,2,ATP-HTVS-22C0C64F65E9,-7.972,1,False
c1ccc(COc2cccnc2Nc2ccccc2)cc1,2,ATP-HTVS-16D62B7C6E45,-7.948,2,False
c1ccc(CNc2ccc(Oc3ccccc3)nc2)cc1,2,ATP-HTVS-2E3C44D093AA,-7.934,1,False
c1ccc(C[NH2+]Cc2cn(-c3ccccc3)nc2-c2cccnc2)cc1,2,ATP-HTVS-5801E8FB792E,-7.931,2,False
c1ccc(CCc2cc(-c3ccncc3)nc3ccccc23)cc1,2,ATP-HTVS-79EE8ED1543F,-7.928,2,False
c1ccc(NCc2ccc3ccccc3c2)cc1,2,ATP-HTVS-9F5103B68EB9,-7.917,2,False
O=C(Nc1ccccc1)c1cn(-c2ccccc2)c(=O)c2ccccc12,2,ATP-HTVS-494FFDA3E05A,-7.884,2,False
c1ccc(CC[NH2+]Cc2ccc(-c3ccccc3)s2)cc1,2,ATP-HTVS-79BEB139CB8F,-7.884,1,False
c1ccc(C[NH2+]CCc2ccc3ccccc3c2)cc1,2,ATP-HTVS-E4024F0AB59A,-7.839,2,False
c1ccc(CC[NH2+]Cc2ccc(OCc3ccccc3)cn2)cc1,2,ATP-HTVS-B7368E70BBC8,-7.834,2,False
c1ccc(CCNc2nc(NCCc3ccccc3)c3ccccc3[nH+]2)cc1,2,ATP-HTVS-09A5DA8CBD66,-7.813,2,False
c1ccc(CNCc2c[nH]nc2OCc2ccccc2)cc1,2,ATP-HTVS-8567A07E89C1,-7.798,1,False
c1ccc(C[NH2+]Cc2ccccc2OCc2ccccc2)cc1,2,ATP-HTVS-92F0D0267220,-7.641,2,False
O=C(NCc1ccccc1)c1cc(Nc2ccccc2)cs1,2,ATP-HTVS-9A75570B0E27,-7.502,1,False
O=C(Nc1c[nH+]c2ccccc2c1NCc1ccccc1)c1ccc(C[NH+]2CCCC2)cc1,2,ATP-HTVS-5C29B6179A0F,-7.468,1,False
c1ccc(C[NH2+]C(CSc2ccccc2)c2cnc3ccccn23)cc1,2,ATP-HTVS-79A32C942736,-7.448,1,False
c1ccc(CNc2ccc(-c3ccccc3)s2)cc1,2,ATP-HTVS-76CE1997AF40,-7.269,1,False
c1ccc(CNCc2csc(COc3ccccc3)n2)cc1,2,ATP-HTVS-590B92626142,-7.216,2,False
O=C(Nc1ccccc1)c1c[nH+]c2ccccc2c1NCc1ccccc1,2,ATP-HTVS-FA0319FBED9B,-7.162,1,False
O=C(Nc1nc2ccccc2cc1-c1ccncc1)c1ccccc1,2,ATP-HTVS-DADEC6686275,-7.125,1,False
O=C1c2ccccc2C(CNCc2ccccc2)N1Cc1ccccc1,2,ATP-HTVS-A6599D500180,-7.042,2,False
c1ccc(C[NH2+]Cc2nc3ccccc3n2Cc2ccccc2)cc1,2,ATP-HTVS-7AB1442FC022,-7.035,2,False
O=C(NCc1ccccc1)c1sccc1Nc1ccccc1,2,ATP-HTVS-601F520459A4,-6.998,2,False
O=C1NC(c2ccccc2)N(c2ccccc2)c2ccccc21,2,ATP-HTVS-681E21A5C336,-6.966,2,False
O=C(CCNc1ccccc1)n1c(-c2ccccc2)cc(=O)c2ccccc21,2,ATP-HTVS-DB45F9B4D40D,-6.714,1,False
O=C1CN(CCc2ccccc2)C(c2ccccc2)c2ccccc2N1,2,ATP-HTVS-ADFEB0A5CD8C,-6.034,1,False
O=C(Nc1ccccc1)c1sc2ccccc2c1[NH2+]Cc1ccccc1,2,ATP-HTVS-4EF6126AB2D8,-5.988,1,False
O=C(Nc1ncc(C#CCNCc2ccccc2)c2ccccc12)c1ccccc1,1,ATP-HTVS-A8B79B8D9CE4,-10.112,1,True
O=C(C#Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,1,ATP-HTVS-C4C9929F3284,-9.962,1,True
O=C(Cc1ccccc1)Nc1cnc2ccccc2c1C#CC(=O)c1ccccc1,1,ATP-HTVS-B847417F307C,-9.706,1,True
c1ccc(CCNc2nc(NCc3cccc4c3OCO4)[nH+]c3ccccc23)cc1,1,ATP-HTVS-9505CBC4E7EE,-9.7,1,True
c1ccc(CCNc2[nH+]nc(-c3ccccc3)c3ccccc23)cc1,1,ATP-HTVS-22FAF80E23F8,-9.631,1,True
O=C(Cc1ccccc1)Nc1ncc(C#CCNCc2ccccc2)c2ccccc12,1,ATP-HTVS-9AD82B0B5D2D,-9.608,1,True
O=C(Cc1cc(C(=O)NCCc2ccccc2)c2ccccc2n1)Nc1ccccc1,1,ATP-HTVS-A257C47BE0F3,-9.557,1,True
O=C(NCc1ccccc1)c1cc(-c2ccccn2)nc2ccccc12,1,ATP-HTVS-B31ECD8B9A27,-9.507,1,True
O=C1c2ccccc2C(CNCc2cccc(C3CC3)c2)N1Cc1ccccc1,1,ATP-HTVS-8E5D0C8C0586,-9.493,1,True
O=C(NCCc1ccccc1)c1cc(COc2ccccc2)nc2ccccc12,1,ATP-HTVS-DC065C207C84,-9.403,1,True
c1ccc(-c2c(CNCc3ccc(N4CC[NH2+]CC4)cc3)oc3ccccc23)cc1,1,ATP-HTVS-3DA95123E47A,-9.373,1,True
c1ccc(Cc2cccc(NCc3ccc(N4CC[NH2+]CC4)cc3)n2)cc1,1,ATP-HTVS-9352BEE24C86,-9.332,1,True
O=C(NCCc1ccccc1)c1cn(-c2ccccc2)c(=O)c2ccccc12,1,ATP-HTVS-8CA7F3DFAEDE,-9.328,1,True
O=C(NCC1c2ccccc2C(=O)N1Cc1ccccc1)Nc1ccccc1,1,ATP-HTVS-1356F7D69808,-9.306,1,True
O=C(Cc1ccccc1)Nc1c(C#CCNCc2ccccc2)cnc2ccccc12,1,ATP-HTVS-5E1B9EFD9407,-9.282,1,True
O=C(NCC#Cc1ccccc1)c1cc(-c2ccccc2)nc2ccccc12,1,ATP-HTVS-736CCC940701,-9.27,1,True
O=C(CCc1ccc2c(c1)OCO2)Nc1nc2ccccc2cc1NCc1ccccc1,1,ATP-HTVS-ED186549DA4C,-9.265,1,True
O=C(C#Cc1cc2ccccc2nc1NC(=O)c1ccccc1)c1ccccc1,1,ATP-HTVS-2CDCEBF2F10D,-9.239,1,True
O=C(Nc1ccccc1)Nc1cc(-c2ccccc2)nc2ccccc12,1,ATP-HTVS-FAA4B7BBA523,-9.199,1,True
