canonical_id,vina_affinity,glide_docking_score,vina_rank,glide_rank,rank_delta,abs_rank_delta,disagreement_class,scaffold
ATP-HTVS-DDCEA98BB6BE,-9.044,-2.19391511950083,111,1483,-1372,1372,extreme_disagreement,O=C(Cc1ccccc1)Nc1c(NCc2ccccc2)cnc2ccccc12
ATP-HTVS-9E45A7CB1B23,-9.107,-2.34711079073836,96,1461,-1365,1365,extreme_disagreement,O=C(Cn1c(COc2ccccc2)[nH+]c2ccccc21)NCc1ccccc1
ATP-HTVS-3EAEA7611BE9,-9.169,-2.48516848408361,79,1437,-1358,1358,extreme_disagreement,c1ccc(CCNCc2nc3ccccc3n2Cc2ccccc2)cc1
ATP-HTVS-3DA95123E47A,-9.373,-2.79904934128025,49,1404,-1355,1355,extreme_disagreement,c1ccc(-c2c(CNCc3ccc(N4CC[NH2+]CC4)cc3)oc3ccccc23)cc1
ATP-HTVS-3A96A568DDAE,-9.418,-2.87247311627957,45,1397,-1352,1352,extreme_disagreement,O=C(Nc1c(C#CCCc2ccccc2)cnc2ccccc12)c1ccccc1
ATP-HTVS-4CFD3E435A48,-6.707,-5.64869376221623,1447,97,1350,1350,extreme_disagreement,c1ccc(CC[NH2+]Cc2cn(-c3ccccc3)nc2-c2ccncc2)cc1
ATP-HTVS-C13B253881A4,-9.025,-2.34016426002997,118,1462,-1344,1344,extreme_disagreement,c1ccc(CCNCc2[nH+]c3ccccc3n2Cc2ccccc2)cc1
ATP-HTVS-8E3D409F2843,-6.981,-6.11799496353664,1372,29,1343,1343,extreme_disagreement,c1ccc(CC[NH2+]Cc2ccc(-c3ccccc3)s2)cc1
ATP-HTVS-71BF5DD28E53,-9.134,-2.57161786217853,86,1429,-1343,1343,extreme_disagreement,c1ccc(CCNC(c2ccccc2)c2cc3ccccc3o2)cc1
ATP-HTVS-6BE395388015,-8.753,-1.36676737681333,252,1592,-1340,1340,extreme_disagreement,O=C(NCCc1ccccc1)c1cc(=O)c2ccccc2n1Cc1ccccc1
ATP-HTVS-EBFF1A375D8B,-8.889,-1.94035670481426,178,1515,-1337,1337,extreme_disagreement,O=C(NCc1ccccc1)c1[nH]c2ccccc2c1NCc1ccccc1
ATP-HTVS-FDB0F1EC6F74,-6.636,-5.45391423146877,1464,133,1331,1331,extreme_disagreement,O=C1CN(Cc2ccccc2)C(c2ccccc2)c2ccccc2N1
ATP-HTVS-E3E3C457ADC4,-6.981,-6.02590230095753,1372,41,1331,1331,extreme_disagreement,C(=Cn1c(CCc2ccccc2)nc2ccccc21)c1ccccn1
ATP-HTVS-4128F66E5F96,-8.776,-1.59177629781537,239,1566,-1327,1327,extreme_disagreement,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1
ATP-HTVS-418CD17BC8B0,-8.879,-2.01145088281975,183,1505,-1322,1322,extreme_disagreement,O=C(Nc1nc2ccccc2cc1NCc1ccccc1)c1ccccc1
ATP-HTVS-510C24ACBA66,-8.894,-2.16502644605714,173,1489,-1316,1316,extreme_disagreement,O=C(Nc1ncc(C#Cc2ccccc2)nc1-c1ccccc1)c1ccccc1
ATP-HTVS-2E7AE7689BA0,-8.701,-1.29539637949352,285,1596,-1311,1311,extreme_disagreement,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1
ATP-HTVS-3E71027F124F,-7.071,-6.04277285789881,1350,40,1310,1310,extreme_disagreement,c1ccc(C[NH2+]Cc2c[nH]nc2OCc2ccccc2)cc1
ATP-HTVS-E317819F970C,-8.929,-2.380741576248,155,1458,-1303,1303,extreme_disagreement,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1
