canonical_id,protocol_uncertainty,model_uncertainty,model_disagreement_if_available,model_uncertainty_status,objective_uncertainty,evidence_uncertainty,chemical_space_uncertainty,combined_available_uncertainty,uncertainty_available_components,uncertainty_dominant_source,distance_to_decision_boundary
ATP-HTVS-053279755E30,0.06004901960784314,,,not_available_no_comparable_full_library_model_outputs,0.6362378706506903,0.1428571428571429,1.0,0.4597860082789191,4,chemical_space,1453.0
ATP-HTVS-0587EECAF94B,0.13051470588235295,,,not_available_no_comparable_full_library_model_outputs,0.2676605431726736,0.1428571428571429,0.4290444643109088,0.24251921405576957,4,chemical_space,980.5
ATP-HTVS-05A72EDFB57A,0.25612745098039214,,,not_available_no_comparable_full_library_model_outputs,0.36812902449083007,0.1428571428571429,0.46247026037339106,0.30739596967543903,4,chemical_space,154.0
ATP-HTVS-05E9E2FC066B,0.6200980392156863,,,not_available_no_comparable_full_library_model_outputs,0.2439170863767232,0.1428571428571429,0.5631504092068885,0.39250566941411025,4,protocol,850.0
ATP-HTVS-0659C124A83C,0.07169117647058823,,,not_available_no_comparable_full_library_model_outputs,0.32807065844596084,0.1428571428571429,1.0,0.38565474444342296,4,chemical_space,1225.5
ATP-HTVS-069ABDEDA86E,0.4387254901960784,,,not_available_no_comparable_full_library_model_outputs,0.26840071284440864,0.1428571428571429,0.0,0.21249583647440748,4,protocol,330.0
ATP-HTVS-06CA19E03C57,0.3014705882352941,,,not_available_no_comparable_full_library_model_outputs,0.21015744195054267,0.1428571428571429,0.6189080487154627,0.31834830543961057,4,chemical_space,444.0
ATP-HTVS-06E5BAB39855,0.5949754901960784,,,not_available_no_comparable_full_library_model_outputs,0.387032499407349,0.1428571428571429,0.7804118024510399,0.4763192337279025,4,chemical_space,533.5
ATP-HTVS-071084F9408F,0.12990196078431374,,,not_available_no_comparable_full_library_model_outputs,0.11977464752516094,0.1428571428571429,0.898102476454747,0.32265905690534114,4,chemical_space,519.0
ATP-HTVS-0715C99C3A28,0.1801470588235294,,,not_available_no_comparable_full_library_model_outputs,0.2563595804511598,0.1428571428571429,0.49493403460649427,0.2685744541845816,4,chemical_space,803.0
ATP-HTVS-0743B9964B99,0.0392156862745098,,,not_available_no_comparable_full_library_model_outputs,0.025646499476308777,0.1428571428571429,0.8198835822837112,0.25690072772291817,4,chemical_space,615.0
ATP-HTVS-07D9286D8737,0.30453431372549017,,,not_available_no_comparable_full_library_model_outputs,0.25285246259879457,0.1428571428571429,0.6239740141089682,0.331054483322599,4,chemical_space,958.5
ATP-HTVS-07F3737128F1,0.12745098039215685,,,not_available_no_comparable_full_library_model_outputs,0.35281633716609934,0.1428571428571429,0.47083304939381143,0.2734893774523026,4,chemical_space,1188.0
ATP-HTVS-08126335CB19,0.3560049019607843,,,not_available_no_comparable_full_library_model_outputs,0.4447964987419047,0.1428571428571429,1.0,0.485914635889958,4,chemical_space,1062.5
ATP-HTVS-081D95190B15,0.013480392156862746,,,not_available_no_comparable_full_library_model_outputs,0.3497801474482056,0.1428571428571429,0.6583798285481339,0.2911243777525863,4,chemical_space,8.0
ATP-HTVS-08266C4344A3,0.0661764705882353,,,not_available_no_comparable_full_library_model_outputs,0.292620026972652,0.1428571428571429,0.6126247086102014,0.2785695872570579,4,chemical_space,8.0
ATP-HTVS-0852D38F8C28,0.06433823529411764,,,not_available_no_comparable_full_library_model_outputs,0.5871340023941989,0.1428571428571429,1.0,0.44858234513636486,4,chemical_space,1421.5
ATP-HTVS-08590B5C6743,0.09803921568627451,,,not_available_no_comparable_full_library_model_outputs,0.2613972095887403,0.1428571428571429,0.5766167553605337,0.26972758087317283,4,chemical_space,172.0
