canonical_id,recommended_next_evidence,voi_proxy,voi_potential_decision_change,voi_uncertainty,voi_evidence_importance,acquisition_cost,protocol_uncertainty,rank_boundary_proximity,scaffold_novelty,evidence_uncertainty
ATP-HTVS-1449F4F4BA71,Prime MM/GBSA under one reviewed frozen protocol,0.00971571451712259,0.46660539215686275,0.6265971012513222,0.3323047969187675,10.0,0.9332107843137255,0.0,1.0,0.1428571428571429
ATP-HTVS-9505CBC4E7EE,Prime MM/GBSA under one reviewed frozen protocol,0.009649758090627169,0.4678308823529412,0.6259066873072232,0.3295474439775911,10.0,0.9356617647058824,0.0,1.0,0.1428571428571429
ATP-HTVS-8E5D0C8C0586,Prime MM/GBSA under one reviewed frozen protocol,0.009539246004311214,0.4522058823529412,0.6327644562298997,0.33337710084033617,10.0,0.9044117647058824,0.0,1.0,0.1428571428571429
ATP-HTVS-DF8AF7E8BFB3,Prime MM/GBSA under one reviewed frozen protocol,0.009335084569770462,0.4543504901960784,0.6205763470649398,0.3310793067226891,10.0,0.9087009803921569,0.0,1.0,0.1428571428571429
ATP-HTVS-B8017292FA6C,Prime MM/GBSA under one reviewed frozen protocol,0.008969470654521321,0.4270833333333333,0.5873274827415083,0.35758053221288516,10.0,0.8541666666666666,0.0,0.8435622116579284,0.1428571428571429
ATP-HTVS-E3E3C457ADC4,Prime MM/GBSA under one reviewed frozen protocol,0.008927081739504312,0.40778186274509803,0.6161798593847927,0.3552827380952381,10.0,0.8155637254901961,0.0,1.0,0.1428571428571429
ATP-HTVS-D1462A8BE621,Prime MM/GBSA under one reviewed frozen protocol,0.0088539542258337,0.49901960784313726,0.3280877024737714,0.5407913165266107,10.0,0.09803921568627451,0.9,0.6367627041465014,0.1428571428571429
ATP-HTVS-3DA95123E47A,Prime MM/GBSA under one reviewed frozen protocol,0.00867085149029998,0.41513480392156865,0.5982104288899435,0.34915528711484595,10.0,0.8302696078431373,0.0,1.0,0.1428571428571429
ATP-HTVS-BE963CFE3042,Prime MM/GBSA under one reviewed frozen protocol,0.008644140807867096,0.46109068627450983,0.5646761697927989,0.3319984243697479,10.0,0.9221813725490197,0.0,0.43917639509792017,0.1428571428571429
ATP-HTVS-79E4EBD82D6A,Prime MM/GBSA under one reviewed frozen protocol,0.008596372799127786,0.45159313725490197,0.5844218332600107,0.32571778711484595,10.0,0.9031862745098039,0.0,0.7520519717820633,0.1428571428571429
ATP-HTVS-A8B79B8D9CE4,Prime MM/GBSA under one reviewed frozen protocol,0.008546779004494968,0.3869485294117647,0.5877346425120323,0.37580969887955185,10.0,0.7738970588235294,0.0,1.0,0.1428571428571429
ATP-HTVS-FACA9080893C,Prime MM/GBSA under one reviewed frozen protocol,0.00846781212173056,0.4485294117647059,0.6319201343126996,0.2987570028011205,10.0,0.8970588235294118,0.0,0.7520519717820633,0.1428571428571429
