canonical_id,compound_code,vina_rank,glide_rank,rank_consensus,normalized_rank_variance,rank_entropy,protocol_disagreement_score,consensus_strength
ATP-HTVS-A1F737581FBF,84547,538,244,391.0,0.008113240700692042,1.0,0.1801470588235294,0.7610294117647058
ATP-HTVS-4F450E2E91A2,68579,463,319,391.0,0.0019463667820069207,1.0,0.08823529411764706,0.7610294117647058
ATP-HTVS-F2668BF9E9B1,75713,319,463,391.0,0.0019463667820069207,1.0,0.08823529411764706,0.7610294117647058
ATP-HTVS-7F83928F0467,70722,461,323,392.0,0.0017875486591695505,1.0,0.08455882352941177,0.7604166666666667
ATP-HTVS-2275AB855C30,82946,217,568,392.5,0.011564155763408307,1.0,0.21507352941176472,0.7601102941176471
ATP-HTVS-CC7A8C42BA33,30369,587,198,392.5,0.014203615346261056,1.0,0.23835784313725492,0.760110294117647
ATP-HTVS-ED381154F376,3425,310,476,393.0,0.0025865202085736255,1.0,0.1017156862745098,0.7598039215686274
ATP-HTVS-9C9650448F2C,83841,43,744,393.5,0.046124931666906954,1.0,0.42953431372549017,0.7594975490196079
ATP-HTVS-C2A68E9F7CC7,44385,609,178,393.5,0.017436296286284122,1.0,0.26409313725490197,0.7594975490196079
ATP-HTVS-A5C0EA33BE09,60675,560,228,394.0,0.010346080834294502,1.0,0.2034313725490196,0.7591911764705882
ATP-HTVS-67B30DFDD52C,28355,257,533,395.0,0.007150194636678202,1.0,0.16911764705882354,0.758578431372549
ATP-HTVS-6804FBE9529D,53249,110,682,396.0,0.030710844386774315,1.0,0.35049019607843135,0.7579656862745099
ATP-HTVS-4503BC70E7F0,38561,471,322,396.5,0.002083877745338331,1.0,0.09129901960784313,0.7576593137254902
ATP-HTVS-4BBA1A792A2F,70529,373,426,399.5,0.00026366436586889664,0.0,0.032475490196078434,0.7558210784313726
ATP-HTVS-3AF3BD852D4F,90753,276,528,402.0,0.005960748269896194,1.0,0.15441176470588236,0.7542892156862745
ATP-HTVS-FDDF48EBDCF8,78017,162,643,402.5,0.021716501015234525,1.0,0.29473039215686275,0.7539828431372549
ATP-HTVS-C8A46F369ED4,99810,5,802,403.5,0.05962334573841791,1.0,0.4883578431372549,0.7533700980392157
ATP-HTVS-017DA1C05B1D,98562,179,628,403.5,0.018923104244761634,1.0,0.27512254901960786,0.7533700980392156
ATP-HTVS-87F6BDFAEB44,451,570,238,404.0,0.010346080834294502,1.0,0.2034313725490196,0.7530637254901961
ATP-HTVS-3B760C3B8D5C,71811,594,221,407.5,0.013059223766099576,1.0,0.22855392156862744,0.7509191176470589
ATP-HTVS-52BA94C773EB,97153,9,807,408.0,0.05977305903979238,1.0,0.4889705882352941,0.7506127450980392
ATP-HTVS-19D9965850C9,38370,82,734,408.0,0.03990202085736256,1.0,0.39950980392156865,0.7506127450980391
ATP-HTVS-AF546DDC8B5A,39811,449,371,410.0,0.0005710694204152249,0.0,0.04779411764705882,0.7493872549019608
ATP-HTVS-AD7FACE11FDD,91810,793,28,410.5,0.054931640625,1.0,0.46875,0.7490808823529411
ATP-HTVS-3D55EC2CCC26,92001,519,306,412.5,0.004258522112889274,1.0,0.13051470588235295,0.7478553921568627
ATP-HTVS-EF17DB58F500,88321,246,581,413.5,0.010533902976018838,1.0,0.20526960784313725,0.7472426470588235
ATP-HTVS-B262751D15E7,44706,511,316,413.5,0.003569183877595156,1.0,0.11948529411764706,0.7472426470588236
ATP-HTVS-11489B74AE1C,69539,560,270,415.0,0.007893974072472127,1.0,0.17769607843137256,0.7463235294117647
