canonical_id,compound_code,canonical_smiles,scaffold,chemical_space_cluster,vina_rank,glide_rank,rank_delta,protocol_disagreement,rank_consensus,scaffold_size,cluster_size,evidence_completeness,distance_to_decision_boundary,protocol_uncertainty,model_uncertainty,model_disagreement_if_available,objective_uncertainty,evidence_uncertainty,chemical_space_uncertainty,uncertainty_dominant_source,voi_proxy,hybrid_score,hybrid_rank,acquisition_cost,recommended_next_evidence,evidence_missing,acquisition_class,why_selected,panel_order
ATP-HTVS-E71202E475AE,88195,Cc1cc(OCc2ccccc2)ncc1NC(=O)Nc1ccccc1C[NH+](C)C,O=C(Nc1ccccc1)Nc1ccc(OCc2ccccc2)nc1,427,78,23,55,0.03370098039215686,50.5,1,1,0.8571428571428571,9.5,0.03370098039215686,,,0.411042504038844,0.1428571428571429,1.0,chemical_space,0.0009239789879916022,0.05740695028011204,46,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,multi_protocol_strong,both docking protocols rank the candidate in the upper region,11
ATP-HTVS-1D3C11D6B0D4,95330,N#Cc1cc(C(=O)Nc2c(C#CC[NH2+]Cc3ccccc3)cnc3ccccc23)ccc1Cl,O=C(Nc1c(C#CC[NH2+]Cc2ccccc2)cnc2ccccc12)c1ccccc1,199,71,53,18,0.011029411764705883,62.0,5,3,0.8571428571428571,2.0,0.011029411764705883,,,0.3687229909381266,0.1428571428571429,0.6568775983376735,chemical_space,0.006609378171427591,0.05556348733622547,82,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,multi_protocol_strong,both docking protocols rank the candidate in the upper region,12
ATP-HTVS-2C5504015D66,57538,O[C@H](C[NH2+][C@@H](c1ccccn1)c1cc2ccccc2o1)c1c(F)cccc1F,c1ccc(CC[NH2+]C(c2ccccn2)c2cc3ccccc3o2)cc1,126,112,39,73,0.044730392156862746,75.5,3,3,0.8571428571428571,15.5,0.044730392156862746,,,0.4719389104276909,0.1428571428571429,0.7145222321554544,chemical_space,0.00042147678806287673,0.04971868419389616,317,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,multi_protocol_strong,both docking protocols rank the candidate in the upper region,13
ATP-HTVS-F8BD3C119C5E,34435,O[C@H](C[NH2+][C@@H](c1ccccn1)c1cc2ccccc2o1)c1ccccc1Cl,c1ccc(CC[NH2+]C(c2ccccn2)c2cc3ccccc3o2)cc1,126,133,19,114,0.06985294117647059,76.0,3,3,0.8571428571428571,16.0,0.06985294117647059,,,0.5098349222519717,0.1428571428571429,0.7145222321554544,chemical_space,0.0006881915542332284,0.05021194399781772,293,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,multi_protocol_strong,both docking protocols rank the candidate in the upper region,14
ATP-HTVS-B847417F307C,85761,O=C(Cc1ccc(F)cc1)Nc1cnc2ccccc2c1C#CC(=O)c1ccccc1,O=C(Cc1ccccc1)Nc1cnc2ccccc2c1C#CC(=O)c1ccccc1,538,26,132,-106,0.06495098039215687,79.0,1,1,0.8571428571428571,19.0,0.06495098039215687,,,0.4584999442635193,0.1428571428571429,1.0,chemical_space,0.0007407303517704925,0.05700805322128851,52,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,multi_protocol_strong,both docking protocols rank the candidate in the upper region,15
ATP-HTVS-CF9A421CD50D,33410,C[C@H](Nc1nc(NCc2ccc(F)c(CN(C)C)c2)c2ccccc2[nH+]1)c1ccccc1F,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,52,41,1612,-1571,0.9626225490196079,826.5,84,4,0.8571428571428571,726.5,0.9626225490196079,,,0.5420331547701097,0.1428571428571429,0.29620495290949383,protocol,0.007449605576094478,0.042144774828498,743,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,extreme_disagreement,large Glide/Vina rank disagreement could change the decision,16
ATP-HTVS-898AE5CA69D9,41922,CCN(C)Cc1cccc(CNc2nc(NCc3cccc(C)c3)[nH+]c3ccccc23)c1,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,305,86,1628,-1542,0.9448529411764706,857.0,84,1,0.8571428571428571,757.0,0.9448529411764706,,,0.5038463148682122,0.1428571428571429,0.5,protocol,0.007637413642190174,0.04530462184873949,552,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,extreme_disagreement,large Glide/Vina rank disagreement could change the decision,17
ATP-HTVS-450A55DE989E,48930,CC(C)Nc1cccc(CNc2nc(N[C@@H](C)c3ccc(C#N)cc3)nc3ccccc23)c1,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1,169,103,1630,-1527,0.9356617647058824,866.5,12,3,0.8571428571428571,766.5,0.9356617647058824,,,0.5225149515034258,0.1428571428571429,0.5580844438133828,protocol,0.007733926699965808,0.04830373681814381,374,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,extreme_disagreement,large Glide/Vina rank disagreement could change the decision,18
ATP-HTVS-9505CBC4E7EE,64641,CN(C)Cc1ccc(CCNc2nc(NCc3cccc4c3OCO4)[nH+]c3ccccc23)cc1,c1ccc(CCNc2nc(NCc3cccc4c3OCO4)[nH+]c3ccccc23)cc1,133,27,1554,-1527,0.9356617647058824,790.5,1,2,0.8571428571428571,690.5,0.9356617647058824,,,0.5270053652111205,0.1428571428571429,0.898102476454747,protocol,0.009649758090627169,0.05930527431901091,15,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,extreme_disagreement,large Glide/Vina rank disagreement could change the decision,19
ATP-HTVS-1449F4F4BA71,89058,Cc1ccc(C(=O)c2cnc3ccc(F)cc3c2N(CC[NH3+])Cc2ccc(F)cc2)cc1,O=C(c1ccccc1)c1cnc2ccccc2c1NCc1ccccc1,886,1543,20,1523,0.9332107843137255,781.5,1,1,0.8571428571428571,681.5,0.9332107843137255,,,0.4303204778344201,0.1428571428571429,1.0,chemical_space,0.00971571451712259,0.06145964635854342,1,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,extreme_disagreement,large Glide/Vina rank disagreement could change the decision,20
ATP-HTVS-41EB9DEAB7C9,91683,N#C[C@@H](Nc1c(C(=O)N(CC[NH3+])c2ccccc2)sc2ccccc12)c1ccc(F)cc1,O=C(Nc1ccccc1)c1sc2ccccc2c1NCc1ccccc1,799,1556,42,1514,0.9276960784313726,799.0,18,1,0.8571428571428571,699.0,0.9276960784313726,,,0.3891160824824324,0.1428571428571429,0.6738330776110275,protocol,0.008088747478014727,0.0512426533927566,247,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,extreme_disagreement,large Glide/Vina rank disagreement could change the decision,21
ATP-HTVS-BE963CFE3042,38017,CC(C)Nc1ccc(CNc2nc(N[C@H](C)c3ccccc3N)c3ccccc3n2)cc1,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1,525,30,1535,-1505,0.9221813725490197,782.5,12,1,0.8571428571428571,682.5,0.9221813725490197,,,0.47407796621607273,0.1428571428571429,0.7195881975489601,protocol,0.008644140807867096,0.052808321696776926,176,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,extreme_disagreement,large Glide/Vina rank disagreement could change the decision,22
ATP-HTVS-4EF6126AB2D8,89666,CC[N@H+](Cc1cccc(C)c1)c1c(C(=O)N(CC[NH3+])c2ccccc2)sc2ccccc12,O=C(Nc1ccccc1)c1sc2ccccc2c1[NH2+]Cc1ccccc1,330,1559,75,1484,0.9093137254901961,817.0,2,2,0.8571428571428571,717.0,0.9093137254901961,,,0.3643012966668992,0.1428571428571429,0.8198835822837112,protocol,0.008170509278960798,0.055944614356624935,74,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,extreme_disagreement,large Glide/Vina rank disagreement could change the decision,23
ATP-HTVS-BF68A4285DB1,42338,CC(C)[NH2+]c1cccc(CNc2nc(N[C@H](CCO)c3ccccc3F)c3ccccc3[nH+]2)c1,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,524,143,1626,-1483,0.9087009803921569,884.5,84,1,0.8571428571428571,784.5,0.9087009803921569,,,0.5867108905902614,0.1428571428571429,0.5,protocol,0.0073046046075437255,0.04407606792717087,624,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,extreme_disagreement,large Glide/Vina rank disagreement could change the decision,24
ATP-HTVS-DF8AF7E8BFB3,30433,C[C@H](C[NH2+]C[C@@H]1c2ccccc2C(=O)N1Cc1ccccc1)c1ccccc1,O=C1c2ccccc2C(C[NH2+]CCc2ccccc2)N1Cc1ccccc1,448,1527,44,1483,0.9087009803921569,785.5,1,1,0.8571428571428571,685.5,0.9087009803921569,,,0.4307472650104593,0.1428571428571429,1.0,chemical_space,0.009335084569770462,0.060895920868347345,3,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,extreme_disagreement,large Glide/Vina rank disagreement could change the decision,25
ATP-HTVS-8E5D0C8C0586,48226,O=C1c2ccccc2[C@@H](CNCc2cc(C3CC3)ccc2F)N1Cc1ccccc1,O=C1c2ccccc2C(CNCc2cccc(C3CC3)c2)N1Cc1ccccc1,642,40,1516,-1476,0.9044117647058824,778.0,1,1,0.8571428571428571,678.0,0.9044117647058824,,,0.48378891735657376,0.1428571428571429,1.0,chemical_space,0.009539246004311214,0.06094800420168067,2,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,extreme_disagreement,large Glide/Vina rank disagreement could change the decision,26
ATP-HTVS-79E4EBD82D6A,63777,CN(C)Cc1ccc(CNc2nc(NCC(=O)Nc3ccc(F)cc3)c3ccccc3[nH+]2)cc1,O=C(CNc1nc(NCc2ccccc2)[nH+]c2ccccc12)Nc1ccccc1,172,66,1540,-1474,0.9031862745098039,803.0,3,2,0.8571428571428571,703.0,0.9031862745098039,,,0.5175154533273175,0.1428571428571429,0.7741284623457786,protocol,0.008596372799127786,0.054706764680055586,110,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,extreme_disagreement,large Glide/Vina rank disagreement could change the decision,27
ATP-HTVS-FACA9080893C,78018,CCN(CC)Cc1cccc(CNc2cc3ccccc3nc2NC(=O)C[C@@H](C#N)c2ccccc2)c1,O=C(CCc1ccccc1)Nc1nc2ccccc2cc1NCc1ccccc1,382,159,1623,-1464,0.8970588235294118,891.0,3,1,0.8571428571428571,791.0,0.8970588235294118,,,0.6117385849732118,0.1428571428571429,0.8760259858910316,protocol,0.00846781212173056,0.05500451907252927,96,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,extreme_disagreement,large Glide/Vina rank disagreement could change the decision,28
ATP-HTVS-E14A9B461B4E,20705,Cc1c(F)cccc1-c1cc(CC[NH2+]Cc2ccccc2)n(C(=O)[C@@](C)(N)c2ccccc2)n1,O=C(Cc1ccccc1)n1nc(-c2ccccc2)cc1CC[NH2+]Cc1ccccc1,19,1476,22,1454,0.8909313725490197,749.0,6,8,0.8571428571428571,649.0,0.8909313725490197,,,0.36441948527131907,0.1428571428571429,0.4921145210842366,protocol,0.007205244734763823,0.04903184593272223,345,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,extreme_disagreement,large Glide/Vina rank disagreement could change the decision,29
ATP-HTVS-16A35D40F1B5,38337,COC[C@H](Nc1nc(NCc2ccc(F)c(C[NH+](C)C)c2)nc2ccccc12)c1ccccc1,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1,881,50,1481,-1431,0.8768382352941176,765.5,12,1,0.8571428571428571,665.5,0.8768382352941176,,,0.505678727664665,0.1428571428571429,0.7195881975489601,protocol,0.008297262205274377,0.052213958951678886,206,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,extreme_disagreement,large Glide/Vina rank disagreement could change the decision,30
ATP-HTVS-D1462A8BE621,82146,O=C(Nc1c(C#CC[NH2+]Cc2ccccc2)cnc2ccccc12)c1cc(F)cc(F)c1,O=C(Nc1c(C#CC[NH2+]Cc2ccccc2)cnc2ccccc12)c1ccccc1,199,181,21,160,0.09803921568627451,101.0,5,3,0.8571428571428571,1.0,0.09803921568627451,,,0.4145768530139948,0.1428571428571429,0.6568775983376735,chemical_space,0.0088539542258337,0.05758677164995096,40,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,rank_boundary_uncertain,near a configured selection boundary or high-uncertainty after earlier class de-duplication,31
ATP-HTVS-E7B44E0E6F2B,46529,C[NH2+]Cc1ccccc1CNc1nc(NCc2ccccc2)c2ccccc2[nH+]1,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,425,143,66,77,0.04718137254901961,104.5,84,1,0.8571428571428571,4.5,0.04718137254901961,,,0.4864713388145304,0.1428571428571429,0.5,chemical_space,0.004740013208673069,0.04668391106442577,469,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,rank_boundary_uncertain,near a configured selection boundary or high-uncertainty after earlier class de-duplication,32
ATP-HTVS-159795FE363C,92387,N#Cc1ccccc1CC(=O)Nc1nc2ccccc2cc1C#C[C@@H]([NH3+])Cc1cccc(F)c1,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,27,12,173,-161,0.09865196078431372,92.5,5,7,0.8571428571428571,7.5,0.09865196078431372,,,0.2709270382609488,0.1428571428571429,0.5323188378030038,chemical_space,0.002474187446092819,0.048764101341218356,352,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,rank_boundary_uncertain,near a configured selection boundary or high-uncertainty after earlier class de-duplication,33
ATP-HTVS-08266C4344A3,88675,[NH3+][C@H](C#Cc1cnc2ccccc2c1NC(=O)c1cc(F)cc(F)c1)Cc1cccc(F)c1,O=C(Nc1c(C#CCCc2ccccc2)cnc2ccccc12)c1ccccc1,47,54,162,-108,0.0661764705882353,108.0,3,6,0.8571428571428571,8.0,0.0661764705882353,,,0.292620026972652,0.1428571428571429,0.6126247086102014,chemical_space,0.001996996840299584,0.04951222882103031,324,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,rank_boundary_uncertain,near a configured selection boundary or high-uncertainty after earlier class de-duplication,34
ATP-HTVS-9DBDBA397665,91489,Cc1ccc([C@@H](NCc2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)C(=O)[O-])cc1,c1ccc(CNCc2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)cc1,605,156,1560,-1404,0.8602941176470589,858.0,1,1,0.8571428571428571,758.0,0.8602941176470589,,,0.49595315005947394,0.1428571428571429,1.0,chemical_space,0.008300672794945124,0.058595063025210094,21,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,rank_boundary_uncertain,near a configured selection boundary or high-uncertainty after earlier class de-duplication,35
ATP-HTVS-E3E3C457ADC4,20867,[NH3+][C@H](Cc1ccc(O)cc1)c1nc2ccccc2n1/C=C/c1ccccn1,C(=Cn1c(CCc2ccccc2)nc2ccccc21)c1ccccn1,436,1372,41,1331,0.8155637254901961,706.5,1,1,0.8571428571428571,606.5,0.8155637254901961,,,0.5062985691918318,0.1428571428571429,1.0,chemical_space,0.008927081739504312,0.06048538165266106,5,10.0,Prime MM/GBSA under one reviewed frozen protocol,candidate-level MM/GBSA; independent ADMET,rank_boundary_uncertain,near a configured selection boundary or high-uncertainty after earlier class de-duplication,36
