profile,compound_id,historical_alias,rank,central_rank,final_score,mean_rank,p_top3,p_top5
experimental_validation_focused,ATP-SMI-E9798004BA11,Hit6,6,6,65.56163194444444,6.7978,0.0,0.2587
experimental_validation_focused,ATP-SMI-CDED936B42F4,Hit11,7,7,64.55671296296296,7.2884,0.0395,0.1253
experimental_validation_focused,ATP-SMI-775D33706F04,Hit14,8,8,63.19733796296296,8.1926,0.0053,0.1154
experimental_validation_focused,ATP-SMI-C3308BEE03AC,Hit10,9,9,62.33015046296296,8.762,0.0365,0.1209
experimental_validation_focused,ATP-SMI-91E7552C2382,Hit16,10,10,61.23640046296296,10.1643,0.0022,0.0091
experimental_validation_focused,ATP-SMI-874C2DE25FE4,Hit3,11,11,60.98582175925926,10.2485,0.0106,0.1017
experimental_validation_focused,ATP-SMI-BF69AB71C1A4,Hit8,12,12,59.69733796296296,11.3983,0.0,0.0011
experimental_validation_focused,ATP-SMI-4417138BF81D,Hit17,13,13,58.48668981481481,12.5668,0.0,0.0
experimental_validation_focused,ATP-SMI-CFA68A98711F,Hit15,14,14,56.56510416666667,14.2446,0.0,0.0
experimental_validation_focused,ATP-SMI-FCA9CDF3313B,Hit9,15,15,56.21296296296296,14.253,0.0,0.0
experimental_validation_focused,ATP-SMI-94F73967C042,Hit12,16,16,54.24421296296296,15.7985,0.0,0.0
experimental_validation_focused,ATP-SMI-15737353FB69,Hit7,17,17,52.85329861111111,16.3636,0.0,0.0
