candidate_id,candidate_origin,parent_id,canonical_smiles,scaffold,cluster,selection_class,glide_score,glide_rank,vina_score,vina_rank,acquisition_score,protocol_disagreement,novelty,tractability,pose_path
ATP-HTVS-450A55DE989E,phase15_historical_htvs,,CC(C)Nc1cccc(CNc2nc(N[C@@H](C)c3ccc(C#N)cc3)nc3ccccc23)c1,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1,169,extreme_disagreement,,1630,-9.084,103,0.0483037368181438,0.9356617647058824,0.5580844438133828,,
ATP-HTVS-9505CBC4E7EE,phase15_historical_htvs,,CN(C)Cc1ccc(CCNc2nc(NCc3cccc4c3OCO4)[nH+]c3ccccc23)cc1,c1ccc(CCNc2nc(NCc3cccc4c3OCO4)[nH+]c3ccccc23)cc1,133,extreme_disagreement,,1554,-9.7,27,0.0593052743190109,0.9356617647058824,0.898102476454747,,
ATP-HTVS-1449F4F4BA71,phase15_historical_htvs,,Cc1ccc(C(=O)c2cnc3ccc(F)cc3c2N(CC[NH3+])Cc2ccc(F)cc2)cc1,O=C(c1ccccc1)c1cnc2ccccc2c1NCc1ccccc1,886,extreme_disagreement,,20,-6.164,1543,0.0614596463585434,0.9332107843137256,1.0,,
ATP-HTVS-41EB9DEAB7C9,phase15_historical_htvs,,N#C[C@@H](Nc1c(C(=O)N(CC[NH3+])c2ccccc2)sc2ccccc12)c1ccc(F)cc1,O=C(Nc1ccccc1)c1sc2ccccc2c1NCc1ccccc1,799,extreme_disagreement,,42,-5.993,1556,0.0512426533927566,0.9276960784313726,0.6738330776110275,,
ATP-HTVS-BE963CFE3042,phase15_historical_htvs,,CC(C)Nc1ccc(CNc2nc(N[C@H](C)c3ccccc3N)c3ccccc3n2)cc1,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1,525,extreme_disagreement,,1535,-9.621,30,0.0528083216967769,0.9221813725490196,0.7195881975489601,,
ATP-HTVS-4EF6126AB2D8,phase15_historical_htvs,,CC[N@H+](Cc1cccc(C)c1)c1c(C(=O)N(CC[NH3+])c2ccccc2)sc2ccccc12,O=C(Nc1ccccc1)c1sc2ccccc2c1[NH2+]Cc1ccccc1,330,extreme_disagreement,,75,-5.988,1559,0.0559446143566249,0.909313725490196,0.8198835822837112,,
ATP-HTVS-BF68A4285DB1,phase15_historical_htvs,,CC(C)[NH2+]c1cccc(CNc2nc(N[C@H](CCO)c3ccccc3F)c3ccccc3[nH+]2)c1,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,524,extreme_disagreement,,1626,-8.959,143,0.0440760679271708,0.9087009803921569,0.5,,
ATP-HTVS-DF8AF7E8BFB3,phase15_historical_htvs,,C[C@H](C[NH2+]C[C@@H]1c2ccccc2C(=O)N1Cc1ccccc1)c1ccccc1,O=C1c2ccccc2C(C[NH2+]CCc2ccccc2)N1Cc1ccccc1,448,extreme_disagreement,,44,-6.319,1527,0.0608959208683473,0.9087009803921569,1.0,,
ATP-HTVS-8E5D0C8C0586,phase15_historical_htvs,,O=C1c2ccccc2[C@@H](CNCc2cc(C3CC3)ccc2F)N1Cc1ccccc1,O=C1c2ccccc2C(CNCc2cccc(C3CC3)c2)N1Cc1ccccc1,642,extreme_disagreement,,1516,-9.493,40,0.0609480042016806,0.9044117647058824,1.0,,
ATP-HTVS-79E4EBD82D6A,phase15_historical_htvs,,CN(C)Cc1ccc(CNc2nc(NCC(=O)Nc3ccc(F)cc3)c3ccccc3[nH+]2)cc1,O=C(CNc1nc(NCc2ccccc2)[nH+]c2ccccc12)Nc1ccccc1,172,extreme_disagreement,,1540,-9.241,66,0.0547067646800555,0.903186274509804,0.7741284623457786,,
ATP-HTVS-FACA9080893C,phase15_historical_htvs,,CCN(CC)Cc1cccc(CNc2cc3ccccc3nc2NC(=O)C[C@@H](C#N)c2ccccc2)c1,O=C(CCc1ccccc1)Nc1nc2ccccc2cc1NCc1ccccc1,382,extreme_disagreement,,1623,-8.922,159,0.0550045190725292,0.8970588235294118,0.8760259858910316,,
ATP-HTVS-E14A9B461B4E,phase15_historical_htvs,,Cc1c(F)cccc1-c1cc(CC[NH2+]Cc2ccccc2)n(C(=O)[C@@](C)(N)c2ccccc2)n1,O=C(Cc1ccccc1)n1nc(-c2ccccc2)cc1CC[NH2+]Cc1ccccc1,19,extreme_disagreement,,22,-6.584,1476,0.0490318459327222,0.8909313725490197,0.4921145210842366,,
ATP-HTVS-16A35D40F1B5,phase15_historical_htvs,,COC[C@H](Nc1nc(NCc2ccc(F)c(C[NH+](C)C)c2)nc2ccccc12)c1ccccc1,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1,881,extreme_disagreement,,1481,-9.361,50,0.0522139589516788,0.8768382352941176,0.7195881975489601,,
ATP-HTVS-D1462A8BE621,phase15_historical_htvs,,O=C(Nc1c(C#CC[NH2+]Cc2ccccc2)cnc2ccccc12)c1cc(F)cc(F)c1,O=C(Nc1c(C#CC[NH2+]Cc2ccccc2)cnc2ccccc12)c1ccccc1,199,rank_boundary_uncertain,,21,-8.881,181,0.0575867716499509,0.0980392156862745,0.6568775983376735,,
ATP-HTVS-E7B44E0E6F2B,phase15_historical_htvs,,C[NH2+]Cc1ccccc1CNc1nc(NCc2ccccc2)c2ccccc2[nH+]1,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,425,rank_boundary_uncertain,,66,-8.959,143,0.0466839110644257,0.0471813725490196,0.5,,
ATP-HTVS-159795FE363C,phase15_historical_htvs,,N#Cc1ccccc1CC(=O)Nc1nc2ccccc2cc1C#C[C@@H]([NH3+])Cc1cccc(F)c1,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,27,rank_boundary_uncertain,,173,-10.004,12,0.0487641013412183,0.0986519607843137,0.5323188378030038,,
ATP-HTVS-08266C4344A3,phase15_historical_htvs,,[NH3+][C@H](C#Cc1cnc2ccccc2c1NC(=O)c1cc(F)cc(F)c1)Cc1cccc(F)c1,O=C(Nc1c(C#CCCc2ccccc2)cnc2ccccc12)c1ccccc1,47,rank_boundary_uncertain,,162,-9.331,54,0.0495122288210303,0.0661764705882353,0.6126247086102014,,
ATP-HTVS-9DBDBA397665,phase15_historical_htvs,,Cc1ccc([C@@H](NCc2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)C(=O)[O-])cc1,c1ccc(CNCc2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)cc1,605,rank_boundary_uncertain,,1560,-8.928,156,0.05859506302521,0.8602941176470589,1.0,,
ATP-HTVS-E3E3C457ADC4,phase15_historical_htvs,,[NH3+][C@H](Cc1ccc(O)cc1)c1nc2ccccc2n1/C=C/c1ccccn1,C(=Cn1c(CCc2ccccc2)nc2ccccc21)c1ccccn1,436,rank_boundary_uncertain,,41,-6.981,1372,0.060485381652661,0.8155637254901961,1.0,,
ATP-HTVS-9E45A7CB1B23,phase15_historical_htvs,,CC(C)Nc1ccc(CNC(=O)Cn2c(COc3ccccc3)[nH+]c3ccccc32)cc1,O=C(Cn1c(COc2ccccc2)[nH+]c2ccccc21)NCc1ccccc1,603,rank_boundary_uncertain,,1461,-9.107,96,0.059578518907563,0.8363970588235294,1.0,,
ATP-HTVS-EF5E324DB424,phase15_historical_htvs,,CN1CCN(c2ccccc2CNC(=O)c2oc3ccccc3c2COc2ccccc2)CC1,O=C(NCc1ccccc1N1CCNCC1)c1oc2ccccc2c1COc1ccccc1,407,rank_boundary_uncertain,,1470,-8.9,169,0.0580405287114845,0.7971813725490197,1.0,,
ATP-HTVS-3DA95123E47A,phase15_historical_htvs,,C[NH+]1CCN(c2ccc(CNCc3oc4ccc(F)cc4c3-c3ccccc3)cc2)CC1,c1ccc(-c2c(CNCc3ccc(N4CC[NH2+]CC4)cc3)oc3ccccc23)cc1,810,rank_boundary_uncertain,,1404,-9.373,49,0.0604118522408963,0.8302696078431373,1.0,,
ATP-HTVS-5BC6D09DB3F1,phase15_historical_htvs,,C[C@H](CF)Nc1cccc(CC(=O)NCc2[nH+]c3ccccc3n2Cc2ccccc2)c1,O=C(Cc1ccccc1)NCc1[nH+]c2ccccc2n1Cc1ccccc1,735,rank_boundary_uncertain,,1477,-8.798,223,0.0569038865546218,0.7683823529411765,1.0,,
ATP-HTVS-6B0687E57A6A,phase15_historical_htvs,,OCc1ccccc1CC[NH2+][C@@H](c1ccccc1)c1cc2ccccc2o1,c1ccc(CC[NH2+]C(c2ccccc2)c2cc3ccccc3o2)cc1,707,scaffold_diverse,,35,-8.996,125,0.0567935924369747,0.0551470588235294,1.0,,
ATP-HTVS-DDBB6FEB6103,phase15_historical_htvs,,C[C@H](O)Cc1ccc(C[NH2+]Cc2oc3ccc(F)cc3c2-c2ccccc2)cc1,c1ccc(C[NH2+]Cc2oc3ccccc3c2-c2ccccc2)cc1,452,scaffold_diverse,,13,-8.824,212,0.057531950280112,0.1219362745098039,1.0,,
ATP-HTVS-BFD5BCAF9717,phase15_historical_htvs,,O=C(NNc1ccccc1)c1oc2ccccc2c1COc1ccccc1,O=C(NNc1ccccc1)c1oc2ccccc2c1COc1ccccc1,522,scaffold_diverse,,63,-8.907,165,0.0563156512605042,0.0625,1.0,,
ATP-HTVS-0CA591B42E29,phase15_historical_htvs,,C[NH+](C)Cc1cccc(CN[C@H](C#Cc2ccc(C(=O)[O-])cc2)c2coc3ccccc23)c1,C(#CC(NCc1ccccc1)c1coc2ccccc12)c1ccccc1,897,scaffold_diverse,,126,-8.89,177,0.05500131302521,0.03125,1.0,,
ATP-HTVS-DD420CB019C5,phase15_historical_htvs,,c1ccc(Cn2c(C[NH2+]Cc3cccc4c3NCCC4)nc3ccccc32)cc1,c1ccc(Cn2c(C[NH2+]Cc3cccc4c3NCCC4)nc3ccccc32)cc1,453,scaffold_diverse,,159,-8.842,203,0.0543732492997198,0.0269607843137254,1.0,,
