feature,split_count,gain,feature_group
morgan1024_0090,0,0.0,preserved_v3_feature
morgan1024_0091,0,0.0,preserved_v3_feature
morgan1024_0092,0,0.0,preserved_v3_feature
morgan1024_0093,0,0.0,preserved_v3_feature
morgan1024_0094,0,0.0,preserved_v3_feature
morgan1024_0095,0,0.0,preserved_v3_feature
morgan1024_0096,0,0.0,preserved_v3_feature
morgan1024_0097,0,0.0,preserved_v3_feature
morgan1024_0098,0,0.0,preserved_v3_feature
morgan1024_0099,0,0.0,preserved_v3_feature
morgan1024_0100,0,0.0,preserved_v3_feature
morgan1024_0101,0,0.0,preserved_v3_feature
morgan1024_0102,0,0.0,preserved_v3_feature
morgan1024_0103,0,0.0,preserved_v3_feature
morgan1024_0104,0,0.0,preserved_v3_feature
morgan1024_0105,0,0.0,preserved_v3_feature
morgan1024_0106,0,0.0,preserved_v3_feature
morgan1024_0107,0,0.0,preserved_v3_feature
morgan1024_0108,0,0.0,preserved_v3_feature
morgan1024_0109,0,0.0,preserved_v3_feature
morgan1024_0111,0,0.0,preserved_v3_feature
morgan1024_0112,0,0.0,preserved_v3_feature
morgan1024_0113,0,0.0,preserved_v3_feature
morgan1024_0114,0,0.0,preserved_v3_feature
morgan1024_0115,0,0.0,preserved_v3_feature
morgan1024_0116,0,0.0,preserved_v3_feature
morgan1024_0118,0,0.0,preserved_v3_feature
morgan1024_0119,0,0.0,preserved_v3_feature
morgan1024_0120,0,0.0,preserved_v3_feature
morgan1024_0121,0,0.0,preserved_v3_feature
morgan1024_0122,0,0.0,preserved_v3_feature
morgan1024_0123,0,0.0,preserved_v3_feature
morgan1024_0124,0,0.0,preserved_v3_feature
morgan1024_0125,0,0.0,preserved_v3_feature
morgan1024_0126,0,0.0,preserved_v3_feature
morgan1024_0127,0,0.0,preserved_v3_feature
morgan1024_0128,0,0.0,preserved_v3_feature
morgan1024_0129,0,0.0,preserved_v3_feature
morgan1024_0130,0,0.0,preserved_v3_feature
morgan1024_0131,0,0.0,preserved_v3_feature
morgan1024_0132,0,0.0,preserved_v3_feature
morgan1024_0133,0,0.0,preserved_v3_feature
morgan1024_0134,0,0.0,preserved_v3_feature
morgan1024_0135,0,0.0,preserved_v3_feature
morgan1024_0136,0,0.0,preserved_v3_feature
morgan1024_0137,0,0.0,preserved_v3_feature
morgan1024_0138,0,0.0,preserved_v3_feature
morgan1024_0139,0,0.0,preserved_v3_feature
morgan1024_0140,0,0.0,preserved_v3_feature
morgan1024_0141,0,0.0,preserved_v3_feature
morgan1024_0142,0,0.0,preserved_v3_feature
morgan1024_0143,0,0.0,preserved_v3_feature
morgan1024_0144,0,0.0,preserved_v3_feature
morgan1024_0145,0,0.0,preserved_v3_feature
morgan1024_0146,0,0.0,preserved_v3_feature
morgan1024_0148,0,0.0,preserved_v3_feature
morgan1024_0149,0,0.0,preserved_v3_feature
morgan1024_0150,0,0.0,preserved_v3_feature
morgan1024_0151,0,0.0,preserved_v3_feature
morgan1024_0152,0,0.0,preserved_v3_feature
morgan1024_0153,0,0.0,preserved_v3_feature
morgan1024_0154,0,0.0,preserved_v3_feature
morgan1024_0155,0,0.0,preserved_v3_feature
morgan1024_0156,0,0.0,preserved_v3_feature
morgan1024_0157,0,0.0,preserved_v3_feature
morgan1024_0158,0,0.0,preserved_v3_feature
morgan1024_0159,0,0.0,preserved_v3_feature
morgan1024_0160,0,0.0,preserved_v3_feature
morgan1024_0161,0,0.0,preserved_v3_feature
morgan1024_0162,0,0.0,preserved_v3_feature
morgan1024_0163,0,0.0,preserved_v3_feature
morgan1024_0164,0,0.0,preserved_v3_feature
morgan1024_0165,0,0.0,preserved_v3_feature
morgan1024_0166,0,0.0,preserved_v3_feature
morgan1024_0167,0,0.0,preserved_v3_feature
morgan1024_0168,0,0.0,preserved_v3_feature
morgan1024_0169,0,0.0,preserved_v3_feature
morgan1024_0170,0,0.0,preserved_v3_feature
morgan1024_0171,0,0.0,preserved_v3_feature
morgan1024_0172,0,0.0,preserved_v3_feature
morgan1024_0173,0,0.0,preserved_v3_feature
morgan1024_0174,0,0.0,preserved_v3_feature
morgan1024_0175,0,0.0,preserved_v3_feature
morgan1024_0176,0,0.0,preserved_v3_feature
morgan1024_0177,0,0.0,preserved_v3_feature
morgan1024_0178,0,0.0,preserved_v3_feature
morgan1024_0179,0,0.0,preserved_v3_feature
morgan1024_0180,0,0.0,preserved_v3_feature
morgan1024_0181,0,0.0,preserved_v3_feature
morgan1024_0182,0,0.0,preserved_v3_feature
morgan1024_0183,0,0.0,preserved_v3_feature
morgan1024_0184,0,0.0,preserved_v3_feature
morgan1024_0185,0,0.0,preserved_v3_feature
morgan1024_0186,0,0.0,preserved_v3_feature
morgan1024_0187,0,0.0,preserved_v3_feature
morgan1024_0188,0,0.0,preserved_v3_feature
morgan1024_0189,0,0.0,preserved_v3_feature
morgan1024_0190,0,0.0,preserved_v3_feature
morgan1024_0192,0,0.0,preserved_v3_feature
morgan1024_0194,0,0.0,preserved_v3_feature
morgan1024_0195,0,0.0,preserved_v3_feature
morgan1024_0196,0,0.0,preserved_v3_feature
morgan1024_0197,0,0.0,preserved_v3_feature
morgan1024_0198,0,0.0,preserved_v3_feature
morgan1024_0199,0,0.0,preserved_v3_feature
morgan1024_0200,0,0.0,preserved_v3_feature
morgan1024_0201,0,0.0,preserved_v3_feature
morgan1024_0202,0,0.0,preserved_v3_feature
morgan1024_0203,0,0.0,preserved_v3_feature
morgan1024_0204,0,0.0,preserved_v3_feature
morgan1024_0206,0,0.0,preserved_v3_feature
morgan1024_0207,0,0.0,preserved_v3_feature
morgan1024_0208,0,0.0,preserved_v3_feature
morgan1024_0209,0,0.0,preserved_v3_feature
morgan1024_0210,0,0.0,preserved_v3_feature
morgan1024_0211,0,0.0,preserved_v3_feature
morgan1024_0212,0,0.0,preserved_v3_feature
morgan1024_0213,0,0.0,preserved_v3_feature
morgan1024_0214,0,0.0,preserved_v3_feature
morgan1024_0215,0,0.0,preserved_v3_feature
morgan1024_0216,0,0.0,preserved_v3_feature
morgan1024_0217,0,0.0,preserved_v3_feature
morgan1024_0218,0,0.0,preserved_v3_feature
morgan1024_0219,0,0.0,preserved_v3_feature
morgan1024_0220,0,0.0,preserved_v3_feature
morgan1024_0221,0,0.0,preserved_v3_feature
