canonical_id,historical_alias,docking_score,rank,score_source
ATP-HTVS-0F6915EAEEA3,79267;rxn207____EMOL46100666____EMOL50155899,-5.92798196044923,47,HTVS
ATP-HTVS-B31ECD8B9A27,61603;m_270006bbb____11732418____8405714,-5.92766230536446,48,HTVS
ATP-HTVS-F308899F49E6,52515;m_270004bbb____23868358____11947658,-5.90641594276411,49,HTVS
ATP-HTVS-6F07AE7177E0,48289;m_270006bbb____11615382____8411686,-5.8894698694767,50,HTVS
ATP-HTVS-BDD1C4453981,38147;m_2230cbb____22404674____7471122,-5.88652840899261,51,HTVS
ATP-HTVS-0FDC7A3FF1CA,47107;m_270004bbb____8289034____24714838,-5.88013714765497,52,HTVS
ATP-HTVS-1D3C11D6B0D4,95330;rxn503b____EMOL44817445____EMOL13728749____EMOL1197208,-5.87800754081715,53,HTVS
ATP-HTVS-60C7695B6F0C,73410;rxn512c____EMOL530714____EMOL523944____EMOL50155899,-5.86770542169608,54,HTVS
ATP-HTVS-397149B089BD,39490;m_270004bbb____25290078____7547616,-5.85385473217396,55,HTVS
ATP-HTVS-96035055C171,32801;m_270004bbb____12219716____12427640,-5.8406342578885,56,HTVS
ATP-HTVS-83768D529230,81825;rxn512b____EMOL477532____EMOL15801711____EMOL50155899,-5.83755543127655,57,HTVS
ATP-HTVS-A53B334F5824,50977;m_270004bbb____12219716____7548208,-5.82573794113561,58,HTVS
ATP-HTVS-D49B0A10993C,27586;m_270004bbb____8288884____24714838,-5.82548848966351,59,HTVS
ATP-HTVS-72BD9FFCF62D,59458;m_270166bbb____18184680____17625580,-5.81227878859071,60,HTVS
ATP-HTVS-69AD6B8D3733,52643;m_270004bbb____13774140____24720860,-5.81187938311954,61,HTVS
ATP-HTVS-00C8034698A8,34403;m_270004bbb____15775648____24720718,-5.81163963281027,62,HTVS
ATP-HTVS-BFD5BCAF9717,52961;m_527bbb____282812____155570,-5.80036295368171,63,HTVS
ATP-HTVS-B3F47181DC5D,83746;rxn503b____EMOL519605____EMOL7515103____EMOL317506007,-5.78131733089386,64,HTVS
ATP-HTVS-C615FEE5992B,53122;m_2230bbb____22399256____7471132,-5.76824194553614,65,HTVS
ATP-HTVS-E7B44E0E6F2B,46529;m_270166bbb____16815848____17625580,-5.76445509076332,66,HTVS
ATP-HTVS-15F2A5DBBD51,68225;m_270004bca____10206044____24714584,-5.75577483810029,67,HTVS
ATP-HTVS-244A9AEB7273,5347;a4____241569____411479,-5.75459768677577,68,HTVS
ATP-HTVS-C9013CEACAA9,79266;rxn403____EMOL44390368____EMOL514874____EMOL1197208,-5.74968572661554,69,HTVS
ATP-HTVS-6F858A0E8812,50979;m_270004bbb____12219716____11686696,-5.74835431316884,70,HTVS
ATP-HTVS-772EF906400E,20706;Shen____49239300____25682267____40180766,-5.7472783149045,71,HTVS
ATP-HTVS-869F8AF38162,90401;rxn502b____EMOL18624763____EMOL4363915____EMOL18628026,-5.74701459234187,72,HTVS
ATP-HTVS-ACBE41267A18,4290;YAS_R006____OTV5753507____OTV7018930011____OTV1000393,-5.74492062292097,73,HTVS
ATP-HTVS-41C13ED6AFFD,83554;rxn207____EMOL44467252____EMOL50155899,-5.73485067766242,74,HTVS
ATP-HTVS-4EF6126AB2D8,89666;rxn512c____EMOL530647____EMOL523944____EMOL31407295,-5.72493211292033,75,HTVS
ATP-HTVS-507C96D672B3,5570;a4____241569____182810,-5.71813257964719,76,HTVS
ATP-HTVS-E80053830AA7,51267;m_34bea____10269714____18339488,-5.71676491929545,77,HTVS
ATP-HTVS-985FC5CCBDCC,91523;rxn513b____EMOL50155899____EMOL719673____EMOL38277732,-5.71487107256953,78,HTVS
ATP-HTVS-DF96FF74234A,32323;m_270004bbb____8288884____7548974,-5.71357845935537,79,HTVS
ATP-HTVS-EB0B96E798C5,89859;rxn102c____EMOL49832880____EMOL44693140,-5.70566668218131,80,HTVS
ATP-HTVS-49D68E9248AF,44739;m_270004beb____8289658____8127862,-5.70465144918072,81,HTVS
ATP-HTVS-85B092CE3CD6,31969;m_270004bbb____12219716____20614926,-5.69994203184896,82,HTVS
ATP-HTVS-F63C80F910BB,35107;m_282030aaa____21890570____22360182____21967972,-5.69704200641799,83,HTVS
ATP-HTVS-011A966B3F21,59203;m_269862bba____21537480____13192834,-5.69314528862896,84,HTVS
ATP-HTVS-3E71DFC624D6,82465;rxn502b____EMOL527362____EMOL30488121____EMOL2873214,-5.69093713493627,85,HTVS
ATP-HTVS-1ACF073F315C,44323;m_271304bba____13807932____9305042,-5.67982151086328,86,HTVS
ATP-HTVS-A4BDF0A6C58A,61058;m_207bba____12219688____109736,-5.67800417241926,87,HTVS
ATP-HTVS-44DE29768EEE,17571;a2____240755____48395,-5.67669422905585,88,HTVS
ATP-HTVS-5BE3914F361A,91171;rxn503b____EMOL480467____EMOL7515103____EMOL1197208,-5.67579047127189,89,HTVS
ATP-HTVS-A3FFA90B66AA,58403;m_270004beb____8295862____24720860,-5.67375171778163,90,HTVS
ATP-HTVS-22E2482E2999,48354;m_282030aaa____21905842____22360182____21945542,-5.66681419218853,91,HTVS
ATP-HTVS-F937C5B79A0E,20675;Shen____49239300____6251622____40180766,-5.66648269514303,92,HTVS
ATP-HTVS-2485F4B11063,64065;m_270004bbb____21531102____7549102,-5.66278016806593,93,HTVS
ATP-HTVS-5A2EB4E9D835,63779;m_282030aaa____21933780____22360182____21945542,-5.66214009987454,94,HTVS
ATP-HTVS-458F3EB1794A,20674;Shen____49239300____722046____40180766,-5.66081942024154,95,HTVS
ATP-HTVS-3A71FF84034D,20131;WXDL_15E____QS5063____LN00174727____BT3078,-5.65337754442706,96,HTVS
ATP-HTVS-4CFD3E435A48,60227;m_270004bbb____8292808____7547806,-5.64869376221623,97,HTVS
ATP-HTVS-8365FF7884A6,64321;m_269862bba____11568786____13192834,-5.64828858454572,98,HTVS
ATP-HTVS-D53BE49171F7,23619;m_207bba____13440778____121441,-5.64347715414461,99,HTVS
ATP-HTVS-8033922A69C0,25505;m_270004bbb____23846038____7547806,-5.6399666862665,100,HTVS
ATP-HTVS-442C36D59863,49602;m_270004bbb____21660890____8300602,-5.63752501034488,101,HTVS
ATP-HTVS-45A004EDB829,35234;m_2230bbb____8627194____7471132,-5.63462685379644,102,HTVS
ATP-HTVS-D806BF0778F9,63233;m_270004bbb____8350422____7454738,-5.62999992545103,103,HTVS
ATP-HTVS-54143804256C,38146;m_2230bbb____22404674____681478,-5.62338343586215,104,HTVS
