canonical_id,historical_alias,smiles,model,observed_score,predicted_score,observed_rank,predicted_rank
ATP-SMI-9DA3213A09E8,,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc(C(=O)N[C@@H](C#N)c3ccccc3)ccn2)cc1,random_forest,-57.51,-46.5549630313853,1,15
ATP-SMI-5D3E7B6B6796,,O=[N+]([O-])c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c(O)c1,random_forest,-54.81,-45.018560211954785,4,16
ATP-SMI-CDED936B42F4,,Oc1cccc([C@H](O)C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c1,random_forest,-47.89,-44.23912924999999,11,17
ATP-SMI-15737353FB69,,O[C@H]1CC[N@@H+](Cc2ccccc2C[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)C1,xgboost,-51.42,-55.8679313659668,7,1
ATP-SMI-96FD6257D8BA,,C[NH+]1CCN(c2ccc(CC[NH2+]Cc3cn(-c4ccccc4)nc3-c3cccnc3)cc2)CC1,xgboost,-52.9,-52.55119323730469,5,2
ATP-SMI-C93E6EC67CDB,,C[NH2+]C[C@@H](NC(=O)c1cc(NCc2cccc(C[NH+](C)C)c2)c(Cl)s1)c1ccccc1,xgboost,-56.56,-52.44774627685547,2,3
ATP-SMI-FCA9CDF3313B,,Cc1ccc([C@H](CNc2nc(N(CC[NH3+])c3cccc(Cl)c3)nc3ccccc23)[NH+](C)C)cc1,xgboost,-48.88,-51.74125289916992,9,4
ATP-SMI-874C2DE25FE4,,Cc1ccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,xgboost,-56.37,-51.639122009277344,3,5
ATP-SMI-E9798004BA11,,COc1cc(C[NH2+]Cc2ccccc2NCC[NH+](C)C)cc(O)c1OCc1ccccc1,xgboost,-51.99,-51.07680130004883,6,6
ATP-SMI-9DA3213A09E8,,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc(C(=O)N[C@@H](C#N)c3ccccc3)ccn2)cc1,xgboost,-57.51,-49.32017135620117,1,7
ATP-SMI-91E7552C2382,,COc1cc(C[NH2+]Cc2cccc(C[NH+](C)C)c2)cc(O)c1OCc1ccccc1,xgboost,-34.76,-48.37445831298828,16,8
ATP-SMI-4417138BF81D,,[NH3+]C[C@@H](Nc1nc2ccccc2cc1C(=O)Nc1ccccc1)c1cccc(Cl)c1,xgboost,-33.54,-47.8011474609375,17,9
ATP-SMI-C3308BEE03AC,,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N[C@H](C[NH3+])c3ccccc3)sc2Cl)cc1,xgboost,-48.06,-47.268836975097656,10,10
ATP-SMI-5D3E7B6B6796,,O=[N+]([O-])c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c(O)c1,xgboost,-54.81,-47.03058624267578,4,11
ATP-SMI-775D33706F04,,C[NH+](C)Cc1cccc(CNc2ccsc2C(=O)N[C@H](C[NH3+])c2ccccc2)c1,xgboost,-43.0,-45.1893424987793,14,12
ATP-SMI-BF69AB71C1A4,,C[NH+](C)Cc1cccc(CNc2cc(C(=O)N[C@@H](C[NH3+])c3ccccc3)sc2Cl)c1,xgboost,-51.01,-45.0974006652832,8,13
ATP-SMI-94F73967C042,,C[NH+](C)Cc1ccc(CNc2cc(C(=O)N(CC[NH3+])c3ccccc3)sc2Cl)cc1,xgboost,-44.48,-45.018680572509766,12,14
ATP-SMI-5B36D3E11A3B,,C[NH+](C)Cc1ccc(CNc2csc(C(=O)N[C@H](C[NH3+])c3ccccc3)c2)cc1,xgboost,-44.13,-42.131439208984375,13,15
ATP-SMI-CFA68A98711F,,Oc1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1O,xgboost,-37.5,-39.21390151977539,15,16
ATP-SMI-CDED936B42F4,,Oc1cccc([C@H](O)C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)c1,xgboost,-47.89,-35.09770965576172,11,17
