model_id,model,dataset_version,evaluation_population,evaluation_samples,scaffold_groups,benchmark_protocol,feature_set,feature_count,score_scale,spearman,rmse,ndcg_at_5,top_k,recovered_hits,true_hits,top_k_enrichment,hit_recovery,target_definition,status,notes
Model 0,docking_only,dataset_v0.2,verified_17_candidate_common_set,17,11,same_population_direct_ranking,Glide docking score,1,Glide energy-like; lower is better,-0.5318627450980392,40.23169444584778,0.27474999583926785,5,1,5,0.6799999999999999,0.2,computational_static_MMGBSA_ordering_not_biological_activity,ok,Preserved non-learned baseline.
Legacy P1 LightGBM,lightgbm_baseline,dataset_v0.2,verified_17_candidate_common_set,17,11,scaffold_grouped_leave_one_group_out,Phase 1 feature set,1035,MMGBSA surrogate; lower is better,0.5984059984350675,6.700078697576927,0.7876931670049191,5,2,5,1.3599999999999999,0.4,computational_static_MMGBSA_ordering_not_biological_activity,ok,Preserved Phase 1 out-of-fold baseline.
Model 2,lightgbm_regression_enhanced,dataset_v0.2,verified_17_candidate_common_set,17,11,scaffold_grouped_leave_one_group_out,Phase 3 enhanced feature set (1089),1089,MMGBSA surrogate; lower is better,0.752450980392157,4.846197658132629,0.7774290836650433,5,2,5,1.3599999999999999,0.4,computational_static_MMGBSA_ordering_not_biological_activity,ok,Preserved Phase 3 enhanced-feature OOF comparator under the same scaffold folds.
Model 3,lightgbm_lambdarank,dataset_v0.2,verified_17_candidate_common_set,17,11,scaffold_grouped_leave_one_group_out,Phase 3 enhanced feature set (1089),1089,negative ranking utility; lower is better; arbitrary scale,0.15818519220926988,,0.5358858313077557,5,1,5,0.6799999999999999,0.2,computational_static_MMGBSA_ordering_not_biological_activity,ok,LambdaRank objective with integer within-training-fold relevance; no RMSE interpretation.
Model 4,xgboost_ranker_ndcg5,dataset_v0.2,verified_17_candidate_common_set,17,11,scaffold_grouped_leave_one_group_out,Phase 3 enhanced feature set (1089),1089,negative ranking utility; lower is better; arbitrary scale,-0.08400517883183573,,0.5850340634623175,5,1,5,0.6799999999999999,0.2,computational_static_MMGBSA_ordering_not_biological_activity,ok,XGBoost rank:ndcg with top-k pairs fixed at k=5; no RMSE interpretation.
