feature,feature_group,non_missing,coverage
morgan2048_0115,morgan,18,0.0108499095840868
morgan2048_0116,morgan,18,0.0108499095840868
morgan2048_0117,morgan,18,0.0108499095840868
morgan2048_0118,morgan,18,0.0108499095840868
morgan2048_0119,morgan,18,0.0108499095840868
morgan2048_0120,morgan,18,0.0108499095840868
morgan2048_0121,morgan,18,0.0108499095840868
morgan2048_0122,morgan,18,0.0108499095840868
morgan2048_0123,morgan,18,0.0108499095840868
morgan2048_0124,morgan,18,0.0108499095840868
morgan2048_0125,morgan,18,0.0108499095840868
morgan2048_0126,morgan,18,0.0108499095840868
morgan2048_0127,morgan,18,0.0108499095840868
morgan2048_0128,morgan,18,0.0108499095840868
morgan2048_0129,morgan,18,0.0108499095840868
morgan2048_0130,morgan,18,0.0108499095840868
morgan2048_0131,morgan,18,0.0108499095840868
morgan2048_0132,morgan,18,0.0108499095840868
morgan2048_0133,morgan,18,0.0108499095840868
morgan2048_0134,morgan,18,0.0108499095840868
morgan2048_0135,morgan,18,0.0108499095840868
morgan2048_0136,morgan,18,0.0108499095840868
morgan2048_0137,morgan,18,0.0108499095840868
morgan2048_0138,morgan,18,0.0108499095840868
morgan2048_0139,morgan,18,0.0108499095840868
morgan2048_0140,morgan,18,0.0108499095840868
morgan2048_0141,morgan,18,0.0108499095840868
morgan2048_0142,morgan,18,0.0108499095840868
morgan2048_0143,morgan,18,0.0108499095840868
morgan2048_0144,morgan,18,0.0108499095840868
morgan2048_0145,morgan,18,0.0108499095840868
morgan2048_0146,morgan,18,0.0108499095840868
morgan2048_0147,morgan,18,0.0108499095840868
morgan2048_0148,morgan,18,0.0108499095840868
morgan2048_0149,morgan,18,0.0108499095840868
morgan2048_0150,morgan,18,0.0108499095840868
morgan2048_0151,morgan,18,0.0108499095840868
morgan2048_0152,morgan,18,0.0108499095840868
morgan2048_0153,morgan,18,0.0108499095840868
morgan2048_0154,morgan,18,0.0108499095840868
morgan2048_0155,morgan,18,0.0108499095840868
morgan2048_0156,morgan,18,0.0108499095840868
morgan2048_0157,morgan,18,0.0108499095840868
morgan2048_0158,morgan,18,0.0108499095840868
morgan2048_0159,morgan,18,0.0108499095840868
morgan2048_0160,morgan,18,0.0108499095840868
morgan2048_0161,morgan,18,0.0108499095840868
morgan2048_0162,morgan,18,0.0108499095840868
morgan2048_0163,morgan,18,0.0108499095840868
morgan2048_0164,morgan,18,0.0108499095840868
morgan2048_0165,morgan,18,0.0108499095840868
morgan2048_0166,morgan,18,0.0108499095840868
morgan2048_0167,morgan,18,0.0108499095840868
morgan2048_0168,morgan,18,0.0108499095840868
morgan2048_0169,morgan,18,0.0108499095840868
morgan2048_0170,morgan,18,0.0108499095840868
morgan2048_0171,morgan,18,0.0108499095840868
morgan2048_0172,morgan,18,0.0108499095840868
morgan2048_0173,morgan,18,0.0108499095840868
morgan2048_0174,morgan,18,0.0108499095840868
morgan2048_0175,morgan,18,0.0108499095840868
morgan2048_0176,morgan,18,0.0108499095840868
morgan2048_0177,morgan,18,0.0108499095840868
morgan2048_0178,morgan,18,0.0108499095840868
morgan2048_0179,morgan,18,0.0108499095840868
morgan2048_0180,morgan,18,0.0108499095840868
morgan2048_0181,morgan,18,0.0108499095840868
morgan2048_0182,morgan,18,0.0108499095840868
morgan2048_0183,morgan,18,0.0108499095840868
morgan2048_0184,morgan,18,0.0108499095840868
morgan2048_0185,morgan,18,0.0108499095840868
morgan2048_0186,morgan,18,0.0108499095840868
morgan2048_0187,morgan,18,0.0108499095840868
morgan2048_0188,morgan,18,0.0108499095840868
morgan2048_0189,morgan,18,0.0108499095840868
morgan2048_0190,morgan,18,0.0108499095840868
morgan2048_0191,morgan,18,0.0108499095840868
morgan2048_0192,morgan,18,0.0108499095840868
morgan2048_0193,morgan,18,0.0108499095840868
morgan2048_0194,morgan,18,0.0108499095840868
morgan2048_0195,morgan,18,0.0108499095840868
morgan2048_0196,morgan,18,0.0108499095840868
morgan2048_0197,morgan,18,0.0108499095840868
morgan2048_0198,morgan,18,0.0108499095840868
morgan2048_0199,morgan,18,0.0108499095840868
morgan2048_0200,morgan,18,0.0108499095840868
morgan2048_0201,morgan,18,0.0108499095840868
morgan2048_0202,morgan,18,0.0108499095840868
morgan2048_0203,morgan,18,0.0108499095840868
morgan2048_0204,morgan,18,0.0108499095840868
morgan2048_0205,morgan,18,0.0108499095840868
morgan2048_0206,morgan,18,0.0108499095840868
morgan2048_0207,morgan,18,0.0108499095840868
morgan2048_0208,morgan,18,0.0108499095840868
morgan2048_0209,morgan,18,0.0108499095840868
morgan2048_0210,morgan,18,0.0108499095840868
morgan2048_0211,morgan,18,0.0108499095840868
morgan2048_0212,morgan,18,0.0108499095840868
morgan2048_0213,morgan,18,0.0108499095840868
morgan2048_0214,morgan,18,0.0108499095840868
morgan2048_0215,morgan,18,0.0108499095840868
morgan2048_0216,morgan,18,0.0108499095840868
morgan2048_0217,morgan,18,0.0108499095840868
morgan2048_0218,morgan,18,0.0108499095840868
morgan2048_0219,morgan,18,0.0108499095840868
morgan2048_0220,morgan,18,0.0108499095840868
morgan2048_0221,morgan,18,0.0108499095840868
morgan2048_0222,morgan,18,0.0108499095840868
morgan2048_0223,morgan,18,0.0108499095840868
morgan2048_0224,morgan,18,0.0108499095840868
morgan2048_0225,morgan,18,0.0108499095840868
morgan2048_0226,morgan,18,0.0108499095840868
morgan2048_0227,morgan,18,0.0108499095840868
morgan2048_0228,morgan,18,0.0108499095840868
morgan2048_0229,morgan,18,0.0108499095840868
morgan2048_0230,morgan,18,0.0108499095840868
morgan2048_0231,morgan,18,0.0108499095840868
morgan2048_0232,morgan,18,0.0108499095840868
morgan2048_0233,morgan,18,0.0108499095840868
morgan2048_0234,morgan,18,0.0108499095840868
morgan2048_0235,morgan,18,0.0108499095840868
morgan2048_0236,morgan,18,0.0108499095840868
morgan2048_0237,morgan,18,0.0108499095840868
morgan2048_0238,morgan,18,0.0108499095840868
morgan2048_0239,morgan,18,0.0108499095840868
morgan2048_0240,morgan,18,0.0108499095840868
morgan2048_0241,morgan,18,0.0108499095840868
morgan2048_0242,morgan,18,0.0108499095840868
morgan2048_0243,morgan,18,0.0108499095840868
morgan2048_0244,morgan,18,0.0108499095840868
morgan2048_0245,morgan,18,0.0108499095840868
morgan2048_0246,morgan,18,0.0108499095840868
morgan2048_0247,morgan,18,0.0108499095840868
morgan2048_0248,morgan,18,0.0108499095840868
morgan2048_0249,morgan,18,0.0108499095840868
morgan2048_0250,morgan,18,0.0108499095840868
morgan2048_0251,morgan,18,0.0108499095840868
morgan2048_0252,morgan,18,0.0108499095840868
morgan2048_0253,morgan,18,0.0108499095840868
morgan2048_0254,morgan,18,0.0108499095840868
morgan2048_0255,morgan,18,0.0108499095840868
morgan2048_0256,morgan,18,0.0108499095840868
morgan2048_0257,morgan,18,0.0108499095840868
morgan2048_0258,morgan,18,0.0108499095840868
morgan2048_0259,morgan,18,0.0108499095840868
morgan2048_0260,morgan,18,0.0108499095840868
morgan2048_0261,morgan,18,0.0108499095840868
morgan2048_0262,morgan,18,0.0108499095840868
morgan2048_0263,morgan,18,0.0108499095840868
morgan2048_0264,morgan,18,0.0108499095840868
morgan2048_0265,morgan,18,0.0108499095840868
morgan2048_0266,morgan,18,0.0108499095840868
morgan2048_0267,morgan,18,0.0108499095840868
morgan2048_0268,morgan,18,0.0108499095840868
morgan2048_0269,morgan,18,0.0108499095840868
morgan2048_0270,morgan,18,0.0108499095840868
morgan2048_0271,morgan,18,0.0108499095840868
morgan2048_0272,morgan,18,0.0108499095840868
morgan2048_0273,morgan,18,0.0108499095840868
morgan2048_0274,morgan,18,0.0108499095840868
morgan2048_0275,morgan,18,0.0108499095840868
morgan2048_0276,morgan,18,0.0108499095840868
morgan2048_0277,morgan,18,0.0108499095840868
morgan2048_0278,morgan,18,0.0108499095840868
morgan2048_0279,morgan,18,0.0108499095840868
morgan2048_0280,morgan,18,0.0108499095840868
morgan2048_0281,morgan,18,0.0108499095840868
morgan2048_0282,morgan,18,0.0108499095840868
morgan2048_0283,morgan,18,0.0108499095840868
morgan2048_0284,morgan,18,0.0108499095840868
morgan2048_0285,morgan,18,0.0108499095840868
morgan2048_0286,morgan,18,0.0108499095840868
morgan2048_0287,morgan,18,0.0108499095840868
morgan2048_0288,morgan,18,0.0108499095840868
morgan2048_0289,morgan,18,0.0108499095840868
morgan2048_0290,morgan,18,0.0108499095840868
morgan2048_0291,morgan,18,0.0108499095840868
morgan2048_0292,morgan,18,0.0108499095840868
morgan2048_0293,morgan,18,0.0108499095840868
morgan2048_0294,morgan,18,0.0108499095840868
morgan2048_0295,morgan,18,0.0108499095840868
morgan2048_0296,morgan,18,0.0108499095840868
morgan2048_0297,morgan,18,0.0108499095840868
morgan2048_0298,morgan,18,0.0108499095840868
morgan2048_0299,morgan,18,0.0108499095840868
morgan2048_0300,morgan,18,0.0108499095840868
morgan2048_0301,morgan,18,0.0108499095840868
morgan2048_0302,morgan,18,0.0108499095840868
morgan2048_0303,morgan,18,0.0108499095840868
morgan2048_0304,morgan,18,0.0108499095840868
morgan2048_0305,morgan,18,0.0108499095840868
morgan2048_0306,morgan,18,0.0108499095840868
morgan2048_0307,morgan,18,0.0108499095840868
morgan2048_0308,morgan,18,0.0108499095840868
morgan2048_0309,morgan,18,0.0108499095840868
morgan2048_0310,morgan,18,0.0108499095840868
morgan2048_0311,morgan,18,0.0108499095840868
morgan2048_0312,morgan,18,0.0108499095840868
morgan2048_0313,morgan,18,0.0108499095840868
morgan2048_0314,morgan,18,0.0108499095840868
morgan2048_0315,morgan,18,0.0108499095840868
morgan2048_0316,morgan,18,0.0108499095840868
morgan2048_0317,morgan,18,0.0108499095840868
morgan2048_0318,morgan,18,0.0108499095840868
morgan2048_0319,morgan,18,0.0108499095840868
morgan2048_0320,morgan,18,0.0108499095840868
morgan2048_0321,morgan,18,0.0108499095840868
morgan2048_0322,morgan,18,0.0108499095840868
morgan2048_0323,morgan,18,0.0108499095840868
morgan2048_0324,morgan,18,0.0108499095840868
morgan2048_0325,morgan,18,0.0108499095840868
morgan2048_0326,morgan,18,0.0108499095840868
morgan2048_0327,morgan,18,0.0108499095840868
morgan2048_0328,morgan,18,0.0108499095840868
morgan2048_0329,morgan,18,0.0108499095840868
morgan2048_0330,morgan,18,0.0108499095840868
morgan2048_0331,morgan,18,0.0108499095840868
morgan2048_0332,morgan,18,0.0108499095840868
morgan2048_0333,morgan,18,0.0108499095840868
morgan2048_0334,morgan,18,0.0108499095840868
morgan2048_0335,morgan,18,0.0108499095840868
morgan2048_0336,morgan,18,0.0108499095840868
morgan2048_0337,morgan,18,0.0108499095840868
