feature,feature_group,non_missing,coverage
morgan1024_0000,morgan,18,0.0108499095840868
morgan1024_0001,morgan,18,0.0108499095840868
morgan1024_0002,morgan,18,0.0108499095840868
morgan1024_0003,morgan,18,0.0108499095840868
morgan1024_0004,morgan,18,0.0108499095840868
morgan1024_0005,morgan,18,0.0108499095840868
morgan1024_0006,morgan,18,0.0108499095840868
morgan1024_0007,morgan,18,0.0108499095840868
morgan1024_0008,morgan,18,0.0108499095840868
morgan1024_0009,morgan,18,0.0108499095840868
morgan1024_0010,morgan,18,0.0108499095840868
morgan1024_0011,morgan,18,0.0108499095840868
morgan1024_0012,morgan,18,0.0108499095840868
morgan1024_0013,morgan,18,0.0108499095840868
morgan1024_0014,morgan,18,0.0108499095840868
morgan1024_0015,morgan,18,0.0108499095840868
morgan1024_0016,morgan,18,0.0108499095840868
morgan1024_0017,morgan,18,0.0108499095840868
morgan1024_0018,morgan,18,0.0108499095840868
morgan1024_0019,morgan,18,0.0108499095840868
morgan1024_0020,morgan,18,0.0108499095840868
morgan1024_0021,morgan,18,0.0108499095840868
morgan1024_0022,morgan,18,0.0108499095840868
morgan1024_0023,morgan,18,0.0108499095840868
morgan1024_0024,morgan,18,0.0108499095840868
morgan1024_0025,morgan,18,0.0108499095840868
morgan1024_0026,morgan,18,0.0108499095840868
morgan1024_0027,morgan,18,0.0108499095840868
morgan1024_0028,morgan,18,0.0108499095840868
morgan1024_0029,morgan,18,0.0108499095840868
morgan1024_0030,morgan,18,0.0108499095840868
morgan1024_0031,morgan,18,0.0108499095840868
morgan1024_0032,morgan,18,0.0108499095840868
morgan1024_0033,morgan,18,0.0108499095840868
morgan1024_0034,morgan,18,0.0108499095840868
morgan1024_0035,morgan,18,0.0108499095840868
morgan1024_0036,morgan,18,0.0108499095840868
morgan1024_0037,morgan,18,0.0108499095840868
morgan1024_0038,morgan,18,0.0108499095840868
morgan1024_0039,morgan,18,0.0108499095840868
morgan1024_0040,morgan,18,0.0108499095840868
