feature,feature_group,non_missing,coverage
morgan_0126,morgan,18,0.0108499095840868
morgan_0127,morgan,18,0.0108499095840868
morgan_0128,morgan,18,0.0108499095840868
morgan_0129,morgan,18,0.0108499095840868
morgan_0130,morgan,18,0.0108499095840868
morgan_0131,morgan,18,0.0108499095840868
morgan_0132,morgan,18,0.0108499095840868
morgan_0133,morgan,18,0.0108499095840868
morgan_0134,morgan,18,0.0108499095840868
morgan_0135,morgan,18,0.0108499095840868
morgan_0136,morgan,18,0.0108499095840868
morgan_0137,morgan,18,0.0108499095840868
morgan_0138,morgan,18,0.0108499095840868
morgan_0139,morgan,18,0.0108499095840868
morgan_0140,morgan,18,0.0108499095840868
morgan_0141,morgan,18,0.0108499095840868
morgan_0142,morgan,18,0.0108499095840868
morgan_0143,morgan,18,0.0108499095840868
morgan_0144,morgan,18,0.0108499095840868
morgan_0145,morgan,18,0.0108499095840868
morgan_0146,morgan,18,0.0108499095840868
morgan_0147,morgan,18,0.0108499095840868
morgan_0148,morgan,18,0.0108499095840868
morgan_0149,morgan,18,0.0108499095840868
morgan_0150,morgan,18,0.0108499095840868
morgan_0151,morgan,18,0.0108499095840868
morgan_0152,morgan,18,0.0108499095840868
morgan_0153,morgan,18,0.0108499095840868
morgan_0154,morgan,18,0.0108499095840868
morgan_0155,morgan,18,0.0108499095840868
morgan_0156,morgan,18,0.0108499095840868
morgan_0157,morgan,18,0.0108499095840868
morgan_0158,morgan,18,0.0108499095840868
morgan_0159,morgan,18,0.0108499095840868
morgan_0160,morgan,18,0.0108499095840868
morgan_0161,morgan,18,0.0108499095840868
morgan_0162,morgan,18,0.0108499095840868
morgan_0163,morgan,18,0.0108499095840868
morgan_0164,morgan,18,0.0108499095840868
morgan_0165,morgan,18,0.0108499095840868
morgan_0166,morgan,18,0.0108499095840868
morgan_0167,morgan,18,0.0108499095840868
morgan_0168,morgan,18,0.0108499095840868
morgan_0169,morgan,18,0.0108499095840868
morgan_0170,morgan,18,0.0108499095840868
morgan_0171,morgan,18,0.0108499095840868
morgan_0172,morgan,18,0.0108499095840868
morgan_0173,morgan,18,0.0108499095840868
morgan_0174,morgan,18,0.0108499095840868
morgan_0175,morgan,18,0.0108499095840868
morgan_0176,morgan,18,0.0108499095840868
morgan_0177,morgan,18,0.0108499095840868
morgan_0178,morgan,18,0.0108499095840868
morgan_0179,morgan,18,0.0108499095840868
morgan_0180,morgan,18,0.0108499095840868
morgan_0181,morgan,18,0.0108499095840868
morgan_0182,morgan,18,0.0108499095840868
morgan_0183,morgan,18,0.0108499095840868
morgan_0184,morgan,18,0.0108499095840868
morgan_0185,morgan,18,0.0108499095840868
morgan_0186,morgan,18,0.0108499095840868
morgan_0187,morgan,18,0.0108499095840868
morgan_0188,morgan,18,0.0108499095840868
morgan_0189,morgan,18,0.0108499095840868
morgan_0190,morgan,18,0.0108499095840868
morgan_0191,morgan,18,0.0108499095840868
morgan_0192,morgan,18,0.0108499095840868
morgan_0193,morgan,18,0.0108499095840868
morgan_0194,morgan,18,0.0108499095840868
morgan_0195,morgan,18,0.0108499095840868
morgan_0196,morgan,18,0.0108499095840868
morgan_0197,morgan,18,0.0108499095840868
morgan_0198,morgan,18,0.0108499095840868
morgan_0199,morgan,18,0.0108499095840868
morgan_0200,morgan,18,0.0108499095840868
morgan_0201,morgan,18,0.0108499095840868
morgan_0202,morgan,18,0.0108499095840868
morgan_0203,morgan,18,0.0108499095840868
morgan_0204,morgan,18,0.0108499095840868
morgan_0205,morgan,18,0.0108499095840868
morgan_0206,morgan,18,0.0108499095840868
morgan_0207,morgan,18,0.0108499095840868
morgan_0208,morgan,18,0.0108499095840868
