compound_id,historical_alias,glide_docking_score,reference_mmgbsa,ai_rank,vina_affinity,vina_rank,glide_rank,mmgbsa_rank,model_v3_rank,vina_vs_glide_rank_shift,vina_vs_glide_abs_rank_shift,vina_vs_mmgbsa_rank_shift,vina_vs_mmgbsa_abs_rank_shift,vina_vs_model_v3_rank_shift,vina_vs_model_v3_abs_rank_shift
ATP-SMI-5D3E7B6B6796,Hit4,-8.07246311561382,-54.81,4,-9.028,1.0,17.0,4.0,4,-16.0,16.0,-3.0,3.0,-3.0,3.0
ATP-SMI-CFA68A98711F,Hit15,-10.0131045249552,-37.5,15,-8.876,2.0,1.0,15.0,15,1.0,1.0,-13.0,13.0,-13.0,13.0
ATP-SMI-874C2DE25FE4,Hit3,-8.42196401327989,-56.37,3,-8.846,3.0,6.0,3.0,3,-3.0,3.0,0.0,0.0,0.0,0.0
ATP-SMI-CDED936B42F4,Hit11,-8.15834295820794,-47.89,11,-8.81,4.0,13.0,11.0,11,-9.0,9.0,-7.0,7.0,-7.0,7.0
ATP-SMI-15737353FB69,Hit7,-8.11191224598807,-51.42,7,-8.557,5.0,16.0,7.0,7,-11.0,11.0,-2.0,2.0,-2.0,2.0
ATP-SMI-4417138BF81D,Hit17,-8.58843526811927,-33.54,17,-8.339,6.0,2.0,17.0,17,4.0,4.0,-11.0,11.0,-11.0,11.0
ATP-SMI-91E7552C2382,Hit16,-8.50768563789492,-34.76,16,-8.2,7.0,3.0,16.0,16,4.0,4.0,-9.0,9.0,-9.0,9.0
ATP-SMI-9DA3213A09E8,Hit1,-8.12068275383396,-57.51,1,-8.173,8.0,15.0,1.0,1,-7.0,7.0,7.0,7.0,7.0,7.0
ATP-SMI-96FD6257D8BA,Hit5,-8.37304414520958,-52.9,5,-8.085,9.0,8.0,5.0,5,1.0,1.0,4.0,4.0,4.0,4.0
ATP-SMI-E9798004BA11,Hit6,-8.23545529108907,-51.99,6,-8.077,10.0,10.0,6.0,6,0.0,0.0,4.0,4.0,4.0,4.0
ATP-SMI-C93E6EC67CDB,Hit2,-8.42562825587936,-56.56,2,-7.887,11.0,5.0,2.0,2,6.0,6.0,9.0,9.0,9.0,9.0
ATP-SMI-FCA9CDF3313B,Hit9,-8.15986913112427,-48.88,9,-7.761,12.0,12.0,9.0,9,0.0,0.0,3.0,3.0,3.0,3.0
ATP-SMI-C3308BEE03AC,Hit10,-8.40968869431086,-48.06,10,-7.672,13.0,7.0,10.0,10,6.0,6.0,3.0,3.0,3.0,3.0
ATP-SMI-BF69AB71C1A4,Hit8,-8.14688200228842,-51.01,8,-7.638,14.0,14.0,8.0,8,0.0,0.0,6.0,6.0,6.0,6.0
ATP-SMI-775D33706F04,Hit14,-8.47125394301545,-43.0,14,-7.604,15.0,4.0,14.0,14,11.0,11.0,1.0,1.0,1.0,1.0
ATP-SMI-5B36D3E11A3B,Hit13,-8.18448236860633,-44.13,13,-7.449,16.0,11.0,13.0,13,5.0,5.0,3.0,3.0,3.0,3.0
ATP-SMI-94F73967C042,Hit12,-8.34211914130707,-44.48,12,-7.154,17.0,9.0,12.0,12,8.0,8.0,5.0,5.0,5.0,5.0
