compound_key,canonical_smiles,inchi_key,molecular_formula,molecular_weight,structure_source,structure_verification,identity_verified,first_seen_compound_id,recomputed_formula,recomputed_mw,parent_identity,scaffold,independent_structural_qc,issues,source_identity_claim,independent_source_identity_verification
QDRJSIIKIUXVRU-UHFFFAOYSA-N,COc1nc2ccccc2cc1C(c1cc2ccccc2nc1OC)C(O)(CCN(C)C)c1ccc(Br)cc1,QDRJSIIKIUXVRU-UHFFFAOYSA-N,C32H32BrN3O3,586.53,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL3754231,C32H32BrN3O3,586.5300000000003,COc1nc2ccccc2cc1C(c1cc2ccccc2nc1OC)C(O)(CCN(C)C)c1ccc(Br)cc1,c1ccc(CC(c2cnc3ccccc3c2)c2cnc3ccccc3c2)cc1,pass,,parsed_but_not_independently_identity_verified,not_all_schemes_redrawn_in_this_audit
QOAKXIVNSVUYRQ-UHFFFAOYSA-N,COc1ccc(C2=CN=C3SCC3=CC=CC=CCCC3CCNCC(=C2)N(C2CCCC2)CC3)cc1,QOAKXIVNSVUYRQ-UHFFFAOYSA-N,C32H41N3OS,515.767,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA288,C32H41N3OS,515.7670000000005,COc1ccc(C2=CN=C3SCC3=CC=CC=CCCC3CCNCC(=C2)N(C2CCCC2)CC3)cc1,C1=CC=C2CSC2=NC=C(c2ccccc2)C=C2CNCCC(CCC=C1)CCN2C1CCCC1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
QOSSAOTZNIDXMA-UHFFFAOYSA-N,C(=NC1CCCCC1)=NC1CCCCC1,QOSSAOTZNIDXMA-UHFFFAOYSA-N,C13H22N2,206.333,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL162598,C13H22N2,206.33299999999997,C(=NC1CCCCC1)=NC1CCCCC1,C(=NC1CCCCC1)=NC1CCCCC1,pass,,parsed_but_not_independently_identity_verified,not_all_schemes_redrawn_in_this_audit
QUIJNHUBAXPXFS-XLJNKUFUSA-N,COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,QUIJNHUBAXPXFS-XLJNKUFUSA-N,C32H31BrN2O2,555.516,input_canonicalized,parsed_but_not_independently_identity_verified,False,CTRL-BEDAQUILINE,C32H31BrN2O2,555.5160000000003,COc1nc2ccc(Br)cc2cc1C(c1ccccc1)C(O)(CCN(C)C)c1cccc2ccccc12,c1ccc(C(Cc2cccc3ccccc23)c2cnc3ccccc3c2)cc1,pass,,parsed_but_not_independently_identity_verified,not_all_schemes_redrawn_in_this_audit
QXQOBCBJOCQFRK-UHFFFAOYSA-N,COc1nc2ccccc2cc1C(c1cc2ccccc2nc1OC)C(O)(CCN(C)C)c1ccccc1,QXQOBCBJOCQFRK-UHFFFAOYSA-N,C32H33N3O3,507.634,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL3752792,C32H33N3O3,507.6340000000003,COc1nc2ccccc2cc1C(c1cc2ccccc2nc1OC)C(O)(CCN(C)C)c1ccccc1,c1ccc(CC(c2cnc3ccccc3c2)c2cnc3ccccc3c2)cc1,pass,,parsed_but_not_independently_identity_verified,not_all_schemes_redrawn_in_this_audit
RIDDIWJTDCGXDH-NRFANRHFSA-N,COC(=O)[C@@H](NCc1cc2ccccc2nc1OCc1ccccc1)C(C)C,RIDDIWJTDCGXDH-NRFANRHFSA-N,C23H26N2O3,378.472,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,STEED2022-15,C23H26N2O3,378.47200000000015,COC(=O)C(NCc1cc2ccccc2nc1OCc1ccccc1)C(C)C,c1ccc(COc2ccc3ccccc3n2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
ROJPDORYZONAPF-UHFFFAOYSA-N,COc1nc2ccccc2cc1COC(=O)Nc1ccc(CO)cc1,ROJPDORYZONAPF-UHFFFAOYSA-N,C19H18N2O4,338.363,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,STEED2022-8,C19H18N2O4,338.36300000000006,COc1nc2ccccc2cc1COC(=O)Nc1ccc(CO)cc1,O=C(Nc1ccccc1)OCc1cnc2ccccc2c1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
RWXRACFJDWXXDE-UHFFFAOYSA-N,CCN1CCC(CNCCc2cc3ccc(Br)cc3nc2SCc2ccccc2)CC1,RWXRACFJDWXXDE-UHFFFAOYSA-N,C26H32BrN3S,498.534,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA254,C26H32BrN3S,498.5340000000002,CCN1CCC(CNCCc2cc3ccc(Br)cc3nc2SCc2ccccc2)CC1,c1ccc(CSc2nc3ccccc3cc2CCNCC2CCNCC2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
SGQDQCCZJOEXJH-UHFFFAOYSA-N,C1=CC2=NC=CNC=CC(=C1)CSc1nc3ccccc3cc1CNCC2,SGQDQCCZJOEXJH-UHFFFAOYSA-N,C22H22N4S,374.513,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-22,C22H22N4S,374.51300000000015,C1=CC2=NC=CNC=CC(=C1)CSc1nc3ccccc3cc1CNCC2,C1=CC2=NC=CNC=CC(=C1)CSc1nc3ccccc3cc1CNCC2,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
SQOBRXGLLMOCKF-UHFFFAOYSA-N,CC1(C)CC(=O)C(=CNc2ccccc2O)C(=O)C1,SQOBRXGLLMOCKF-UHFFFAOYSA-N,C15H17NO3,259.305,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL4294286,C15H17NO3,259.305,CC1(C)CC(=O)C(=CNc2ccccc2O)C(=O)C1,O=C1CCCC(=O)C1=CNc1ccccc1,pass,,parsed_but_not_independently_identity_verified,not_all_schemes_redrawn_in_this_audit
