stage,compound_id,current_rank,scaffold,evidence_completeness,uncertainty,model_disagreement,relative_cost,acquisition_rank,acquisition_score,reason,interpretation
HTVS,ATP-SMI-5D3E7B6B6796,17,c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,1.0,unknown,unknown,2,17,0.011764705882352944,rank=17; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=False; relative_cost=2.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-CFA68A98711F,1,c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,1.0,unknown,unknown,5,1,0.1,rank=1; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-4417138BF81D,2,O=C(Nc1ccccc1)c1cc2ccccc2nc1NCc1ccccc1,1.0,unknown,unknown,5,2,0.09529411764705882,rank=2; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-91E7552C2382,3,c1ccc(C[NH2+]Cc2ccc(OCc3ccccc3)cc2)cc1,1.0,unknown,unknown,5,3,0.09058823529411766,rank=3; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-775D33706F04,4,O=C(NCc1ccccc1)c1sccc1NCc1ccccc1,1.0,unknown,unknown,5,4,0.08588235294117648,rank=4; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-C93E6EC67CDB,5,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,1.0,unknown,unknown,5,5,0.0811764705882353,rank=5; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-874C2DE25FE4,6,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,1.0,unknown,unknown,5,6,0.07647058823529411,rank=6; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-96FD6257D8BA,8,c1ccc(-n2cc(C[NH2+]CCc3ccc(N4CC[NH2+]CC4)cc3)c(-c3cccnc3)n2)cc1,1.0,unknown,unknown,5,7,0.06705882352941177,rank=8; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-94F73967C042,9,O=C(Nc1ccccc1)c1cc(NCc2ccccc2)cs1,1.0,unknown,unknown,5,8,0.06235294117647059,rank=9; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-C3308BEE03AC,7,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,1.0,unknown,unknown,5,9,0.051764705882352935,rank=7; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=False; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-FCA9CDF3313B,12,c1ccc(CCNc2nc(Nc3ccccc3)nc3ccccc23)cc1,1.0,unknown,unknown,5,10,0.04823529411764706,rank=12; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-CDED936B42F4,13,c1ccc(CC[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,1.0,unknown,unknown,5,11,0.043529411764705886,rank=13; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-E9798004BA11,10,c1ccc(C[NH2+]Cc2ccc(OCc3ccccc3)cc2)cc1,1.0,unknown,unknown,5,12,0.03764705882352941,rank=10; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=False; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-9DA3213A09E8,15,O=C(NCc1ccccc1)c1ccnc(C[NH2+]Cc2ccccc2)c1,1.0,unknown,unknown,5,13,0.03411764705882353,rank=15; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=True; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-5B36D3E11A3B,11,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,1.0,unknown,unknown,5,14,0.03294117647058824,rank=11; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=False; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-BF69AB71C1A4,14,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,1.0,unknown,unknown,5,15,0.01882352941176471,rank=14; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=False; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-15737353FB69,16,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,1.0,unknown,unknown,5,16,0.009411764705882356,rank=16; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=False; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
QikProp,ATP-SMI-5D3E7B6B6796,17,c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,1.0,unknown,unknown,5,17,0.004705882352941178,rank=17; completeness=1.0; uncertainty=unknown; disagreement=unknown; new_scaffold=False; relative_cost=5.0,heuristic_priority_not_activity_probability_or_validated_information_gain
